,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Col1a2,0,3.67442289744339,0.661,0.091,0,0.57
Col1a1,0,3.73962525917638,0.657,0.089,0,0.568
Adamdec1,0,3.97449101331976,0.624,0.109,0,0.515
Col6a2,0,3.39339946775518,0.597,0.084,0,0.513
Serpina3n,0,3.57394957295638,0.48,0.072,0,0.408
Col6a3,0,3.29480786918194,0.463,0.06,0,0.403
Col4a1,0,2.54172535965787,0.483,0.093,0,0.39
C4b,0,3.3967996253857,0.405,0.05,0,0.355
Fstl1,0,2.87374270443946,0.416,0.068,0,0.348
Cxcl12,0,2.91958587153986,0.412,0.068,0,0.344
Flna,0,1.0200321545769,0.493,0.149,0,0.344
Fn1,0,1.9434873168827,0.43,0.095,0,0.335
Col4a2,0,2.42950984531778,0.413,0.082,0,0.331
Sfrp1,0,3.6029054121518,0.363,0.042,0,0.321
Tagln,0,0.955534424624961,0.448,0.131,0,0.317
Tnc,0,2.92506278882595,0.364,0.057,0,0.307
Tgfbr2,0,1.98861699781754,0.431,0.125,0,0.306
Postn,0,3.37221372686154,0.338,0.042,0,0.296
Lamc1,0,2.64940509251797,0.356,0.064,0,0.292
Fbn1,0,3.31825906323621,0.322,0.04,0,0.282
Tgfbr3,0,2.91746680210966,0.332,0.052,0,0.28
Col5a1,0,3.56968162997057,0.308,0.03,0,0.278
Col6a1,0,3.16276306014813,0.316,0.039,0,0.277
Fbln1,0,3.32498586372765,0.313,0.04,0,0.273
Lum,0,3.74918826756941,0.29,0.028,0,0.262
C3,0,3.50113292294229,0.307,0.054,0,0.253
Lamb1,0,2.9872771796763,0.291,0.04,0,0.251
Pdgfra,0,3.52585429211146,0.275,0.028,0,0.247
Tgm2,0,1.66533968503632,0.367,0.124,0,0.243
Lrp1,0,1.5068903857036,0.467,0.227,0,0.24
Nedd4,0,1.17160416209602,0.469,0.231,0,0.238
Grem1,0,3.00204583019955,0.286,0.051,0,0.235
Col18a1,0,2.7410015982374,0.279,0.046,0,0.233
Pltp,0,2.40136253596824,0.272,0.048,0,0.224
Mmp2,0,3.49635396772304,0.248,0.024,0,0.224
Axl,0,2.55415553198617,0.269,0.046,0,0.223
Ogn,0,2.33125270296031,0.283,0.061,0,0.222
Myh11,0,0.41278567324002,0.341,0.121,0,0.22
Ccl11,0,3.31647912385062,0.246,0.029,0,0.217
Itgb1,0,0.85582029432939,0.518,0.308,0,0.21
Zbtb16,0,2.2544532169852,0.267,0.057,0,0.21
Prelp,0,2.19983900595123,0.267,0.061,0,0.206
Plpp3,0,2.45719285792832,0.254,0.051,0,0.203
Eln,0,3.17673441355862,0.231,0.03,0,0.201
Gja1,0,2.01219983985323,0.267,0.067,0,0.2
