,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Col18a1,0,3.7000760553284,0.789,0.083,0,0.706
C4b,0,3.20772497862324,0.786,0.109,0,0.677
Gpr37l1,0,7.73430679785276,0.665,0.004,0,0.661
Gfap,0,7.35309654970848,0.604,0.007,0,0.597
Serpine2,0,4.23884587254946,0.598,0.036,0,0.562
Sfrp1,0,2.7937491060219,0.65,0.095,0,0.555
Sorbs1,0,2.84697322283533,0.662,0.109,0,0.553
Cryab,0,3.91882242936419,0.572,0.043,0,0.529
Marcks,0,2.475591500208,0.707,0.182,0,0.525
Cd59a,0,4.38148003121088,0.551,0.029,0,0.522
Ncam1,0,5.26717495700433,0.524,0.016,0,0.508
Sox10,0,7.44242117431949,0.509,0.003,0,0.506
Col12a1,0,3.71750733434049,0.555,0.053,0,0.502
Dst,0,2.76047169896412,0.614,0.114,0,0.5
Serpina3n,0,2.27076299482781,0.632,0.14,0,0.492
Abca8a,0,5.02850500870162,0.501,0.019,0,0.482
Gfra1,0,6.5645769524322,0.487,0.006,0,0.481
Grik3,0,7.3498297516002,0.476,0.003,0,0.473
Sema3b,0,3.62277612979147,0.501,0.049,0,0.452
Dpysl2,0,2.88226975058961,0.526,0.081,0,0.445
Ltbp1,0,3.39805912534909,0.5,0.057,0,0.443
Scarb2,0,2.11065791129427,0.636,0.196,0,0.44
Hand2,0,5.44872912682578,0.434,0.012,0,0.422
Ptprz1,0,6.79118135959728,0.426,0.004,0,0.422
Cdh2,0,6.62151170312425,0.423,0.005,0,0.418
Mest,0,7.14702992911591,0.411,0.003,0,0.408
L1cam,0,3.49200197854441,0.438,0.046,0,0.392
Nid1,0,2.72500794366911,0.465,0.073,0,0.392
Atp1b2,0,4.83010832272512,0.4,0.016,0,0.384
S1pr3,0,5.76661333542339,0.392,0.008,0,0.384
Pdgfb,0,4.73041337804615,0.394,0.016,0,0.378
Map1b,0,3.95935793999663,0.391,0.028,0,0.363
Gfra2,0,5.35787545892743,0.365,0.01,0,0.355
Ccn2,0,3.73865167990372,0.387,0.034,0,0.353
Fcgr2b,0,3.40669627395996,0.373,0.039,0,0.334
Tgfb2,0,5.47233064882033,0.339,0.008,0,0.331
Grik2,0,7.63167631787898,0.33,0.002,0,0.328
Fgfr1,0,3.24967580126489,0.366,0.039,0,0.327
Gpam,0,4.33013408627516,0.34,0.02,0,0.32
Gap43,0,5.33789582579016,0.318,0.007,0,0.311
Dusp6,0,1.93671683432982,0.421,0.115,0,0.306
Lpar1,0,3.08484773096802,0.349,0.043,0,0.306
Axl,0,2.1839628864606,0.387,0.083,0,0.304
Nedd4,5.55218233091643e-184,1.0360760073399,0.574,0.271,2.77775682015749e-180,0.303
Itgav,0,2.39091657826425,0.386,0.084,0,0.302
Ngfr,0,5.9018120252615,0.307,0.005,0,0.302
Igsf11,0,7.20909056973209,0.3,0.002,0,0.298
Uchl1,0,4.8913528195881,0.306,0.008,0,0.298
Pdgfa,0,2.91446297180799,0.346,0.051,0,0.295
Cd9,0,2.68622211440459,0.352,0.058,0,0.294
Fbln2,0,3.74230066226554,0.316,0.025,0,0.291
Gpt2,0,3.7972781789557,0.312,0.025,0,0.287
Marcksl1,0,1.81398023111753,0.377,0.093,0,0.284
Cd81,0,2.40275034378652,0.349,0.067,0,0.282
Sostdc1,0,7.43632671383438,0.284,0.002,0,0.282
Postn,0,2.01568177924968,0.372,0.092,0,0.28
Ckb,3.47723401543069e-320,1.4475150188647,0.386,0.106,1.73966017791998e-316,0.28
Afap1l2,0,4.34108408682746,0.294,0.015,0,0.279
Naaa,0,3.28193871331659,0.306,0.031,0,0.275
Abca8b,0,5.71801946664178,0.28,0.006,0,0.274
Dkk3,0,2.64598841501962,0.34,0.067,0,0.273
Ndrg2,0,3.08395805949807,0.311,0.039,0,0.272
Il6st,0,2.07179071578427,0.357,0.087,0,0.27
Foxo1,0,2.81216032666977,0.317,0.048,0,0.269
Itga1,0,2.02787200976879,0.347,0.079,0,0.268
Zdhhc2,0,3.71805937004665,0.289,0.023,0,0.266
Cavin1,0,1.85006813105409,0.351,0.088,0,0.263
Sgcd,0,3.49061161508177,0.288,0.026,0,0.262
Rgmb,3.90397458107987e-299,1.84662005865833,0.36,0.102,1.95315848291426e-295,0.258
Fstl1,2.71603468878227e-234,1.3972255106999,0.383,0.127,1.35883215479777e-230,0.256
App,5.39134386679693e-122,0.873070806630898,0.543,0.295,2.6972893365585e-118,0.248
S100b,0,6.59175013346622,0.251,0.003,0,0.248
Kif1b,7.98415484274316e-294,1.89017965004255,0.343,0.096,3.9944726678244e-290,0.247
Stmn2,0,4.41258414903399,0.255,0.013,0,0.242
Mcam,0,2.64639854287832,0.282,0.043,0,0.239
Peg3,0,4.18057619971569,0.253,0.014,0,0.239
Zeb2,0,2.21856476192846,0.293,0.06,0,0.233
Edil3,0,4.96439887079231,0.234,0.007,0,0.227
Mrgprf,0,3.82803496277306,0.244,0.017,0,0.227
Notch1,0,2.8930635488456,0.257,0.035,0,0.222
Adamts1,0,3.17095576506313,0.254,0.033,0,0.221
Foxd3,0,7.49948028795313,0.221,0.001,0,0.22
Ifi27,0,2.66241319828515,0.262,0.042,0,0.22
Tgfbr3,4.70609524997328e-212,1.40693431990426,0.319,0.099,2.35445945356163e-208,0.22
Fam129a,5.41008858683316e-257,1.69429440990351,0.301,0.082,2.70666731999263e-253,0.219
Sncg,0,4.26532704912751,0.223,0.01,0,0.213
Adgrg6,0,5.06569271160123,0.218,0.006,0,0.212
Bcl2l1,2.93190519690985e-281,2.08479373757329,0.284,0.072,1.466832170014e-277,0.212
Nek7,3.65950934085263e-181,1.51595462517039,0.327,0.116,1.83085252322857e-177,0.211
Dag1,1.47454860946804e-267,2.02044489840587,0.286,0.075,7.37716669316862e-264,0.211
Nrn1,0,4.81745434437806,0.219,0.009,0,0.21
Calu,3.79559684467572e-160,1.36669830075022,0.337,0.129,1.89893710139126e-156,0.208
Msn,7.19918117666606e-176,1.35084068750524,0.317,0.11,3.60175034268603e-172,0.207
Tsc22d3,1.82051188798873e-154,1.39675788768317,0.342,0.135,9.10802097560761e-151,0.207
Pdia3,2.21687221660409e-64,0.516498301461171,0.642,0.435,1.10910116996703e-60,0.207
Cadm1,0,3.87377257391307,0.22,0.014,0,0.206
Hspg2,5.454720786968e-229,1.86232016124536,0.291,0.085,2.72899680972009e-225,0.206
Sntb1,0,4.15793239895731,0.217,0.012,0,0.205
Mmp15,1.51511572704537e-230,1.76306388269615,0.286,0.081,7.580123982408e-227,0.205
Kcnj10,0,5.15536876736014,0.207,0.006,0,0.201
Col9a2,0,7.9374741456266,0.201,0.001,0,0.2
Nf1,4.73693495456646e-214,1.78825151592387,0.284,0.084,2.3698885577696e-210,0.2
Gprc5b,0,3.99640561421794,0.211,0.013,0,0.198
Pdlim4,0,3.7222970813153,0.213,0.016,0,0.197
Flna,1.26100405096964e-66,-0.227314060567618,0.404,0.208,6.30880326700111e-63,0.196
Ctnnal1,0,3.42744261084351,0.217,0.021,0,0.196
Anxa6,6.73431488529494e-177,1.46464672298096,0.294,0.098,3.36917773711306e-173,0.196
Sulf1,0,2.98304341873885,0.223,0.028,0,0.195
Slc18a2,0,7.38823934937998,0.194,0.001,0,0.193
Dagla,0,4.45084536246494,0.201,0.009,0,0.192
Cnp,0,2.69767999573152,0.226,0.038,0,0.188
Ywhag,9.43523695408837e-167,1.64719427497161,0.286,0.099,4.72044904813041e-163,0.187
F3,0,2.63080360609121,0.222,0.036,0,0.186
Vat1,4.18926996601936e-165,1.62530000336617,0.283,0.097,2.09589176399949e-161,0.186
Map4,8.76641695997981e-149,1.49546343177318,0.293,0.108,4.3858384050779e-145,0.185
P2rx7,0,3.24993114173985,0.204,0.02,0,0.184
Adgra2,0,2.9971118155153,0.207,0.025,0,0.182
Gabbr1,1.95023968982472e-176,1.5837574566839,0.266,0.084,9.75704916819306e-173,0.182
Lrp1,7.06108287243508e-62,0.574768743083628,0.449,0.268,3.53265976107927e-58,0.181
Rsrp1,6.8049226394872e-60,0.619714617178888,0.52,0.339,3.40450279653545e-56,0.181
Fgf2,0,3.30985574492134,0.201,0.021,0,0.18
Vamp2,2.01455145776669e-187,1.79957459185047,0.258,0.078,1.00788009432068e-183,0.18
Txnip,2.25899748719715e-64,0.696237211223852,0.46,0.282,1.13017644284473e-60,0.178
Ndn,0,3.68072411415876,0.193,0.015,0,0.178
Klc1,3.5432176602626e-167,1.63682296020291,0.263,0.085,1.77267179542938e-163,0.178
Tyro3,0,4.55993589137925,0.185,0.008,0,0.177
Lamp1,1.02244168866861e-55,0.582516502564215,0.508,0.331,5.11527576840906e-52,0.177
Agrn,0,3.1431036576178,0.199,0.023,0,0.176
Jam3,0,3.43820137003483,0.193,0.018,0,0.175
Tbx3,1.7895458823757e-278,2.19836392249578,0.221,0.047,8.95309804952565e-275,0.174
Fscn1,0,2.38750047087563,0.206,0.033,0,0.173
Tubb3,0,4.82294499720444,0.179,0.006,0,0.173
Phox2b,0,6.07995226924254,0.173,0.002,0,0.171
Pja2,7.52699195890212e-217,1.96758795373837,0.228,0.058,3.76575407703873e-213,0.17
