,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Csf1r,0,4.48115223015995,0.776,0.049,0,0.727
Cd68,0,4.22893198032656,0.705,0.056,0,0.649
Fcgr3,0,3.91540228615916,0.665,0.056,0,0.609
Cxcl16,0,3.27555324325974,0.682,0.102,0,0.58
Grn,0,2.91587785199507,0.753,0.18,0,0.573
Sirpa,0,3.74269507427865,0.578,0.05,0,0.528
Aif1,0,3.70320156705392,0.576,0.052,0,0.524
Mrc1,0,4.91685665371779,0.537,0.026,0,0.511
Marcks,0,2.25834664247886,0.679,0.18,0,0.499
Unc93b1,0,3.36024371613465,0.558,0.065,0,0.493
Fcgr2b,0,4.19864433160047,0.529,0.037,0,0.492
Pltp,0,3.51025676113222,0.576,0.084,0,0.492
Ccl8,0,4.63940062382504,0.543,0.058,0,0.485
Adgre1,0,4.32715477925761,0.478,0.027,0,0.451
Hexa,0,2.28122989445349,0.599,0.159,0,0.44
Cybb,0,3.84078433256186,0.473,0.035,0,0.438
Gm2a,0,2.49332521195206,0.52,0.094,0,0.426
Ptprc,0,2.97215574486657,0.484,0.06,0,0.424
Fcgr4,0,4.03531968661347,0.444,0.032,0,0.412
Ms4a7,0,4.5964742534268,0.422,0.019,0,0.403
Lamp1,0,1.56424743393443,0.73,0.329,0,0.401
Arrb2,0,3.46594007148143,0.444,0.044,0,0.4
Fcgr1,0,4.19332092166183,0.42,0.026,0,0.394
Mafb,0,3.64653922468386,0.424,0.04,0,0.384
Cd53,0,3.10941773590196,0.432,0.049,0,0.383
C3ar1,0,4.63308844736061,0.382,0.017,0,0.365
Ccr1,0,3.92770544992993,0.389,0.027,0,0.362
Ccr5,0,4.12486287320855,0.385,0.025,0,0.36
Vcam1,0,3.87490291326664,0.393,0.033,0,0.36
Ly86,0,3.8023231652819,0.382,0.029,0,0.353
Snx5,0,1.76507945092192,0.528,0.18,0,0.348
Il10ra,0,3.82780669818922,0.373,0.027,0,0.346
Axl,0,2.45998975929218,0.42,0.082,0,0.338
Ppt1,0,1.90114441660029,0.473,0.135,0,0.338
Zeb2,0,2.7875149794531,0.394,0.059,0,0.335
Sdcbp,0,1.3621386599264,0.58,0.26,0,0.32
Maf,0,2.1544639240566,0.41,0.097,0,0.313
Vsir,0,3.29841947182862,0.348,0.037,0,0.311
Tsc22d3,0,1.8318443246462,0.437,0.134,0,0.303
Dab2,0,3.9946471261785,0.324,0.022,0,0.302
Pirb,0,4.03008493766896,0.322,0.02,0,0.302
Clec4n,0,4.07775490812454,0.319,0.02,0,0.299
Hspa5,6.62833409224691e-298,1.03393143892175,0.668,0.37,3.31615554635113e-294,0.298
Lyn,0,2.69072002880495,0.355,0.057,0,0.298
Plin2,0,2.07790662574251,0.404,0.113,0,0.291
F13a1,0,4.97038107394606,0.308,0.018,0,0.29
Entpd1,0,2.90839402366191,0.333,0.046,0,0.287
Samhd1,0,1.94551668823194,0.397,0.111,0,0.286
Tgfbr2,0,1.33803892250297,0.461,0.176,0,0.285
Msn,0,1.78640206556761,0.391,0.108,0,0.283
Hpgds,0,3.84600762008509,0.304,0.023,0,0.281
Fam49b,0,2.03139324776053,0.377,0.097,0,0.28
Itgb2,0,3.17293472851754,0.314,0.034,0,0.28
Syk,0,2.13497456853143,0.362,0.085,0,0.277
Abca1,0,3.14321482650656,0.312,0.038,0,0.274
Slc11a1,0,4.13160684093123,0.287,0.017,0,0.27
Slc9a9,0,3.4860805146016,0.296,0.028,0,0.268
C4b,0,1.95871114326936,0.376,0.109,0,0.267
Dusp6,0,1.80969893952542,0.382,0.115,0,0.267
Cd84,0,2.93521224827468,0.308,0.042,0,0.266
Lcp2,0,3.27315243065149,0.292,0.029,0,0.263
Cd48,0,3.38353621244877,0.284,0.027,0,0.257
Tgfbr1,0,2.60638790034301,0.315,0.06,0,0.255
Nrp1,0,2.62244498973989,0.302,0.05,0,0.252
Rbpj,0,2.22328412918073,0.319,0.071,0,0.248
Rnf130,0,2.16697713979946,0.325,0.077,0,0.248
C5ar1,0,4.59089614695343,0.256,0.011,0,0.245
Dock2,0,2.78958267494906,0.283,0.038,0,0.245
Myo5a,0,3.15076938807935,0.277,0.033,0,0.244
Spi1,0,3.35688745189091,0.269,0.025,0,0.244
Tgfb1,0,2.74921763204377,0.283,0.042,0,0.241
Cd81,0,2.27816622019289,0.307,0.067,0,0.24
Pdia3,2.48833847782679e-174,0.746637483707353,0.67,0.434,1.24491574045674e-170,0.236
Itga4,0,2.53961450137342,0.275,0.045,0,0.23
Itgb5,0,2.05072761880456,0.311,0.081,0,0.23
Cd4,0,3.64785352269332,0.249,0.023,0,0.226
Acp5,0,2.00454214196099,0.337,0.113,0,0.224
Rnaset2a,6.13643858115105e-165,0.862980335612094,0.523,0.303,3.07006022214987e-161,0.22
Il4ra,0,2.11931620931456,0.298,0.078,0,0.22
