,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Acod1,0,9.27588366252538,0.783,0.002,0,0.781
Cxcl2,0,9.48811689694536,0.766,0.002,0,0.764
Cd14,0,5.83822767980978,0.818,0.058,0,0.76
Ptgs2,0,6.99067418840573,0.603,0.011,0,0.592
Csf3r,0,7.06341138402108,0.594,0.009,0,0.585
Sell,0,6.6548672320367,0.586,0.01,0,0.576
Clec4e,0,7.9374588457647,0.543,0.003,0,0.54
Dusp1,0,4.98790999812272,0.577,0.039,0,0.538
Cd53,0,4.24720161087103,0.567,0.051,0,0.516
Mxd1,2.04699226628455e-259,2.78369823543842,0.627,0.14,1.02411023082216e-255,0.487
Plaur,0,6.38853520514781,0.481,0.011,0,0.47
Fcgr3,0,3.66120850341074,0.513,0.06,0,0.453
Csf2rb,0,5.37593602469432,0.466,0.019,0,0.447
Cxcr2,0,8.3498816560802,0.448,0.002,0,0.446
Ptprc,0,3.6914077670869,0.507,0.062,0,0.445
Il1rn,0,4.49375449330293,0.461,0.037,0,0.424
Cd300lf,0,5.88087137687441,0.416,0.011,0,0.405
Slc16a3,0,5.34503085811231,0.423,0.018,0,0.405
Selplg,0,4.60955344693298,0.434,0.031,0,0.403
Trem1,0,8.35101781043796,0.404,0.002,0,0.402
Entpd1,0,3.86082816492953,0.446,0.047,0,0.399
Osm,0,8.55592033858034,0.401,0.002,0,0.399
Ndel1,0,3.88832284806359,0.453,0.057,0,0.396
Dgat1,2.363614869421e-229,3.24022999960935,0.491,0.097,1.18251651917133e-225,0.394
Samhd1,8.0173059541569e-203,3.00215658870083,0.506,0.113,4.01105816886469e-199,0.393
Socs3,7.47406041723791e-275,3.45316961844023,0.457,0.073,3.73927242674413e-271,0.384
Mmp9,0,6.3040717954576,0.391,0.008,0,0.383
Picalm,4.61779431792559e-136,2.52888826127703,0.567,0.202,2.31028249725817e-132,0.365
Ccr1,0,4.3566817121823,0.388,0.029,0,0.359
Irf1,7.52832811684138e-140,2.88079127129358,0.522,0.168,3.76642255685574e-136,0.354
Lmnb1,4.28976376058897e-234,3.22337095609811,0.423,0.071,2.14616880942266e-230,0.352
Isg15,0,4.65676113332948,0.375,0.029,0,0.346
Ccl3,0,7.63200734460309,0.337,0.004,0,0.333
Slc2a3,0,5.96221973578721,0.331,0.009,0,0.322
Sorl1,5.66534138212024e-136,2.5757942707684,0.434,0.113,2.83437029347476e-132,0.321
Oasl2,6.05480597647975e-182,3.01814052184524,0.378,0.069,3.02921943003282e-178,0.309
Mcl1,6.78011456239477e-94,2.24687810278046,0.5,0.199,3.3920913155661e-90,0.301
Hdc,0,8.43547963611491,0.294,0.001,0,0.293
C5ar1,0,5.16484272382557,0.301,0.012,0,0.289
Fpr2,0,5.98276701048347,0.292,0.006,0,0.286
Litaf,5.01810115678331e-83,2.15069254488369,0.457,0.174,2.51055600873869e-79,0.283
Pygl,0,4.68965630669213,0.296,0.018,0,0.278
Zyx,1.57699377908743e-140,2.92886449734062,0.32,0.062,7.88969987677442e-137,0.258
Itgam,0,4.04339118809014,0.279,0.022,0,0.257
Nlrp3,0,6.70677511300506,0.253,0.004,0,0.249
Msn,6.77653117210584e-81,2.2337460531933,0.356,0.11,3.39029854540455e-77,0.246
Ncf1,9.13574365398455e-255,3.75097768978539,0.272,0.028,4.57061255008847e-251,0.244
Gbp2,4.60558519432545e-189,3.68394070699485,0.281,0.039,2.30417427272102e-185,0.242
Chil1,0,6.96882225789032,0.242,0.003,0,0.239
Msrb1,2.26803125795063e-219,3.73184045038697,0.262,0.03,1.1346960383527e-215,0.232
Itgb2,2.44190856451782e-182,3.37113883565876,0.264,0.035,1.22168685482827e-178,0.229
Tlr2,9.87460737449551e-120,2.9528423931036,0.285,0.057,4.9402660694601e-116,0.228
Arg2,3.00902574752938e-123,2.87642607226953,0.275,0.052,1.50541558148895e-119,0.223
Thbs1,1.53228550943936e-80,2.82101294262713,0.307,0.088,7.66602440372511e-77,0.219
Ets2,1.73029429052753e-60,2.09410530021976,0.328,0.115,8.65666233550925e-57,0.213
Cd33,0,5.0150023744778,0.223,0.01,0,0.213
Tnfrsf1a,9.29339571608661e-50,1.80026052162534,0.373,0.16,4.64948587675813e-46,0.213
Cxcl3,0,8.07127415574845,0.212,0.001,0,0.211
Lcp2,5.43739602715194e-177,3.33027797246898,0.242,0.031,2.72032923238412e-173,0.211
Egr1,1.93901981234852e-211,3.655786977105,0.232,0.025,9.70091612117966e-208,0.207
Lyst,4.26686805698523e-149,3.2642120281833,0.243,0.036,2.13471408890971e-145,0.207
Rab8b,4.1665101202858e-119,2.89797557963177,0.251,0.045,2.08450501317899e-115,0.206
Pim1,2.23350674397497e-236,3.95217790613728,0.225,0.021,1.11742342401068e-232,0.204
Sdcbp,1.41907278081504e-41,1.55516846532197,0.466,0.262,7.09962112241765e-38,0.204
Fam107b,1.14162424333034e-50,2.06585091075114,0.345,0.141,5.71154608938171e-47,0.204
Adipor1,1.63326944251865e-45,1.86652046390395,0.378,0.175,8.17124702092079e-42,0.203
Fpr1,0,6.70225183086584,0.199,0.003,0,0.196
Selenon,8.91315755548853e-165,3.53692191601433,0.223,0.028,4.45925272501091e-161,0.195
Lyn,8.202083844211e-84,2.57535959513048,0.253,0.059,4.10350254725876e-80,0.194
Neat1,7.50647641636757e-32,1.15140867208903,0.511,0.317,3.7554901511087e-28,0.194
Cd300ld,0,5.22237464976505,0.199,0.007,0,0.192
