,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Actg2,0,5.91026641701978,0.987,0.067,0,0.92
Des,0,5.63543467774961,0.987,0.067,0,0.92
Myh11,0,5.05933799553012,0.99,0.104,0,0.886
Cnn1,0,5.92913210104157,0.924,0.04,0,0.884
Tagln,0,4.51355207635506,0.986,0.133,0,0.853
Flna,0,4.16972339822966,0.967,0.159,0,0.808
Smtn,0,4.30362663200476,0.746,0.066,0,0.68
Ckb,0,4.37201317703675,0.742,0.065,0,0.677
Synpo2,0,4.92267109662453,0.699,0.037,0,0.662
Fn1,0,3.16421668945156,0.677,0.118,0,0.559
Svil,0,3.90323345909484,0.61,0.061,0,0.549
Actn1,0,2.74066928768815,0.65,0.143,0,0.507
Lpp,0,2.79888836389058,0.644,0.138,0,0.506
Itgb1,0,2.13024656539541,0.808,0.313,0,0.495
Atp2b4,0,4.80902727371983,0.498,0.024,0,0.474
Fam129a,0,3.72318972395174,0.523,0.054,0,0.469
Itga1,0,3.56770433615769,0.498,0.052,0,0.446
Cav1,0,2.41560389015268,0.529,0.095,0,0.434
Sorbs1,0,2.86875128390512,0.509,0.085,0,0.424
Itga5,0,3.96058006718362,0.464,0.046,0,0.418
Ogn,0,2.71777252247226,0.466,0.075,0,0.391
Vcl,0,2.54269051964908,0.482,0.101,0,0.381
Clmp,0,3.6491592458425,0.415,0.038,0,0.377
Tgfb1i1,0,3.40100077292776,0.413,0.043,0,0.37
Enah,0,4.16175026307792,0.378,0.024,0,0.354
Hmcn2,0,2.63211138929624,0.411,0.061,0,0.35
Col4a2,0,1.84544928193785,0.447,0.118,0,0.329
Jph2,0,4.42794083032774,0.346,0.017,0,0.329
Pygb,0,2.68904072621797,0.402,0.074,0,0.328
Cavin1,0,2.51483136522896,0.39,0.07,0,0.32
Col4a1,0,1.52286676241722,0.453,0.141,0,0.312
Nedd4l,0,2.5595941447384,0.415,0.105,0,0.31
Nedd4,0,1.33538431004151,0.559,0.253,0,0.306
Slc24a3,0,4.21025156486004,0.323,0.018,0,0.305
Gem,0,3.17419990133145,0.33,0.04,0,0.29
Slc8a1,0,1.84793107947573,0.426,0.139,0,0.287
Zbtb16,0,2.28239794893711,0.361,0.076,0,0.285
Mcam,0,3.5494558795203,0.31,0.027,0,0.283
Cryab,0,3.50899940742624,0.31,0.028,0,0.282
Tnc,0,1.96016465076001,0.372,0.092,0,0.28
Cd59a,0,4.37693994663122,0.281,0.014,0,0.267
Gas1,0,3.35082653626877,0.291,0.024,0,0.267
Pln,0,5.05186767799327,0.269,0.007,0,0.262
Atp2a2,0,1.29605041724776,0.505,0.249,0,0.256
Prelp,0,2.05640883077633,0.336,0.08,0,0.256
Mbnl1,0,1.43854396892414,0.433,0.179,0,0.254
Kcnj8,0,3.68524632216871,0.271,0.022,0,0.249
Hspg2,0,2.19598528238375,0.319,0.07,0,0.249
Meis2,0,3.37700697939152,0.259,0.025,0,0.234
Ptgs1,0,2.87908177418169,0.271,0.041,0,0.23
Anxa6,0,1.88317620140389,0.308,0.085,0,0.223
Cacna1c,0,4.3022179686696,0.231,0.012,0,0.219
Grem1,0,1.66912462538948,0.297,0.078,0,0.219
Rgmb,0,1.81168898814751,0.3,0.09,0,0.21
Abcc9,0,3.48996898836431,0.223,0.02,0,0.203
Tnxb,0,2.13087833366349,0.248,0.05,0,0.198
Tgfbr3,0,1.4164039847941,0.281,0.088,0,0.193
Prkacb,0,2.37923465671658,0.241,0.049,0,0.192
Thbs1,0,1.86262082233167,0.267,0.076,0,0.191
Gnao1,0,2.58819116432892,0.22,0.034,0,0.186
Slc2a4,0,4.82459446136771,0.192,0.007,0,0.185
