,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,pct.1_pct.2
Ptprc,0,3.44064091224245,0.501,0.059,0,0.442
Dock2,0,3.78263042596504,0.417,0.037,0,0.38
Lat,0,4.99031727668167,0.356,0.014,0,0.342
Cd3g,0,4.76523827612547,0.349,0.014,0,0.335
Cd3d,0,4.9638886757518,0.332,0.013,0,0.319
Ets1,0,3.38911318711018,0.34,0.04,0,0.3
Gimap4,0,4.30333579988116,0.319,0.02,0,0.299
Itgb7,0,4.09744376022846,0.321,0.022,0,0.299
Cd53,0,2.95463785182519,0.344,0.049,0,0.295
Cd3e,0,4.96315459196684,0.29,0.01,0,0.28
Il7r,0,4.99442354792288,0.29,0.012,0,0.278
Selplg,0,3.61620921771489,0.303,0.029,0,0.274
Lck,0,4.50846099872284,0.287,0.015,0,0.272
Il2rg,0,3.48550485776218,0.295,0.03,0,0.265
Tcf7,0,4.6708706495059,0.277,0.015,0,0.262
Arhgef1,0,2.31850541776499,0.332,0.08,0,0.252
Itgal,0,3.86414198986249,0.256,0.021,0,0.235
Msn,0,1.79265583035338,0.338,0.109,0,0.229
Mbnl1,6.79892418480855e-310,1.42358236952866,0.419,0.192,3.40150176965972e-306,0.227
Id2,0,2.72093230445849,0.271,0.05,0,0.221
Il2rb,0,4.79347322607878,0.227,0.009,0,0.218
Itga4,0,2.73264796225423,0.258,0.044,0,0.214
Sema4d,0,2.76179491178756,0.25,0.042,0,0.208
Ikzf1,0,3.35178435251245,0.233,0.026,0,0.207
Inpp4b,0,3.50851635153134,0.232,0.025,0,0.207
Lcp2,0,3.12118378120319,0.235,0.029,0,0.206
Pdcd4,1.4233607623119e-310,1.61577132987609,0.351,0.145,7.12107389384644e-307,0.206
Ighm,0,2.15193222021597,0.241,0.043,0,0.198
Cyfip2,0,2.92537271911391,0.229,0.033,0,0.196
Myh9,4.90840313050537e-177,0.990112216237282,0.478,0.292,2.45567408619184e-173,0.186
Fyn,0,2.62610229427307,0.214,0.038,0,0.176
Itgb2,0,2.72159804562143,0.21,0.034,0,0.176
Ifngr1,4.98163072187444e-200,1.40415276804225,0.371,0.196,2.49230985015378e-196,0.175
Spn,0,4.48956998022005,0.172,0.008,0,0.164
Ccnd2,2.50595024963739e-171,1.21508674953202,0.323,0.162,1.25372690989359e-167,0.161
Cd247,0,5.21573579218025,0.163,0.005,0,0.158
Cd4,0,3.12431579019657,0.181,0.023,0,0.158
Cd48,0,2.83420953862006,0.184,0.027,0,0.157
Anxa6,5.76013009533793e-238,1.51637771070681,0.254,0.097,2.88179308669756e-234,0.157
Apobec3,0,1.97856201597347,0.215,0.06,0,0.155
Samhd1,6.179713113298e-203,1.48205812018047,0.264,0.112,3.09171047058299e-199,0.152
Grk2,8.42112204325154e-145,1.12354200616451,0.309,0.161,4.21308735823874e-141,0.148
Gm2a,4.0395920530525e-203,1.17880274176862,0.242,0.095,2.02100790414217e-199,0.147
Gramd1a,0,2.39178868246381,0.185,0.039,0,0.146
Adgre5,9.40560710313956e-304,1.98792814997714,0.202,0.059,4.70562523370072e-300,0.143
Ikzf2,0,2.88506601380261,0.172,0.032,0,0.14
Arrb2,0,2.06040304284797,0.185,0.046,0,0.139
Zap70,0,4.81630194842985,0.143,0.005,0,0.138
Fam49b,3.6399597039501e-181,1.39333470033506,0.234,0.097,1.82107183988623e-177,0.137
Fli1,0,2.52903599651619,0.167,0.031,0,0.136
