"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Adamdec1",1.04143130147678e-32,1.86012340519175,0.225,0.067,5.21028080128834e-29,28.2831388703351,0.158
"Serpina3n",9.11965132983568e-15,1.0051604804726,0.339,0.192,4.56256156031679e-11,10.3407912627819,0.147
"Col1a2",2.75227095138413e-10,0.869406687479867,0.216,0.115,1.37696115697748e-06,5.8610783106859,0.101
"Jchain",2.97339054676667e-13,1.64674737693299,0.189,0.089,1.48758729054737e-09,8.82751754076529,0.1
"Col1a1",3.64283023390732e-10,0.976819629900846,0.195,0.102,1.82250796602383e-06,5.73933056474243,0.093
"Epas1",4.06063386282777e-11,1.14674463134316,0.175,0.083,2.03153512157273e-07,6.69217566510553,0.092
"Odc1",1.72368725877611e-06,0.65746547867731,0.274,0.185,0.00862360735565687,2.06431102571411,0.089
"Pou2af1",0.00442726966395939,0.0913793941637021,0.453,0.364,1,0,0.089
"Col4a1",3.19298368028527e-11,1.15817952640544,0.156,0.07,1.59744973524672e-07,6.79657279830159,0.086
"Col6a2",4.23782429631393e-13,1.43487001813978,0.141,0.056,2.12018349544586e-09,8.6736265505755,0.085
"Ccl11",5.42409269887209e-19,2.00746984274103,0.114,0.031,2.71367357724571e-15,14.5664423940112,0.083
"Mki67",8.07391702355453e-07,0.832093702154722,0.177,0.104,0.00403938068688433,2.39368521530679,0.073
"Sfrp1",2.76903529660902e-09,1.25921936060157,0.123,0.054,1.38534835889349e-05,4.8584410054285,0.069
"Nedd4",6.83273258033146e-06,0.776101251422768,0.166,0.1,0.0341841610993983,1.46617507349021,0.066
"Il33",2.87028568336241e-08,1.27227551342702,0.116,0.054,0.000143600392738621,3.84284437232225,0.062
"Sdc1",2.81501121726498e-09,1.25653277688127,0.102,0.041,1.40835011199767e-05,4.85128936734785,0.061
"Top2a",6.05196125529046e-06,0.859581954616473,0.133,0.074,0.0302779621602182,1.51887335811366,0.059
"Gja1",3.27207150953469e-07,1.09765008181499,0.112,0.054,0.00163701737622021,2.78594671071848,0.058
"Tgm2",2.40673251945311e-05,0.870413402895907,0.146,0.088,0.120408827948239,0.919341670979703,0.058
"Col4a2",1.58058346813381e-07,1.24317439402625,0.098,0.043,0.000790765909107345,3.10195206192501,0.055
"Tagln",2.02113853806727e-07,1.26173715363309,0.096,0.042,0.00101117561059505,2.99517341405351,0.054
"Fstl1",1.98390113520704e-06,0.982357813442276,0.106,0.052,0.00992545737944084,2.00324947118545,0.054
"P4hb",0.00488320124673968,0.365193464690902,0.227,0.174,1,0,0.053
"Sel1l",0.000338481520295278,0.716459358365378,0.154,0.101,1,0,0.053
"Col18a1",7.57920806065501e-07,1.28424815509309,0.098,0.046,0.0037918777927457,2.4211456678507,0.052
"Calu",0.000475699094219376,0.660120049815295,0.148,0.097,1,0,0.051
"Mprip",0.00363079554710095,0.425045793830263,0.195,0.146,1,0,0.049
"Fcgr3",8.04224641488572e-09,1.64605104751961,0.077,0.028,4.02353588136733e-05,4.39539212133831,0.049
"Igha",0.000164234026300683,1.56747503928319,0.316,0.267,0.821662833582319,0.085306357099838,0.049
"Col6a3",1.15556663532393e-07,1.33938970928555,0.081,0.033,0.000578129987652563,3.23797450314821,0.048
