"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Cd24a",1.08576573414059e-09,0.735566543210115,0.395,0.274,5.43208596790537e-06,5.26503336555165,0.121
"Hoxd11",6.11105005556159e-12,1.354064285252,0.176,0.073,3.05735834279747e-08,7.51465365607961,0.103
"Dpp10",2.09463105863977e-13,1.59117541499492,0.151,0.05,1.04794391863747e-09,8.97966195826639,0.101
"Cav1",5.19708324616506e-07,0.437442899514105,0.618,0.519,0.00260010074805638,2.5850098237687,0.099
"Zbtb16",1.97640837457048e-06,0.624303175675132,0.293,0.202,0.0098879710979761,2.00489281167353,0.091
"Mprip",0.000137429509301547,0.282151600976314,0.615,0.529,0.687559835035639,0.162689501286718,0.086
"Pkm",0.000249248924774399,0.350036658289701,0.421,0.345,1,0,0.076
"Fgfr3",2.44012893022084e-09,1.54879002103034,0.118,0.044,1.22079650378949e-05,4.91335672315321,0.074
"Cavin1",0.000436379672547405,0.372503519336587,0.391,0.318,1,0,0.073
"Hoxd10",2.3497268384425e-09,1.43951261994533,0.107,0.036,1.17556833727278e-05,4.92975211971825,0.071
"Cav2",0.000313962265518758,0.400082127066512,0.38,0.31,1,0,0.07
"Txnip",0.000842939632558035,0.332997664343466,0.391,0.321,1,0,0.07
"Defa5",1.4203387599796e-06,1.01561006241173,0.145,0.076,0.00710595481617795,2.14837755833656,0.069
"Cacna2d1",0.000548047046693139,0.429953791520487,0.246,0.18,1,0,0.066
"Pde3b",1.53698455852088e-06,1.10661887541888,0.121,0.058,0.00768953374627997,2.11409999278071,0.063
"Fam129a",0.0018195166878271,0.419631699381385,0.379,0.318,1,0,0.061
"Ckb",0.00384142511738033,0.323667075978492,0.382,0.323,1,0,0.059
"Ybx3",0.000712381958271375,0.501614776647933,0.204,0.146,1,0,0.058
"Ntn1",0.00475564458704985,0.293487431755472,0.388,0.33,1,0,0.058
"Fkbp5",5.05239917537031e-05,0.791245719027804,0.134,0.077,0.252771530743777,0.59727184153335,0.057
"Kras",0.000279864134571397,0.65351014599057,0.171,0.114,1,0,0.057
"Pdcd4",0.00116969566339393,0.504290391375213,0.211,0.155,1,0,0.056
"Lmna",0.00541315459866004,0.302850072634767,0.354,0.298,1,0,0.056
"Myh11",0.000917287942010703,0.34382968230325,0.631,0.576,1,0,0.055
"Id4",0.000617728113578193,0.685267602207833,0.19,0.135,1,0,0.055
"Neat1",0.00564355948974575,0.312036093546503,0.314,0.259,1,0,0.055
"Osr1",3.35989578360483e-05,0.929880188385844,0.117,0.063,0.16809558605375,0.774443690353913,0.054
"Slc12a2",0.00692587317163483,0.36532550201149,0.328,0.274,1,0,0.054
"Hoxd9",0.00111139117568379,0.57138764325535,0.176,0.123,1,0,0.053
"Smtn",0.00134310374518166,0.552756908516962,0.345,0.292,1,0,0.053
"Arrdc3",0.000739964002025061,0.539312547557043,0.146,0.095,1,0,0.051
"Nedd4l",0.00208055563895545,0.492405299987244,0.179,0.128,1,0,0.051
"Synpo2",0.00316491220081545,0.422577353884668,0.383,0.332,1,0,0.051
"Arrb1",0.00256879435861422,0.477799653674245,0.179,0.129,1,0,0.05
"Wapl",0.00573460203059628,0.347491631328514,0.196,0.147,1,0,0.049
"Mboat1",0.000324130144501234,0.733959978410587,0.122,0.073,1,0,0.049
"Yy1",0.00897168071777744,0.345557605635209,0.193,0.147,1,0,0.046
"Chd4",0.0231423076832409,0.252553669516028,0.286,0.24,1,0,0.046
"Rhoa",0.0405150419051688,0.195700235531318,0.378,0.333,1,0,0.045
"Kifap3",0.00028383556944029,0.866410274434236,0.097,0.053,1,0,0.044
"Mta3",0.00420347686949061,0.501036889581969,0.149,0.105,1,0,0.044
"Jph2",0.00596484574544011,0.494009185689834,0.165,0.122,1,0,0.043
"Ptbp1",0.0271868281567542,0.249659816694629,0.271,0.228,1,0,0.043
"Col23a1",0.0153931234055415,0.323087196746346,0.466,0.424,1,0,0.042
"Fzd1",0.0036918874420451,0.55281053930602,0.14,0.098,1,0,0.042
"Speg",0.00322261730623436,0.548009553042199,0.126,0.084,1,0,0.042
"Ddit4",0.00577218781913788,0.545120116785165,0.151,0.109,1,0,0.042
"Tpcn1",0.020225298332816,0.344917687664687,0.24,0.198,1,0,0.042
"Sdhc",0.0293619288985845,0.243831562550373,0.236,0.194,1,0,0.042
"Rtn3",0.0748608406185048,0.143312772734359,0.34,0.299,1,0,0.041
"Thra",0.0210161583487698,0.330038511325916,0.216,0.175,1,0,0.041
"Prelp",0.0313483652905743,0.286501001439365,0.254,0.213,1,0,0.041
"Eif4g1",0.0313678783875248,0.258801486694172,0.221,0.18,1,0,0.041
"Npc1",0.00312702181061956,0.677237388398645,0.122,0.081,1,0,0.041
"Srsf2",0.031965172528261,0.27876535265976,0.281,0.241,1,0,0.04
"Trpc1",5.45737513877891e-08,2.68149255851645,0.046,0.006,0.000273032478193109,3.56378568899921,0.04
"Id2",0.00666643600703061,0.600335414280391,0.145,0.105,1,0,0.04
"Tgfbr3",0.0377941113642701,0.270879310146954,0.301,0.261,1,0,0.04
"Kif1b",0.0183408693343352,0.392132326085519,0.183,0.144,1,0,0.039
"Furin",0.0256338543821668,0.364503513440638,0.194,0.155,1,0,0.039
"Foxf1",0.0402542793636676,0.251278527979162,0.415,0.376,1,0,0.039
"Aldoa",0.0170877912143193,0.314814184829498,0.402,0.364,1,0,0.038
"Phc2",0.00821180466361609,0.526364559002219,0.136,0.098,1,0,0.038
"Cops2",0.0276844380472061,0.332597416028819,0.2,0.162,1,0,0.038
"Riok3",0.0123163778565152,0.472573425458275,0.143,0.105,1,0,0.038
"Thrap3",0.0132267721976005,0.454201337767164,0.155,0.117,1,0,0.038
"Nkx3-2",0.0140883525377967,0.40579992981171,0.153,0.115,1,0,0.038
"Stim2",0.0104330110993038,0.429953791520487,0.132,0.095,1,0,0.037
"Lsm14a",0.0360853614168192,0.325617131705751,0.201,0.164,1,0,0.037
"Hspd1",0.0474162498704161,0.311629986565387,0.246,0.209,1,0,0.037
"Parva",0.0563552597857747,0.229517485861526,0.242,0.205,1,0,0.037
"Itga8",4.13954382842178e-05,1.35607547754921,0.06,0.023,0.207101377735942,0.683817011965424,0.037
"Gak",0.00293339587629658,0.694067251287074,0.102,0.065,1,0,0.037
"Myo18a",0.00353592808028918,0.595631821862613,0.104,0.067,1,0,0.037
"Ppp6c",0.00660054330984977,0.575697894493854,0.113,0.077,1,0,0.036
"Tln1",0.0209504159962727,0.403208033136218,0.158,0.122,1,0,0.036
"Ncor1",0.0241583059039986,0.436526445443973,0.18,0.144,1,0,0.036
"Lama4",0.0260324096595469,0.293235835468093,0.162,0.126,1,0,0.036
"Tsc22d3",0.0341763698300157,0.338502848101259,0.183,0.147,1,0,0.036
"Khsrp",0.0196754764735468,0.399431846743591,0.151,0.115,1,0,0.036
"Socs6",0.0183694773064343,0.398735060909766,0.138,0.103,1,0,0.035
"Mybbp1a",0.00469431076392892,0.683494911427599,0.1,0.065,1,0,0.035
"Itga5",0.00838416606477908,0.564469458236696,0.113,0.078,1,0,0.035
"Ppp3cb",0.031478768357379,0.353786742487271,0.173,0.138,1,0,0.035
"Mbnl1",0.0875155089032287,0.198228662239925,0.314,0.279,1,0,0.035
"Grn",0.0755671285342453,0.252965397555606,0.275,0.241,1,0,0.034
"Gfra1",1.85869516403791e-06,2.35454638886246,0.041,0.007,0.00929905190568167,2.03156132812567,0.034
"Nr3c1",0.00732202414869847,0.503179771581419,0.1,0.066,1,0,0.034
"Cdk9",0.0098874857257844,0.562591560098606,0.111,0.077,1,0,0.034
"Acaa2",0.0312869016584175,0.34966600256285,0.158,0.124,1,0,0.034
"Pygb",0.0656476369832309,0.236821398916849,0.213,0.179,1,0,0.034
"Anp32e",0.0201069348078934,0.450712351687284,0.127,0.094,1,0,0.033
"Srebf2",0.057813685484425,0.249914712313977,0.187,0.154,1,0,0.033
"Clic4",0.063413275085316,0.291536591336664,0.245,0.212,1,0,0.033
"Glud1",0.0829074899970839,0.217593523757778,0.247,0.214,1,0,0.033
"Arhgef12",0.101196436331599,0.139387483515608,0.245,0.212,1,0,0.033
"Hspa9",0.101311553797265,0.168362802556361,0.233,0.2,1,0,0.033
"Dag1",0.0293991577964981,0.433093499051054,0.137,0.105,1,0,0.032
"Fus",0.0117059936932675,0.54013670927091,0.101,0.069,1,0,0.032
"Tgfbr1",0.0180998402929955,0.462657956593192,0.113,0.081,1,0,0.032
"Entpd1",0.0396105382282394,0.365861702090298,0.151,0.119,1,0,0.032
"Kdm5c",0.0448104309749206,0.338031302079448,0.164,0.132,1,0,0.032
"Pgk1",0.0799436807083192,0.207832578952746,0.205,0.173,1,0,0.032
"Coro1c",0.0972300862600173,0.203046120737926,0.252,0.22,1,0,0.032
"Rac1",0.130685538639702,0.156964305047013,0.308,0.276,1,0,0.032
"Clock",0.0337152107472701,0.433093499051054,0.134,0.103,1,0,0.031
"Robo2",0.00464280747165289,0.702251118683248,0.077,0.046,1,0,0.031
"Dicer1",0.0176515186302272,0.536360018525426,0.107,0.076,1,0,0.031
"Ndrg4",0.0261303689670863,0.497687968067932,0.125,0.094,1,0,0.031
"Psmb6",0.0332892716298354,0.394065336993775,0.131,0.1,1,0,0.031
"Fmr1",0.0588631949836833,0.304728597548988,0.172,0.141,1,0,0.031
"Cs",0.0635492665787355,0.336743756218987,0.2,0.169,1,0,0.031
"Sumo3",0.0822002886081673,0.155142217910339,0.18,0.149,1,0,0.031
"Vcan",0.00843918578828598,0.590674102066645,0.081,0.051,1,0,0.03
"Mkx",2.88674371237045e-06,2.35956446362909,0.035,0.005,0.0144423787929893,1.84036126856805,0.03
"Klf11",0.00100921981252231,1.10008787720848,0.057,0.027,1,0,0.03
"Sirt4",0.00103493451756035,1.04946180413852,0.057,0.027,1,0,0.03
"Hlf",3.04684178685659e-05,1.9229938028006,0.039,0.009,0.152433494596435,0.816919593888041,0.03
"Adamdec1",0.014015273038753,0.72817762581658,0.1,0.07,1,0,0.03
"Nfyc",0.0159548152693171,0.522455873216875,0.096,0.066,1,0,0.03
"Kdm6b",0.0196254874172179,0.521415343030486,0.103,0.073,1,0,0.03
"Col4a5",0.036572844218322,0.390005577193225,0.126,0.096,1,0,0.03
"Diaph1",0.0753722737408118,0.26776443885778,0.177,0.147,1,0,0.03
"Dctn1",0.076922330751706,0.272628826857808,0.179,0.149,1,0,0.03
"Got2",0.0816734285281528,0.285715433741824,0.193,0.163,1,0,0.03
"Atp2b4",0.0825918339388379,0.289303712453687,0.21,0.18,1,0,0.03
"Aplp2",0.101042344180627,0.225100456775222,0.231,0.201,1,0,0.03
"Myo1c",0.130410774844919,0.194031231303934,0.255,0.225,1,0,0.03
"Myh10",0.144154366238745,0.11193015108904,0.221,0.191,1,0,0.03
"Tmem119",0.119503892131358,0.170232119727528,0.298,0.268,1,0,0.03
"Sdcbp",0.183945852731997,0.123371670013936,0.274,0.245,1,0,0.029
"Idi1",0.00993728911711462,0.678464865818882,0.08,0.051,1,0,0.029
"Wwox",0.00717155664553854,0.694965846794723,0.074,0.045,1,0,0.029
"Zfyve9",0.0079873021854028,0.702251118683248,0.076,0.047,1,0,0.029
"Snf8",0.0190304458936605,0.507189116563564,0.094,0.065,1,0,0.029
"Aebp2",0.0298431573874508,0.434680622468425,0.108,0.079,1,0,0.029
"Cers2",0.0316980244168447,0.420802093150956,0.11,0.081,1,0,0.029
"Ptk2",0.0320976005079274,0.394958370164283,0.109,0.08,1,0,0.029
"Stk38l",0.0582296857161748,0.341905797132582,0.166,0.137,1,0,0.029
"Anxa2",0.0604278740918824,0.39932083177367,0.165,0.136,1,0,0.029
