"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Cd14",1.1633219975699e-31,1.8739409865364,0.204,0.089,5.82009995384219e-28,27.235069556754,0.115
"Il1rn",4.36512986675907e-31,2.03532241229731,0.21,0.097,2.18387447233956e-27,26.6607723282095,0.113
"Fcgr3",4.19114222324247e-09,0.442141073590399,0.354,0.277,2.09682845428821e-05,4.67843709857781,0.077
"App",4.95007094289802e-09,0.429176466988416,0.295,0.219,2.47652049273188e-05,4.60615807396315,0.076
"Clec4e",3.01399259542362e-39,3.90938161543846,0.084,0.009,1.50790049549043e-35,34.8216273160824,0.075
"Cd68",2.03512299103242e-07,0.349862710386338,0.394,0.319,0.00101817203241352,2.99217883652211,0.075
"F13a1",3.70063195423607e-22,1.48366512285873,0.119,0.044,1.8514261667043e-18,17.7324936025626,0.075
"Adamdec1",2.31601872704834e-10,0.650199535100273,0.252,0.178,1.15870416914229e-06,5.93602743039415,0.074
"Itgam",3.79151515594994e-09,0.594781025045099,0.21,0.144,1.89689503252176e-05,4.72195670077073,0.066
"Plin2",2.42719446073636e-08,0.495792912696857,0.245,0.179,0.00012143253887064,3.91566492480544,0.066
"Marcks",1.55406994133891e-05,0.225397550825768,0.54,0.475,0.0777501191651857,1.10929893667099,0.0650000000000001
"Anxa2",3.86930467317743e-07,0.46554612820364,0.36,0.297,0.00193581312799067,2.71313656923815,0.063
"Lrp1",1.30061378577684e-06,0.387813188222277,0.256,0.195,0.00650697077024151,2.18662114414233,0.061
"Chil3",7.02639776892204e-26,2.31631406508025,0.073,0.014,3.5153068037917e-22,21.4540367652732,0.059
"Rab32",6.86523590508303e-07,0.448384827088776,0.246,0.187,0.00343467752331304,2.46411403194359,0.059
"Pkm",2.19473681791714e-06,0.404731607846044,0.365,0.307,0.0109802683000394,1.95938704788201,0.058
"Rbpj",6.32644862250283e-06,0.340415514953978,0.309,0.251,0.0316512224583817,1.49960951166,0.058
"Mapkapk2",8.98167635545435e-06,0.37640631656893,0.257,0.201,0.0449353268063381,1.34741209541825,0.056
"Tgm2",5.39924176427652e-06,0.515534293215281,0.259,0.205,0.0270124065466754,1.56843672261063,0.054
"Aldoa",1.97750517856563e-05,0.336491947017879,0.275,0.221,0.0989345840836387,1.00465186764243,0.054
"Ptgs2",6.86043617053276e-19,2.53110970225272,0.076,0.022,3.43227621611754e-15,14.4644177691017,0.054
"Adgre5",2.13337179227234e-06,0.494328833454112,0.24,0.186,0.0106732590767385,1.97170294862372,0.054
"Flna",0.000368654560282468,0.19270303541724,0.352,0.298,1,0,0.054
