"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Adamdec1",7.25449059440679e-218,0.513710111519484,0.655,0.576,3.62942164438172e-214,213.440162575147,0.0790000000000001
"Igfbp3",8.25369735549957e-155,0.992589948562363,0.225,0.146,4.12932478695643e-151,150.384120956884,0.079
"Txnip",5.458289407261e-87,0.509312924696073,0.355,0.293,2.73078219045268e-83,82.5637129381821,0.062
"Plpp3",2.96243342965818e-64,0.454730559009448,0.281,0.225,1.48210544485799e-60,59.82912089724,0.056
"Cd36",1.33509944640887e-149,1.38043136423306,0.091,0.039,6.67950253038356e-146,145.17525588129,0.052
"Epcam",2.33610127665268e-64,0.519391757500531,0.153,0.107,1.16875146870933e-60,59.9322778303637,0.046
"Pcsk6",5.94192806676769e-81,0.900359979536725,0.107,0.064,2.97274661180388e-77,76.5268421072045,0.043
"Zbtb16",5.15740513318219e-40,0.373367917345569,0.288,0.245,2.58024978813105e-36,35.5883382489376,0.043
"Col15a1",2.8313911529291e-41,0.415452936458472,0.208,0.167,1.41654499381043e-37,36.8487696264007,0.041
"Tgfbr3",6.99554954511883e-40,0.350452328898321,0.372,0.331,3.49987343742295e-36,35.4559476603419,0.041
"Tsc22d3",2.32003194161373e-37,0.363674039584288,0.302,0.262,1.16071198038935e-33,32.9352755329278,0.04
"Defa5",1.59906318370448e-53,0.635422109707713,0.128,0.09,8.00011310807352e-50,49.0969038727749,0.038
"Abca8a",1.45511727981674e-65,0.857182410473541,0.09,0.054,7.27995175092314e-62,61.1378714990355,0.036
"Bdkrb2",5.39219827502399e-59,0.788444630359345,0.095,0.061,2.6977167969945e-55,54.569003643974,0.034
"F13a1",6.40702010715046e-55,0.691700331480845,0.088,0.055,3.20543215960737e-51,50.4941134101763,0.033
"Cd24a",2.36821068821448e-34,0.422105027992747,0.143,0.11,1.1848158073137e-30,29.9263491602741,0.033
"Hoxd9",7.12484615497048e-79,1.07267831319968,0.063,0.031,3.56456053133173e-75,74.4479940059475,0.032
"Lepr",8.34844601488527e-47,0.655587212584631,0.102,0.07,4.1767275412471e-43,42.3791638539645,0.032
"Muc2",4.2356059554105e-25,0.499897387739288,0.197,0.166,2.11907365949187e-21,20.6738539468499,0.031
