"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Gpr37l1",3.36185163764423e-16,0.581449169461314,0.683,0.457,1.68193437431341e-12,11.7741909535022,0.226
"Sox10",1.76841344539434e-09,0.561771336530668,0.432,0.274,8.84737246730787e-06,5.05318568889318,0.158
"Gfra1",8.05026906372477e-12,0.772196708660055,0.487,0.333,4.0275496125815e-08,7.39495910110423,0.154
"Abca8b",2.72597972653903e-13,1.43382367566585,0.223,0.088,1.36380765718747e-09,8.86524687550971,0.135
"Grik3",4.2530705715106e-07,0.513994024349837,0.393,0.263,0.00212781120692675,2.67206690806272,0.13
"Cdh2",2.89658807575939e-06,0.455685619131433,0.413,0.291,0.0144916301430242,1.83888275860751,0.122
"Adamts1",1.81650818583056e-08,0.960660794403333,0.339,0.224,9.08799045371028e-05,4.04153213782838,0.115
"Ptprz1",1.15503064796052e-05,0.540319443091546,0.358,0.256,0.0577861833174648,1.23817598902389,0.102
"Itgb1",0.00179253401155686,0.190980337844527,0.577,0.476,1,0,0.101
"Mest",0.000104878540086602,0.37062984917866,0.331,0.233,0.524707336053272,0.280082863788734,0.098
"Plec",0.00010702663011005,0.451512951236882,0.36,0.27,0.535454230440582,0.271277645871553,0.09
"Cd24a",9.6473850144994e-07,0.928924399437736,0.179,0.092,0.00482658672275405,2.31635988612255,0.087
"Postn",0.00218441875967004,0.224109452071291,0.437,0.357,1,0,0.08
"Map1lc3a",0.000384516435429771,0.46160350922615,0.293,0.214,1,0,0.079
"Hnrnpa1",0.00185792772406031,0.312065956684052,0.355,0.277,1,0,0.078
"Cavin1",0.00093792172536128,0.387582982459857,0.403,0.327,1,0,0.076
"Igsf11",7.24927435497402e-05,0.833495873548119,0.185,0.114,0.36268119597935,0.44047496080806,0.071
"Col6a3",0.000791933025593091,0.60558573197902,0.279,0.212,1,0,0.067
"Epas1",6.99335489072642e-05,0.824141496272139,0.155,0.088,0.349877545183043,0.456083929240521,0.067
"Sst",2.5828280836206e-08,1.25381618419591,0.084,0.019,0.000129218889023539,3.88867399718395,0.065
"Itgav",0.00250804751892066,0.355281884845224,0.466,0.401,1,0,0.065
"Itga1",0.0134115767991225,0.217529470377706,0.43,0.368,1,0,0.062
"Itgb8",7.19193971899856e-08,2.20070484773635,0.08,0.019,0.000359812744141498,3.44392345852156,0.061
"Npepps",0.000392372032201209,0.79655566460024,0.144,0.086,1,0,0.058
"Anxa2",0.0130875011688128,0.29654840144519,0.399,0.341,1,0,0.058
"Iqgap1",0.00497952458829965,0.438694124123814,0.238,0.181,1,0,0.057
