"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Il1rn",5.34715801079093e-31,2.41344182145669,0.734,0.263,2.6751831527987e-27,26.5726464792402,0.471
"Clec4e",5.15788810923436e-28,2.70708827724984,0.636,0.167,2.58049142104995e-24,23.5882975804215,0.469
"Ptgs2",2.5659347545587e-20,2.61607098797171,0.522,0.118,1.28373715770572e-16,15.8915238879831,0.404
"Acod1",5.14842949263941e-17,2.15132127620742,0.502,0.129,2.5757592751675e-13,12.5890947276288,0.373
"Il1a",5.36280986708055e-19,3.14300136732145,0.426,0.059,2.6830137765004e-15,14.5713770973457,0.367
"Cd14",2.93010575697701e-24,1.70036215597657,0.804,0.473,1.4659319102156e-20,19.8338862013896,0.331
"Ccl3",4.41813934796586e-16,3.55744995996552,0.378,0.059,2.21039511578732e-12,11.6555300877319,0.319
"Cxcl2",2.57433154215483e-14,2.61123878648929,0.407,0.097,1.28793807054006e-10,9.8901050191729,0.31
"Nos2",2.02498731301942e-15,3.36162062555584,0.337,0.032,1.01310115270362e-11,10.9943471905056,0.305
"Map4k4",1.64142638841511e-12,1.47678695082052,0.505,0.204,8.21205622124078e-09,8.08554808603171,0.301
"Nlrp3",8.29574209416629e-15,3.68978067415472,0.304,0.022,4.15035976971139e-11,10.3819142552811,0.282
"Marcksl1",1.00659427527201e-12,1.64372733087458,0.591,0.312,5.03599115918588e-09,8.29791504097882,0.279
"Sod2",1.23381402510115e-11,1.58414049908027,0.433,0.161,6.17277156758103e-08,7.20951979443653,0.272
"Cd274",4.33890545105166e-10,1.47565586880187,0.421,0.161,2.17075439716115e-06,5.66338931058128,0.26
"Inhba",2.37197834791583e-13,4.04903039524782,0.273,0.016,1.18670076746229e-09,8.92565877676821,0.257
"Socs3",1.76574134719075e-12,1.31311691159451,0.663,0.409,8.83400395999533e-09,8.05384241039756,0.254
"Cxcl9",4.12702476364096e-10,2.41375342987597,0.342,0.108,2.06475048924957e-06,5.68513242230742,0.234
"Tnfaip3",1.62506151157777e-09,1.95833208495608,0.356,0.124,8.13018274242357e-06,5.0898996926428,0.232
"Mapkapk2",8.87693550916523e-08,0.981546798531831,0.574,0.36,0.000444113083523537,3.35250643236927,0.214
"Cxcl10",1.238628225635e-09,3.3385370124428,0.278,0.065,6.19685701285189e-06,5.20782852470652,0.213
"Ddit4",6.76585971591029e-08,1.74115431458715,0.368,0.161,0.000338495961586992,3.47044650828149,0.207
"Noct",1.34871674444781e-08,2.07972719247073,0.285,0.081,6.74762987247237e-05,4.17084874777103,0.204
"Ero1l",9.80868267843436e-08,1.59913892223687,0.337,0.134,0.000490728394402071,3.30915881225473,0.203
"Malt1",7.94217662881916e-09,2.25806443372925,0.261,0.059,3.97347096739822e-05,4.4008299558558,0.202
"Mxd1",3.11341506031884e-06,0.902189006918547,0.392,0.194,0.0155764155467752,1.80753247524867,0.198
"Kdm6b",1.9138673626602e-06,1.14611458980464,0.368,0.177,0.00957507841538897,2.01885766067722,0.191
"Bcl2a1a",2.74954575439893e-06,1.14715511999102,0.378,0.188,0.0137559774092578,1.86150854606918,0.19
"Slc2a1",5.91656255515947e-06,1.24243199918599,0.366,0.188,0.0296005624634628,1.52870003649318,0.178
"Arg2",6.22678878939125e-06,1.11600810796535,0.297,0.124,0.0311526243133244,1.50650536227002,0.173
"Cxcl3",2.02313514891881e-08,4.18052783325823,0.182,0.016,0.000101217451500408,3.99474460175598,0.166
"Chil3",5.30171146220547e-05,1.05235075353943,0.354,0.188,0.26524462445414,0.576353408910357,0.166
"Plaur",8.99872137774805e-06,1.37612019525096,0.321,0.156,0.0450206030528735,1.34658869190367,0.165
"Acp5",5.46732131000286e-06,1.6094072576907,0.266,0.102,0.0273530085139443,1.56299489934343,0.164
"Aldoa",0.000164773987222264,0.609407257690701,0.524,0.366,0.824364258072985,0.0838808461725131,0.158
"Gk",3.14866630445386e-05,1.2969224097423,0.251,0.102,0.157527775211827,0.80264286055546,0.149
"Abca1",0.00019105390527406,0.889350701589307,0.342,0.194,0.955842688086122,0.01961357772163,0.148
"Sdc1",2.46746345607585e-05,1.4167621797483,0.23,0.086,0.123447196707475,0.908518767767674,0.144
"Clic4",0.000203104066205714,1.02046124305105,0.301,0.161,1,0,0.14
"Atp6v1a",0.000524023403444938,0.721096214620929,0.344,0.204,1,0,0.14
"Cdkn1a",0.000380932965640823,0.886247463049525,0.321,0.183,1,0,0.138
"Pim1",0.000289321628926647,0.852263781586864,0.289,0.151,1,0,0.138
"Jak2",0.00120086261003378,0.689780674154721,0.383,0.247,1,0,0.136
"Tnfrsf1b",0.000123527261541267,0.840361692530573,0.5,0.366,0.618006889490957,0.209006683404343,0.134
"Dusp1",0.00169365035160685,0.663676920218822,0.354,0.22,1,0,0.134
"Pgk1",0.000924769669670129,0.656432592516588,0.481,0.349,1,0,0.132
"Slc16a3",0.00194357922520252,0.416762179748305,0.297,0.172,1,0,0.125
"Cfb",0.000490801322261863,1.14882897450167,0.361,0.237,1,0,0.124
"Nfkb1",0.00231103900448955,0.625796218229734,0.419,0.296,1,0,0.123
"Olr1",8.36779542198364e-06,2.71932494976874,0.141,0.022,0.0418640804961842,1.37815844320688,0.119
"Tgm2",0.000206361501124099,0.681659329599288,0.581,0.462,1,0,0.119
"Slc11a1",0.00286785444061216,0.612789897085353,0.44,0.323,1,0,0.117
"Vegfa",3.97407925960658e-05,2.43171252121428,0.153,0.038,0.198823185358117,0.701532972625,0.115
"Slc9a3r1",0.000217554306288558,1.56876527319336,0.17,0.059,1,0,0.111
"Nampt",0.00377725361396616,0.496489372219039,0.476,0.366,1,0,0.11
"Mmp13",1.06383331384737e-05,4.18052783325823,0.12,0.011,0.0532235806917842,1.27389591102529,0.109
"Pkm",5.31729206196101e-06,0.639154601084753,0.711,0.602,0.0266024121859909,1.57507898173104,0.109
"Dusp5",0.000326419949379107,1.56360356807758,0.179,0.07,1,0,0.109
"Odc1",0.00156286319087475,1.07058653861427,0.215,0.108,1,0,0.107
"Tgfb1",0.00934110140545351,0.506161264801412,0.404,0.301,1,0,0.103
"Fpr2",0.0112488520437999,0.576758063946885,0.366,0.263,1,0,0.103
"Tiparp",0.00212269432406372,1.12458142825499,0.196,0.097,1,0,0.099
"Arg1",4.86901718212918e-05,1.51629785329922,0.108,0.011,0.243596929621923,0.613328189999178,0.097
"Ptges",0.000137614237202561,2.37612019525096,0.124,0.027,0.688484028724412,0.162106129942001,0.097
"Ltb4r1",0.000153473062628474,2.02819689183065,0.124,0.027,0.767825732330256,0.114737337358269,0.097
"Ezr",0.00268545134878037,1.00933786457934,0.194,0.097,1,0,0.097
"Gbp2",0.00580267471269432,0.621876609652917,0.531,0.435,1,0,0.096
"Ets2",0.00773243670870773,0.85116500389408,0.268,0.172,1,0,0.096
"Bcl3",0.00183355421264657,1.21031130228088,0.17,0.075,1,0,0.095
"Pfkp",0.00703148996617505,0.784493964248792,0.246,0.151,1,0,0.095
"Itga5",0.01193627535254,0.614988289954001,0.294,0.199,1,0,0.095
"Cpeb4",0.00338716330912022,0.985605015106184,0.191,0.097,1,0,0.094
"Cd44",0.0254881532623179,0.443234391109496,0.335,0.242,1,0,0.093
"Esd",0.00334521082833049,1.0541921003636,0.184,0.091,1,0,0.093
"Krt20",0.000125440195640535,2.73869027463567,0.108,0.016,0.627577298789594,0.202332774436158,0.092
"Myo1e",0.00693392243465645,0.816032363168832,0.203,0.113,1,0,0.09
"Vasp",0.00882420081923923,0.787856331439551,0.213,0.124,1,0,0.089
"Mmp14",0.0189357561599158,0.643354589614038,0.33,0.242,1,0,0.088
"Clcn7",0.00539094293458194,0.97315552827269,0.172,0.086,1,0,0.086
"Cxcl1",0.000627843075163188,2.68978067415472,0.11,0.027,1,0,0.083
"Nr4a1",0.0026734503803452,1.39473587341831,0.136,0.054,1,0,0.082
"Tnf",0.00142505631318186,1.32822550514665,0.12,0.038,1,0,0.082
"Nfkb2",0.0221053628902452,0.629306815128406,0.297,0.215,1,0,0.082
"Nrg1",0.013173105617109,0.92490908341863,0.232,0.151,1,0,0.081
"Klf5",6.34412918404621e-05,4.07972719247073,0.081,0,0.317396783077832,0.498397479278166,0.081
"Cflar",0.0243322826516929,0.644714126426654,0.263,0.183,1,0,0.08
"Tlr2",0.0173631271857217,0.606239978612018,0.411,0.333,1,0,0.078
"Cd38",0.0445783630149313,0.544918531238987,0.34,0.263,1,0,0.077
"Misp",0.000107323943151128,3.96108269597211,0.077,0,0.536941687585095,0.270072876563233,0.077
"Fosl2",0.0462257746808506,0.476883172185876,0.292,0.215,1,0,0.077
"F3",0.000887725495229028,2.23779203870299,0.098,0.022,1,0,0.076
"Epcam",0.000815778138269574,2.02819689183065,0.091,0.016,1,0,0.075
"Dgat1",0.0275012440798005,0.775216150660781,0.203,0.129,1,0,0.074
"Il11",0.000140059313804188,4.44650952314236,0.074,0,0.700716746962352,0.154457502848333,0.074
"Lmna",0.0166298550590306,0.963044212305401,0.182,0.108,1,0,0.074
"Nfe2l2",0.0579770259092576,0.475655868801873,0.368,0.296,1,0,0.072
"Nup98",0.0380327766135968,0.646244025871072,0.215,0.145,1,0,0.07
"Hk2",0.0481550316822092,0.564515800191997,0.242,0.172,1,0,0.07
"Gadd45a",0.00601836612489174,1.36231439572593,0.112,0.043,1,0,0.069
"Slc16a1",0.00731041467352521,1.38979513214804,0.11,0.043,1,0,0.067
"Rgcc",0.000646508065621496,2.8761937983856,0.072,0.005,1,0,0.067
"Sumo1",0.0226708861457253,0.744336837776809,0.148,0.081,1,0,0.067
"Mmp9",0.0146383219427773,0.766704650805264,0.12,0.054,1,0,0.066
"Timp1",0.024612503712045,1.46185006927684,0.167,0.102,1,0,0.065
"Cd9",0.0175512392691442,0.779332259133013,0.124,0.059,1,0,0.065
"Rai14",0.0277592735077144,0.628266284942016,0.146,0.081,1,0,0.065
"Gja1",0.0160024639776378,1.19744915134383,0.129,0.065,1,0,0.064
"Aebp2",0.0220886444733771,0.882425752097117,0.134,0.07,1,0,0.064
"Riok3",0.060295069043477,0.564860818737439,0.258,0.194,1,0,0.064
"Elf3",0.00152228425356444,2.56876527319335,0.074,0.011,1,0,0.063
"Por",0.0211736083854916,1.0140030102479,0.127,0.065,1,0,0.062
"C5ar1",0.0787719577916662,0.498556270911952,0.261,0.199,1,0,0.062
"Ppp2ca",0.1455935521942,0.243925582886089,0.352,0.29,1,0,0.062
"Anxa2",0.0141664270444791,0.474095354814257,0.593,0.532,1,0,0.0609999999999999
