"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Anxa2",0.0134514048454416,0.586388280941399,0.584,0.422,1,0,0.162
"Lpar6",0.00250902896005733,1.16228587383323,0.256,0.103,1,0,0.153
"Eif4g1",0.0140084925164285,1.00182120163998,0.264,0.138,1,0,0.126
"Maoa",0.0182974019631696,1.24583366508019,0.216,0.103,1,0,0.113
"Kdm5c",0.0186776809834903,0.999111914381997,0.216,0.103,1,0,0.113
"Mta3",0.0372652894555578,0.699551632523089,0.248,0.138,1,0,0.11
"Capn1",0.0123960078327083,1.24583366508019,0.176,0.069,1,0,0.107
"Cd37",0.0461344671047529,0.758930179602021,0.24,0.138,1,0,0.102
"Mtch2",0.0198751626368436,1.32515611774159,0.176,0.078,1,0,0.098
"Hadh",0.0393644014988984,0.758930179602021,0.2,0.103,1,0,0.097
"Elf3",0.034685794282526,0.985306114856967,0.192,0.095,1,0,0.097
"Ube3a",0.0369137324921741,0.843287109984539,0.192,0.095,1,0,0.097
"Mprip",0.107287962270381,0.506906554580693,0.32,0.224,1,0,0.096
"Mapre1",0.0402756083482603,0.942822783535453,0.208,0.112,1,0,0.096
"Vil1",0.0768948977863694,0.544273407045178,0.232,0.138,1,0,0.094
"Spry2",0.0639722324172424,0.740193617020435,0.24,0.147,1,0,0.093
"Lima1",0.0167568521468851,1.4157586665225,0.144,0.052,1,0,0.092
"Ilkap",0.0243280952020857,1.04419980391053,0.152,0.06,1,0,0.092
"Epb41",0.0841228136159942,0.587342128937064,0.256,0.164,1,0,0.092
"Huwe1",0.0328861602990333,1.00767392788542,0.168,0.078,1,0,0.09
"Myo1d",0.035926620808484,0.956327047885201,0.168,0.078,1,0,0.09
"Defa5",0.0364323492856682,1.18765259399166,0.176,0.086,1,0,0.09
"Krt20",0.068279447451834,0.997549710611714,0.288,0.198,1,0,0.09
"Prkab1",0.0570595339513644,0.892196710465485,0.2,0.112,1,0,0.088
"Fkbp5",0.0664682151051472,0.799087306074004,0.208,0.121,1,0,0.087
"Coro1c",0.107703599577548,0.552710244193818,0.32,0.233,1,0,0.087
"Zc3h11a",0.0596237256759291,0.892196710465485,0.168,0.086,1,0,0.082
"Txnip",0.127252763274106,0.610425742050105,0.288,0.207,1,0,0.081
"Hnf4a",0.0845554318105854,0.814194198464212,0.2,0.121,1,0,0.079
"Atp2a3",0.187240883021215,0.410663799399734,0.32,0.241,1,0,0.079
"Adipor1",0.0838949000634961,1.0141872348441,0.216,0.138,1,0,0.078
"Cldn7",0.141347958419903,0.394697050994668,0.216,0.138,1,0,0.078
"Pik3r1",0.126289680102948,0.592636428606577,0.336,0.259,1,0,0.077
"Amfr",0.142721180858035,0.538559755850784,0.24,0.164,1,0,0.076
"Sept7",0.16636953109384,0.456097595658812,0.256,0.181,1,0,0.075
"Rock2",0.168988489338743,0.422711427164265,0.256,0.181,1,0,0.075
"Mob2",0.0615954577747586,1.09383057163514,0.144,0.069,1,0,0.075
"Cic",0.0659108596828616,0.818196129021708,0.144,0.069,1,0,0.075
"Sumo3",0.0732202774528315,1.13320480996928,0.16,0.086,1,0,0.074
"Furin",0.176690254142799,0.389696369936302,0.264,0.19,1,0,0.074
"Gstp1",0.106675497413352,0.728697978182606,0.176,0.103,1,0,0.073
"Khsrp",0.114681022334354,0.608403744464894,0.176,0.103,1,0,0.073
"Gpc4",0.00819860109903205,2.35162832910278,0.08,0.009,1,0,0.071
"Ckb",0.0235665456720659,1.89219671046548,0.096,0.026,1,0,0.07
"Tnfrsf9",0.0235665456720659,1.89219671046548,0.096,0.026,1,0,0.07
"Tmem98",0.024867277071614,1.59263642860658,0.096,0.026,1,0,0.07
"Brd8",0.0359429995913043,1.37762353763573,0.104,0.034,1,0,0.07
"Ntng2",0.0359429995913043,1.37762353763573,0.104,0.034,1,0,0.07
"Lmna",0.148514953134732,0.688663316380353,0.208,0.138,1,0,0.07
"Rxra",0.0490507367518622,1.17230462965822,0.112,0.043,1,0,0.069
"Ywhae",0.150362604092245,0.538559755850784,0.216,0.147,1,0,0.069
"Hist1h2bc",0.154788030856444,0.707772139328058,0.24,0.172,1,0,0.068
"Gnai3",0.199924439842135,0.394697050994668,0.24,0.172,1,0,0.068
"Appl1",0.255254508236533,0.18170332766047,0.24,0.172,1,0,0.068
"Car4",0.0770122076366719,1.3661278987979,0.136,0.069,1,0,0.067
"Slc25a20",0.151833696844557,0.760952177187233,0.248,0.181,1,0,0.067
"Apc",0.117788909313274,0.766665828381626,0.152,0.086,1,0,0.066
"Hadhb",0.125501691322035,0.629162304631691,0.152,0.086,1,0,0.066
"Aldoa",0.265907770108242,0.3358033619411,0.376,0.31,1,0,0.066
"Prpf19",0.100247821776472,0.956327047885201,0.144,0.078,1,0,0.066
"Slc12a7",0.104293965788633,0.818196129021708,0.144,0.078,1,0,0.066
"Echs1",0.136678627596714,0.776719493045549,0.168,0.103,1,0,0.065
"Ppp3r1",0.127427687399718,0.776719493045549,0.16,0.095,1,0,0.065
"Nbr1",0.140776946008296,0.584074415103153,0.16,0.095,1,0,0.065
"Sptan1",0.383410154644305,0.00467143972389761,0.28,0.216,1,0,0.064
"Zbtb16",0.00574402436870234,3.69955163252309,0.064,0,1,0,0.064
"Ceacam1",0.210007049844553,0.643169162625571,0.288,0.224,1,0,0.064
"Ncstn",0.0139022704242251,2.35162832910278,0.072,0.009,1,0,0.063
"Faah",0.014026939551988,2.21412480535285,0.072,0.009,1,0,0.063
"Bdh1",0.0148699087289653,1.76666582838163,0.072,0.009,1,0,0.063
"Frk",0.0257526223586455,1.76666582838163,0.08,0.017,1,0,0.063
"Zkscan1",0.0257526223586455,1.76666582838163,0.08,0.017,1,0,0.063
"Itgae",0.167640135184604,0.699551632523089,0.192,0.129,1,0,0.063
"Pkp4",0.170650918322156,0.61208879127275,0.184,0.121,1,0,0.063
"Atf4",0.243715170615674,0.429853496408285,0.296,0.233,1,0,0.063
"Tmigd1",0.0508961692798539,1.74019361702043,0.096,0.034,1,0,0.062
"Appbp2",0.055007616721665,1.37762353763573,0.096,0.034,1,0,0.062
"Elob",0.0735772779615223,1.11458913180193,0.104,0.043,1,0,0.061
"Fus",0.0776735539119107,0.892196710465485,0.104,0.043,1,0,0.061
"Rnf10",0.202564131217205,0.517801195683987,0.32,0.259,1,0,0.061
"Hk1",0.230382007010863,0.520227933078528,0.216,0.155,1,0,0.061
"App",0.197987312096328,0.642218457457138,0.232,0.172,1,0,0.06
"Tet3",0.0868945877955135,1.17230462965822,0.112,0.052,1,0,0.06
