"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Defa5",1.44760843434148e-10,0.925722171128192,0.699,0.516,7.24238499701041e-07,6.14011839230098,0.183
"Grn",0.00453243414235142,0.957451245303451,0.144,0.065,1,0,0.079
"Igha",0.016834323146303,0.936655281031419,0.166,0.093,1,0,0.073
"Hoxb5",0.00552648805210504,1.65556090365263,0.105,0.04,1,0,0.065
"Bdh1",0.0182185458747431,0.899263831234494,0.118,0.056,1,0,0.062
"Tmem109",0.0087304153524483,1.16229823706829,0.096,0.036,1,0,0.06
"Car4",0.00296276672472638,1.11499252228993,0.079,0.02,1,0,0.059
"Mcm2",0.00311275556753453,1.55556511367591,0.079,0.02,1,0,0.059
"Hnrnph1",0.0872858390476093,0.425332642902082,0.192,0.133,1,0,0.059
"Ddb1",0.0284437118697707,1.14473986568398,0.135,0.077,1,0,0.058
"Myb",0.0307237154942814,0.90348841709622,0.127,0.069,1,0,0.058
"Hadh",0.0623696397954033,0.62956569511969,0.157,0.101,1,0,0.056
"Col6a2",0.00630669063229401,1.74302374490297,0.079,0.024,1,0,0.055
"Myh11",0.00975299217303463,1.75545013560279,0.087,0.032,1,0,0.055
"Naa15",0.0104800202547122,1.40449913948492,0.087,0.032,1,0,0.055
"Ppp1r1b",0.114635327076739,0.304470321153644,0.188,0.133,1,0,0.055
"Nectin3",0.0331295720142702,1.07435053779259,0.109,0.056,1,0,0.053
"Slc25a20",0.0313329203450407,0.7848439205976,0.1,0.048,1,0,0.052
"Plxnb2",0.0915406322076739,0.557510757990882,0.157,0.105,1,0,0.052
"Cdk6",0.0086639401026449,1.39510044148267,0.07,0.02,1,0,0.05
"Epcam",0.480384650037908,-0.0465811097194588,0.799,0.75,1,0,0.049
"Bclaf1",0.0507864566457039,1.14741399998231,0.114,0.065,1,0,0.049
"Cct3",0.100530318558707,0.743023744902974,0.14,0.093,1,0,0.047
"Hk1",0.030001906337523,1.21452819584085,0.083,0.036,1,0,0.047
"Cd81",0.0329701787771815,0.851958116456137,0.083,0.036,1,0,0.047
"Otud5",0.0363102205058317,0.951493790007052,0.087,0.04,1,0,0.047
"Ash2l",0.0174026194349211,1.47756260167464,0.07,0.024,1,0,0.046
"Pycard",0.0911105285458561,0.873984422786136,0.127,0.081,1,0,0.046
"Thra",0.00661127836153718,2.28491752373224,0.057,0.012,1,0,0.045
"Chtop",0.0666944860853739,0.815432240431023,0.096,0.052,1,0,0.044
