"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Odc1",1.12614042484512e-21,0.395605972236279,0.591,0.489,5.63408054550013e-18,17.2491769485792,0.102
"Cdx2",4.71110841501856e-13,0.33651255320209,0.47,0.383,2.35696754003379e-09,8.62764639850295,0.087
"Cldn2",9.58372072024397e-14,0.362320836343817,0.529,0.45,4.79473547633806e-10,9.3192353476874,0.079
"H2afx",4.68989668457207e-10,0.382161943353534,0.326,0.256,2.34635531129141e-06,5.62960622152613,0.07
"Sod1",7.89933723176422e-10,0.260373462955492,0.51,0.44,3.95203841705164e-06,5.40317884236567,0.07
"Snx5",3.2904225153094e-08,0.282065578589161,0.372,0.306,0.000164619838440929,3.783517828867,0.066
"Stom",1.43366000386888e-15,0.874297727063537,0.149,0.084,7.17260099935602e-12,11.1443233276195,0.065
"Ccna2",3.31361818418865e-07,0.220569447530431,0.368,0.304,0.00165780317754958,2.7804670322768,0.064
"Elf3",5.26053717856656e-07,0.246602515736944,0.426,0.367,0.00263184675043685,2.57973940281542,0.059
"Tufm",6.28251613591155e-08,0.34913841455661,0.291,0.232,0.000314314282279655,3.50263588441571,0.059
"Mboat1",1.50526156793474e-06,0.252239292152517,0.329,0.272,0.00753082362437748,2.12315752367161,0.057
"Vdac1",4.94103021139795e-07,0.234027909165329,0.469,0.413,0.00247199741476239,2.60695198777214,0.056
"Hist1h4h",4.49286671374162e-06,0.264303915122338,0.355,0.3,0.0224778121688493,1.64824596219709,0.055
"Ccnd1",1.42100957569545e-06,0.290320285125254,0.337,0.283,0.00710931090720433,2.14817249261792,0.054
"Cldn8",1.38974011899217e-13,0.923107827903706,0.116,0.062,6.9528698153178e-10,9.1578359022149,0.054
"Birc5",1.94144292457543e-06,0.263102355319467,0.315,0.261,0.00971303895165087,2.01264486963411,0.054
"Mki67",4.8597148997811e-06,0.204740834838286,0.515,0.461,0.0243131536436048,1.61415870544354,0.054
"H2afz",8.11237960894894e-06,0.151801495205549,0.584,0.53,0.0405862351835716,1.39162123236913,0.0539999999999999
"Cdx1",8.26374288967448e-16,0.199681705449605,0.864,0.814,4.13435056770414e-12,11.383592700625,0.05
"Hoxb8",6.42414441179872e-09,0.571829321496035,0.15,0.102,3.2139994492229e-05,4.4929542019969,0.048
"Impad1",4.22865724795892e-06,0.343334828056386,0.236,0.189,0.0211559722115385,1.67456701210037,0.047
"Gpx2",2.45789716740537e-08,0.327004256053917,0.552,0.506,0.000122968595285291,3.91020578803834,0.046
"Cs",0.000150240593005208,0.160169263357393,0.455,0.409,0.751653686805055,0.123982208014701,0.046
"Eif2b1",2.0116961910357e-05,0.278865203808474,0.271,0.225,0.100645160437516,0.997207103495779,0.046
"Cd38",1.45764592274065e-05,0.291327282104765,0.324,0.278,0.0729260255147147,1.13711745494191,0.046
"Eif4ebp2",8.39776736441849e-05,0.207582743642311,0.345,0.299,0.420140301241857,0.376605657506351,0.046
"Rac1",0.000120855247254591,0.167692084710394,0.473,0.427,0.60463880201472,0.218503985904224,0.046
"Ptbp1",1.2204371628257e-05,0.148913923723399,0.632,0.587,0.0610584712561697,1.21425407349496,0.045
"Cul3",9.96582875747922e-06,0.317698517299144,0.234,0.189,0.0498590412736685,1.30225607668581,0.045
"Ccnd2",4.48256436363914e-05,0.22932371527394,0.41,0.365,0.224262695112866,0.64924296294871,0.045
"Mlec",0.00066047865387092,0.115959294396858,0.618,0.574,1,0,0.044
"Pkp4",4.41536951652065e-06,0.373692787405604,0.202,0.158,0.0220900936911528,1.65580244214285,0.044
"B4galnt1",6.64898264224784e-05,0.223193284550941,0.363,0.319,0.332648601591659,0.478014297927544,0.044
"Dek",8.11417049182476e-05,0.236691144398344,0.31,0.266,0.405951949705993,0.391525368424053,0.044
"Arf6",0.00051616189847466,0.168016674096107,0.33,0.288,1,0,0.042
"Cdca8",5.09147931280698e-05,0.272635766272647,0.221,0.179,0.254726710019733,0.593925513591604,0.042
"Cenpf",0.000118613361898866,0.234537290419059,0.273,0.231,0.593422649580025,0.226635881679609,0.042
"Defa5",5.29757399125195e-07,0.476720821327841,0.154,0.112,0.00265037626782335,2.57669246589742,0.042
"Maoa",5.1930202822944e-05,0.273692988996546,0.242,0.2,0.259806804723189,0.585349478301365,0.042
"Rtn3",0.000135376781700453,0.208005707669934,0.413,0.371,0.677290038847368,0.169225311674657,0.042
"Plk1",2.76375552401632e-07,0.518079216211518,0.138,0.097,0.00138270688866536,2.85926987348915,0.041
"Fadd",2.91668059402528e-06,0.409362858388453,0.16,0.119,0.0145921530119085,1.83588062502175,0.041
"Fzd5",0.000117336849566885,0.237690883762717,0.259,0.218,0.587036258383125,0.231335073659708,0.041
"Slc16a1",6.32076565045976e-05,0.283084602888055,0.241,0.2,0.316227905492502,0.499999808449781,0.041
"Rbbp7",0.000601796477670734,0.1815769563083,0.325,0.285,1,0,0.04
"Phb2",0.00199104669376987,0.130350532486232,0.395,0.355,1,0,0.04
"Lin7c",0.000337086203329073,0.206419615315908,0.264,0.224,1,0,0.04
"Parpbp",7.92583527597882e-21,2.86086189569561,0.046,0.006,3.9652953885722e-17,16.4017244550428,0.04
"Mettl7b",5.73648910145675e-05,0.320711958731849,0.241,0.201,0.286996549745881,0.542123324295039,0.04
"Rab1a",0.000271947445670965,0.245694258510091,0.232,0.194,1,0,0.038
"E2f2",1.72529013281062e-07,0.608474734061325,0.108,0.07,0.000863162653445151,3.06390735858646,0.038
"Ppp1r1b",0.00105846735663349,0.14861286110749,0.479,0.441,1,0,0.038
"Hist2h2bb",3.27164995595661e-05,0.261607760216478,0.536,0.499,0.163680647296509,0.786002666154238,0.037
"Cdc20",0.000128908758370714,0.306712741653327,0.203,0.166,0.644930518128681,0.190487071750373,0.037
"Knstrn",0.000395022369085919,0.234650772291287,0.233,0.196,1,0,0.037
"Plp2",0.00096596749498113,0.188766536417037,0.255,0.218,1,0,0.037
"Mbd2",0.0022119776018482,0.156472299551392,0.345,0.308,1,0,0.037
"Canx",0.00308786153564097,0.12267774055835,0.476,0.439,1,0,0.037
"Atp5f1",0.00659234664159255,0.0826751480863113,0.559,0.523,1,0,0.036
"Abhd17c",0.000632542569601266,0.245434114247404,0.251,0.215,1,0,0.036
"Cbx5",0.000748117637040559,0.209091869995576,0.235,0.199,1,0,0.036
"Glud1",0.00291731477387844,0.148456469444888,0.365,0.329,1,0,0.036
"Lmna",0.00113493415558718,0.209093529153483,0.323,0.288,1,0,0.035
"Ranbp1",0.00360452882610242,0.147432290368042,0.361,0.326,1,0,0.035
"Amd1",0.00380742552006103,0.146083425724347,0.364,0.329,1,0,0.035
"Hspa9",0.0197960978364538,0.0822379965886429,0.549,0.515,1,0,0.034
"Cdh1",0.0236214825361198,0.0444665326078554,0.634,0.6,1,0,0.034
"Aurka",5.02703014246309e-05,0.384735887017361,0.153,0.119,0.251502318027428,0.599458007817271,0.034
"Racgap1",0.000153813378651301,0.322489331375858,0.178,0.144,0.769528333392459,0.113775385176927,0.034
"Thrap3",0.000499908261910388,0.270921718820069,0.196,0.162,1,0,0.034
"Lgr4",0.000959981197352319,0.224539777407324,0.222,0.188,1,0,0.034
"Cpt1a",5.0721628069593e-05,0.385015940408687,0.145,0.111,0.253760305232174,0.595576311976894,0.034
"Lamp1",0.00556265780155742,0.138883074691187,0.36,0.326,1,0,0.034
"Ywhaz",2.30272964241318e-06,0.118360300862302,0.828,0.794,0.0115205564009931,1.93852654556161,0.0339999999999999
"Fam136a",0.00156402714041627,0.205321967444098,0.268,0.235,1,0,0.033
"Hoxb5",0.0034988829712753,0.173923616326947,0.268,0.235,1,0,0.033
"Ywhae",0.00519043602262465,0.149174406777888,0.333,0.3,1,0,0.033
"Hoxb4",6.31461201041561e-05,0.407851463774118,0.139,0.106,0.315920038881093,0.500422825821768,0.033
"Cdk1",3.33175970641671e-06,0.571080976604019,0.105,0.072,0.0166687938112028,1.77809582549242,0.033
"Cpox",0.000237050681753666,0.305008694546626,0.17,0.137,1,0,0.033
"Hist1h2bc",0.000403993707654449,0.360393131803848,0.217,0.184,1,0,0.033
"Kif2c",3.1503275292872e-16,2.58484963586361,0.038,0.006,1.57610886290238e-12,11.8024137887976,0.032
"Epn3",4.79340113718579e-06,0.590226964580475,0.096,0.064,0.0239813858893405,1.62012572254237,0.032
"Gja1",2.25787556203413e-06,0.607613166379172,0.085,0.054,0.0112961514368568,1.94706949407641,0.031
"Pclaf",0.000462320186866325,0.320859866084637,0.165,0.134,1,0,0.031
"Cks1b",0.00328303760744016,0.194675136965288,0.222,0.191,1,0,0.031
"Pcna",0.00156144440454633,0.265363797812278,0.203,0.173,1,0,0.03
"Cenpa",0.0107248755078799,0.115375402658633,0.268,0.238,1,0,0.03
"Lmnb1",0.0200244326496975,0.101245328429973,0.39,0.36,1,0,0.03
"Cltb",5.52637888172902e-05,0.444968099825868,0.111,0.081,0.276484735452903,0.558328840820656,0.03
"Socs6",0.000661207590989114,0.274222961478851,0.156,0.126,1,0,0.03
"Hmga1",0.00222625111226127,0.218589696074543,0.201,0.171,1,0,0.03
"Khsrp",0.00484717354564591,0.171942385047843,0.26,0.23,1,0,0.03
"Hoxb3",0.000324831507111109,0.343462678787089,0.129,0.1,1,0,0.029
"Grpel1",0.00109556300043948,0.297273045767021,0.165,0.136,1,0,0.029
"Snf8",0.00135353827556651,0.273576953323665,0.177,0.148,1,0,0.029
"Vasp",0.00138565635976287,0.286806046715952,0.181,0.152,1,0,0.029
"Gar1",0.00476598078335704,0.205760426309869,0.243,0.214,1,0,0.029
"Ctdsp1",0.00900211524786068,0.151096088623084,0.26,0.231,1,0,0.029
"Adh5",0.00589083539984617,0.194037625105716,0.293,0.264,1,0,0.029
"Anxa2",0.00219013232879868,0.171108429853122,0.577,0.548,1,0,0.0289999999999999
"Caprin1",0.0352778535694234,0.067366302709779,0.662,0.634,1,0,0.028
"Fkbp5",0.00121882381241479,0.323664544658422,0.146,0.118,1,0,0.028
"Gipc1",0.00344785980885234,0.206338012609877,0.187,0.159,1,0,0.028
"Ankrd13a",0.00578496585084669,0.194131672842046,0.226,0.198,1,0,0.028
"Ndc1",0.00101194082610742,0.299568503754684,0.143,0.115,1,0,0.028
"Foxd2",0.0098653570649478,0.172252400661386,0.296,0.268,1,0,0.028
"Atp5o",0.0526950579070836,0.0560893611548874,0.487,0.459,1,0,0.028
"Mad2l1",7.78952982449295e-05,0.500364911144533,0.092,0.065,0.389710177119382,0.409258252639239,0.027
"Yeats4",0.00170886579893206,0.290894133204317,0.153,0.126,1,0,0.027
"Csnk2a1",0.00835533133874474,0.172195912716904,0.236,0.209,1,0,0.027
"Selenof",0.0152880631230478,0.145900087750591,0.294,0.267,1,0,0.027
"Srsf1",0.0461012370845799,0.063708194736667,0.534,0.508,1,0,0.026
"Polr2h",0.00121913177090999,0.304926618310457,0.13,0.104,1,0,0.026
"Fen1",0.000565341862123721,0.413266340831842,0.107,0.081,1,0,0.026
"Polr2e",0.00288045441192603,0.227808226103922,0.154,0.128,1,0,0.026
"Tbl1xr1",0.00778161470404627,0.180732547345101,0.206,0.18,1,0,0.026
"Plxnb2",0.0112057109070759,0.16224133882419,0.222,0.196,1,0,0.026
"Akr1b3",0.0118637513861922,0.193895305921713,0.228,0.202,1,0,0.026
"Sumo3",0.0133797775649655,0.15501446351602,0.249,0.223,1,0,0.026
"Jup",0.0206001659500204,0.129673097270953,0.244,0.218,1,0,0.026
"Pkm",0.0176333178008824,0.126749078372852,0.357,0.331,1,0,0.026
"Dpy30",0.0219074911483485,0.131674320331858,0.299,0.273,1,0,0.026
"Nfe2l2",0.0339394401062156,0.0917856626144906,0.299,0.273,1,0,0.026
"Hspd1",0.00064086954786392,0.0934820308527403,0.793,0.768,1,0,0.025
"Sdha",0.0267493411097196,0.107706201272969,0.395,0.37,1,0,0.025
"Sigmar1",0.00152262691385183,0.328866170462338,0.124,0.099,1,0,0.025
"Adipor1",0.0166641304894253,0.145861341976036,0.219,0.194,1,0,0.025
"Trim28",0.032441622312095,0.11811022792467,0.357,0.332,1,0,0.025
"Cd44",0.0434970163947933,0.114610586516018,0.332,0.308,1,0,0.024
"Gstk1",3.02571276189653e-05,0.678835840494777,0.065,0.041,0.151376409477683,0.819941800079904,0.024
"Grb2",0.00184136385327774,0.316345779233895,0.12,0.096,1,0,0.024
"Wls",0.00396930909966257,0.279732464457886,0.146,0.122,1,0,0.024
"Cd47",0.0105553733014091,0.204623757801347,0.173,0.149,1,0,0.024
"Ceacam1",6.47598310771733e-06,0.178397111421928,0.718,0.695,0.0323993434879098,1.48946378986952,0.023
"Kcnn4",0.0223355313499034,0.153425401065514,0.198,0.175,1,0,0.023
"Mib1",0.0354696553948132,0.127348044324709,0.259,0.236,1,0,0.023
"Gpa33",0.69747734832729,-0.0215744037016042,0.786,0.763,1,0,0.023
"Ipmk",0.00403092426865449,0.28725428994203,0.13,0.107,1,0,0.023
"Hoxb7",0.000458138018489248,0.450081889046414,0.088,0.065,1,0,0.023
"Ube2m",0.0103448201533631,0.220794315919661,0.158,0.135,1,0,0.023
"Mtch2",0.0341093852999997,0.130163059931763,0.248,0.225,1,0,0.023
"Mpc1",0.0326861190787038,0.128819431541377,0.194,0.172,1,0,0.022
"Dsp",0.0396974820014145,0.130500492991632,0.234,0.212,1,0,0.022
"Pa2g4",0.0678380270572068,0.0885002337197014,0.315,0.293,1,0,0.022
"Cbx3",0.0739953698139721,0.0540159083733822,0.605,0.583,1,0,0.022
"Cd2ap",0.108862076790461,0.0448981761449958,0.304,0.282,1,0,0.022
"Kif4",0.000702041349590741,0.442950500962656,0.083,0.061,1,0,0.022
"Ccar2",0.00388941493203537,0.309196213142841,0.111,0.089,1,0,0.022
"Efnb1",0.00541862823470755,0.294757447848239,0.129,0.107,1,0,0.022
"Gjb1",0.000144857424646885,0.564059586461923,0.071,0.049,0.724721695508367,0.139828737303868,0.022
"Limd1",0.00243163004188311,0.342664948581036,0.103,0.081,1,0,0.022
"Ccnb1",0.00332767367362643,0.312937640930314,0.107,0.085,1,0,0.022
"Eif2s2",0.00398932639017364,0.300023656783056,0.119,0.097,1,0,0.022
"Sptlc2",0.0167713333737761,0.186983115069853,0.176,0.154,1,0,0.022
"Set",0.0209754277512497,0.186885649943705,0.187,0.165,1,0,0.022
"Bub1b",0.0323321662620198,0.129836737439501,0.213,0.191,1,0,0.022
"Amfr",0.0416881371277022,0.117695947037104,0.243,0.221,1,0,0.022
"Twf1",0.0422419600460686,0.11733425569669,0.289,0.267,1,0,0.022
"Kpna2",0.0554115989006407,0.116866237318305,0.3,0.278,1,0,0.022
"Ppp1cc",0.0575354142329132,0.111355194598861,0.27,0.249,1,0,0.021
"Nmt1",0.00752607425541508,0.271089113963366,0.124,0.103,1,0,0.021
"Vsig1",1.60225614850882e-12,3.57525779306679,0.023,0.002,8.01608751098965e-09,8.09603755029264,0.021
"Rnaseh2b",0.000170341092630545,0.600200178724328,0.061,0.04,0.852216486430616,0.0694500684732958,0.021
"Kif20a",0.00388396678728038,0.327020389161074,0.102,0.081,1,0,0.021
"Cth",0.0125818856415075,0.227214573292941,0.141,0.12,1,0,0.021
"Fdx1",0.0145783649714963,0.188748588988852,0.147,0.126,1,0,0.021
"Cldn7",0.00646459201158714,0.0884729267151772,0.69,0.669,1,0,0.0209999999999999
"Lasp1",0.0371109143686347,0.165684284231812,0.202,0.182,1,0,0.02
"Rpn1",0.0637922228730636,0.116648641010211,0.34,0.32,1,0,0.02
"Smdt1",0.0642118216606217,0.106627545470974,0.302,0.282,1,0,0.02
"Marcks",0.0650965012876199,0.0987788921279382,0.33,0.31,1,0,0.02
"Hnrnpk",0.106292350226223,0.0651632131281281,0.383,0.363,1,0,0.02
"Pdia3",0.205042117253984,0.0173493713277367,0.733,0.713,1,0,0.02
"Krt20",0.000781544244289228,0.479622791464061,0.068,0.048,1,0,0.02
"Ptgr1",0.0105833298317793,0.23634404712469,0.117,0.097,1,0,0.02
"Mapkapk2",0.0120830318410971,0.255665724973445,0.132,0.112,1,0,0.02
"Itpa",0.0130076984575992,0.254523398307684,0.122,0.102,1,0,0.02
"Hmga1b",0.0154389653339739,0.238379356713453,0.122,0.102,1,0,0.02
"Hdac4",0.018765243684709,0.231255873032508,0.135,0.115,1,0,0.02
"Cenpu",9.10775863447096e-08,1.41621411849053,0.032,0.012,0.000455661164482582,3.34135798429803,0.02
"Otc",7.5996555617319e-05,0.730846496483292,0.053,0.033,0.380210767753447,0.419975587865933,0.02
"Atp2a3",0.145032252463452,0.0595083166132002,0.35,0.33,1,0,0.02
"Idh2",0.0430439587388303,0.166443975426382,0.2,0.181,1,0,0.019
"Bdh1",0.045944913633319,0.159483811541672,0.202,0.183,1,0,0.019
"Lsm14a",0.0673102836752694,0.115620658655586,0.226,0.207,1,0,0.019
"Bmi1",0.0085976112300897,0.317357291810354,0.099,0.08,1,0,0.019
"Cln6",0.0228168975106014,0.201765714838397,0.121,0.102,1,0,0.019
"Camk1d",0.00565727367324497,0.331579167804342,0.087,0.068,1,0,0.019
"Anp32e",0.0396910837890976,0.158296632618211,0.178,0.159,1,0,0.019
"Gdpd1",0.0497153897129854,0.126588531255897,0.187,0.168,1,0,0.019
"Skp1a",0.0553657411967176,0.139985349193704,0.218,0.199,1,0,0.019
"Top2a",0.0930542183546004,0.10542349860899,0.352,0.333,1,0,0.019
"Lats1",0.0361470932535614,0.205642570301453,0.139,0.121,1,0,0.018
"Pdcd4",0.122191228335768,0.0908221682995951,0.26,0.242,1,0,0.018
"Chd4",0.138201173048625,0.0720601053681951,0.322,0.304,1,0,0.018
"Rnf130",0.0134383717179307,0.272610991532752,0.105,0.087,1,0,0.018
"Hoxb6",0.0239657592569936,0.247520010569922,0.125,0.107,1,0,0.018
"Trip13",0.00342083688599126,0.420655461272304,0.071,0.053,1,0,0.018
"Ank",0.0410179981464006,0.164607662893792,0.154,0.136,1,0,0.018
"Mapre1",0.0529302856914629,0.140871488424454,0.178,0.16,1,0,0.018
"Hexa",0.0557067966636768,0.148618333495829,0.209,0.191,1,0,0.018
"Egln2",0.0666990781175611,0.127145404386053,0.178,0.16,1,0,0.018
"Pdap1",0.082421407104184,0.107875088351122,0.244,0.226,1,0,0.018
"Ssrp1",0.0923980437801034,0.0917120799393403,0.218,0.2,1,0,0.018
"Coro1c",0.117940377153661,0.0842589567464347,0.292,0.274,1,0,0.018
"Akt1s1",0.039855695496877,0.188644223593582,0.136,0.119,1,0,0.017
"Lrp1",0.0416519633119736,0.207281144886978,0.138,0.121,1,0,0.017
"Myo1c",0.0470729590674427,0.178503255504731,0.138,0.121,1,0,0.017
"Acaa2",0.0721111697588915,0.139731768780542,0.195,0.178,1,0,0.017
"Sdhb",0.219403650002891,0.0334279093466274,0.365,0.348,1,0,0.017
"Kpnb1",0.24575722775541,0.0294014349292305,0.468,0.451,1,0,0.017
"Osr2",2.1907190607848e-05,1.0148733150663,0.034,0.017,0.109601674611063,0.960182810187525,0.017
"Hpgds",0.00121129689589807,0.628894536858228,0.05,0.033,1,0,0.017
"Dtl",0.00650683165336584,0.362564506018741,0.078,0.061,1,0,0.017
"Cdca5",0.0172225003577173,0.304926618310457,0.088,0.071,1,0,0.017
"Bex3",0.0329041763020933,0.234661068467342,0.112,0.095,1,0,0.017
"Gtf2h1",0.0388669933837479,0.192129541742687,0.133,0.116,1,0,0.017
"Gtse1",1.10553310930174e-08,2.18179582834709,0.022,0.005,5.53098214583663e-05,4.25719774344317,0.017
"Tfam",0.0551692585900121,0.181006737346235,0.156,0.139,1,0,0.017
"Ezh2",0.0631297729778731,0.130664879375131,0.144,0.127,1,0,0.017
"E2f4",0.070209534644366,0.133409797111911,0.188,0.171,1,0,0.017
"Lsr",0.0709296565669155,0.138150540421801,0.182,0.165,1,0,0.017
"Gtf2a1",0.0680633431632168,0.166198973296067,0.163,0.147,1,0,0.016
"Klf5",0.0691035320518973,0.0680240671884069,0.712,0.696,1,0,0.016
