"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Pkm",3.0757366002031e-06,0.268816459308484,0.275,0.223,0.0153879102108161,1.81282035648667,0.052
"Gpx2",3.12610036725328e-10,0.702950134691136,0.139,0.089,1.56398801373682e-06,5.80576657965719,0.05
"Pgk1",0.000106391735075719,0.240790775377828,0.25,0.208,0.532277850583822,0.273861605533733,0.042
"Ccnd2",1.81852034404637e-07,0.467235896652535,0.143,0.101,0.000909805728126401,3.04105133318439,0.042
"Actr2",0.0010071019833585,0.139975136791568,0.28,0.24,1,0,0.04
"Cd38",1.70963953261308e-05,0.384437472753715,0.186,0.147,0.0855332658166321,1.06786494549613,0.039
"Tagln",4.00997886112208e-07,0.507091367536306,0.117,0.079,0.00200619242421937,2.69762741390345,0.038
"Rac1",0.000665329991898486,0.202708134961007,0.27,0.232,1,0,0.038
"Cldn2",3.43454744939016e-07,0.57488858167121,0.118,0.08,0.0017183040889299,2.76489997644316,0.038
"Ccnd1",8.79548412589183e-07,0.5806750270113,0.121,0.084,0.00440038070818368,2.35650974798862,0.037
"Pdia3",0.000347956721151283,0.223409337969589,0.408,0.371,1,0,0.037
"Hexa",2.35029675561939e-05,0.402589692484738,0.164,0.128,0.117585346683638,0.929646796040052,0.036
"Ywhae",2.76891899175945e-05,0.411641951808935,0.17,0.134,0.138529017157725,0.858459247021609,0.036
"Mtch2",4.09899995374338e-05,0.403093474149918,0.15,0.115,0.205072967685781,0.68809158370104,0.035
"Hist2h2bb",8.1989905397035e-05,0.342749758268739,0.14,0.108,0.410195496701366,0.387009111808907,0.032
"Odc1",0.000818974244704751,0.274056322239355,0.192,0.161,1,0,0.031
"Ptbp1",0.0052888809452828,0.19179758979327,0.251,0.221,1,0,0.03
"Rhoa",0.00569292341991197,0.146013596395437,0.228,0.198,1,0,0.03
"Lamp1",0.0064820942307686,0.197055334083155,0.265,0.237,1,0,0.028
"Hspa5",0.0164666474140037,0.128698843527674,0.323,0.295,1,0,0.028
"Anxa2",0.00319072385408003,0.20656940686488,0.359,0.331,1,0,0.028
"Epcam",0.394569420973411,0.0158248589973544,0.625,0.598,1,0,0.027
"Calu",5.76272308972673e-05,0.467536051660564,0.09,0.063,0.288309036179028,0.540141745745021,0.027
"Marcks",0.00540548732416524,0.176499554805968,0.215,0.188,1,0,0.027
"Krt20",0.0011392896314428,0.255339165745588,0.129,0.103,1,0,0.026
