"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Sign_logFDR","pct1_pct2"
"Epcam",1.17132760717434e-13,1.11013066039133,0.225,0.109,5.86015201869323e-10,9.23209111776633,0.116
"Adamdec1",1.16211725551479e-10,1.02123350728677,0.259,0.152,5.8140726293405e-07,6.23551954732913,0.107
"Anxa2",1.16884567704188e-05,0.55338212976661,0.314,0.234,0.0584773492224052,1.23301232216808,0.08
"Klf5",9.05967443323382e-11,1.47691299106296,0.114,0.042,4.53255511894688e-07,6.34365690588465,0.072
"Gpa33",7.43396927576366e-08,0.911315815208732,0.126,0.06,0.000371921482866456,3.42954873527131,0.066
"Cldn7",2.67408051771019e-08,1.1123405587671,0.105,0.043,0.000133784248301041,3.87359501720081,0.062
"Cdx1",4.05025059545761e-06,0.883913171276382,0.14,0.079,0.0202634037290744,1.69328760257907,0.061
"Cdh1",5.67553443847522e-06,0.931478854528438,0.109,0.056,0.0283946987956915,1.54676273385014,0.053
"B4galnt2",1.49069541776231e-07,1.24661537164116,0.086,0.034,0.000745794917506482,3.12738058062396,0.052
"Ceacam1",6.07850688053648e-05,0.765686717695628,0.126,0.075,0.30410769923324,0.516972584485321,0.051
"Vdac1",0.000137409679739915,0.751577833977248,0.134,0.083,0.687460627738792,0.162752169709227,0.051
"Adipor1",0.00207549958368779,0.365663896948252,0.189,0.138,1,0,0.051
"Slc40a1",4.80520258587766e-06,1.0845955682842,0.097,0.047,0.0240404285371459,1.61905779500295,0.05
"Aldoa",0.0103773160041981,0.276135710022902,0.269,0.22,1,0,0.049
"Cdx2",1.31081405284588e-07,1.30106315566354,0.079,0.03,0.000655800270638794,3.18322840843989,0.049
"Selplg",0.017218282691402,0.227967990419506,0.351,0.302,1,0,0.049
"Vil1",6.27353568705652e-06,1.01748137242566,0.093,0.045,0.0313864990423438,1.50325712429315,0.048
"Misp",3.09538231532172e-06,1.24462210866027,0.086,0.039,0.0154861977235546,1.81005520008343,0.047
"Atp5o",0.00403948357432709,0.453998599114955,0.192,0.147,1,0,0.045
"Cltc",0.0131437016902932,0.279656007649449,0.229,0.184,1,0,0.045
"Epas1",0.00347360272911614,0.545028015987569,0.175,0.13,1,0,0.045
"Hnf4a",1.10481137285537e-05,1.18145710753679,0.084,0.04,0.0552737129839541,1.25748136092427,0.044
"Tnfrsf9",2.22168756988806e-10,2.32804960514847,0.054,0.01,1.111510291215e-06,5.95408651191488,0.044
"Odc1",0.0226183513038462,0.369452076567298,0.314,0.27,1,0,0.044
"Acox1",0.0001883837404008,0.811780141657817,0.103,0.06,0.9424838532252,0.0257260814566681,0.043
"Defa5",0.000678664887872984,0.699305412399405,0.119,0.076,1,0,0.043
"Caprin1",0.0310044191762438,0.230699231581597,0.34,0.298,1,0,0.042
"Il1rn",6.13598996080663e-06,1.40096413782966,0.072,0.03,0.0306983577739156,1.51288485673138,0.042
"Mettl7b",3.28863301911024e-06,1.32688754705835,0.069,0.028,0.0164530309946085,1.7837540841592,0.041
"Lasp1",0.0086706692371223,0.393699622813975,0.163,0.123,1,0,0.04
"Rtn3",0.016050407519984,0.394450830870984,0.246,0.206,1,0,0.04
"Krt20",0.000485401624197684,0.834003141132521,0.096,0.056,1,0,0.04
"Lmna",0.00162758854666645,0.603519307442526,0.121,0.081,1,0,0.04
"Ctdsp1",0.0130420987264078,0.404552768000435,0.204,0.164,1,0,0.04
"Ppp1r2",0.00164418749235379,0.640411723345836,0.111,0.072,1,0,0.039
"Cs",0.0137506872328146,0.41132464943538,0.204,0.165,1,0,0.039
"Dsp",1.3560010232203e-05,1.100058685672,0.064,0.026,0.0678407311917116,1.16850947987259,0.038
"Cd68",0.00440781364584393,0.52237702321933,0.126,0.088,1,0,0.038
"Bcl2",0.013348028109129,0.332188543745787,0.167,0.129,1,0,0.038
"Erbin",0.0307259709047758,0.262397838596574,0.209,0.171,1,0,0.038
"Lpar6",0.0130549741889306,0.450352164791822,0.155,0.118,1,0,0.037
"Hnrnpk",0.0287250981035023,0.32148755931576,0.197,0.16,1,0,0.037
"P4hb",0.0532546882644221,0.223697646259609,0.241,0.204,1,0,0.037
"Maoa",9.00732853751281e-05,1.36401893465702,0.069,0.033,0.450636646731766,0.346173493423932,0.036
"Ctnna1",0.0049312459611795,0.519981712954842,0.11,0.074,1,0,0.036
"Tpi1",0.00571608012784123,0.476912991062957,0.109,0.074,1,0,0.035
"Wls",0.00381744464662591,0.639763466744999,0.095,0.061,1,0,0.034
"Flnb",0.00430817990413388,0.726213285862922,0.107,0.073,1,0,0.034
"Calu",0.0100328771223559,0.515387138877593,0.121,0.087,1,0,0.034
"Rab5b",0.0141702189782304,0.443676661589025,0.128,0.094,1,0,0.034
"Csnk1d",0.0272231962906233,0.383663580359474,0.165,0.131,1,0,0.034
"Mprip",0.0477291143473637,0.258489471929454,0.212,0.178,1,0,0.034
"Jpt1",0.0501043174722762,0.25178248759719,0.195,0.161,1,0,0.034
"Sept5",4.05710671416979e-05,1.35492246668435,0.054,0.021,0.202977048909915,0.692553066004435,0.033
"Sumo3",0.00719823526780462,0.524579424693271,0.107,0.074,1,0,0.033
"Skp1a",0.0152132713767346,0.47096372473177,0.13,0.097,1,0,0.033
"Ikzf2",0.0514859234577587,0.245736429832029,0.226,0.193,1,0,0.033
"Arf6",0.13081898141354,0.150996794006706,0.275,0.243,1,0,0.032
"Sap18",0.000959513636483967,0.841324417271832,0.068,0.036,1,0,0.032
"Cavin1",0.000397739442788518,0.961213152778914,0.066,0.034,1,0,0.032
"Polr2e",0.000524472826452766,1.00088486189496,0.066,0.034,1,0,0.032
"Dnmt1",0.0132904873046545,0.431220900370088,0.117,0.085,1,0,0.032
"Gnb1",0.0397978427343507,0.283637502343264,0.152,0.12,1,0,0.032
"Hspa9",0.0254958949821117,0.488157748230579,0.146,0.114,1,0,0.032
"Myo6",0.000520714092952587,1.23434268778888,0.065,0.034,1,0,0.031
"Litaf",0.0449440796219161,0.310554604640837,0.137,0.107,1,0,0.03
"Elf3",0.00159103869407464,0.974412650533773,0.068,0.038,1,0,0.03
"Ppp1r1b",3.37627620671835e-05,1.66062494423534,0.047,0.017,0.168915098622119,0.772331528906201,0.03
"Cd14",0.000203585067799648,1.47691299106296,0.055,0.025,1,0,0.03
"Mcu",0.00363114249883251,0.642922942501886,0.08,0.05,1,0,0.03
"Hadh",0.00767015807167594,0.639763466744999,0.093,0.063,1,0,0.03
"Hist1h2bc",0.014074257329901,0.564785747088291,0.102,0.072,1,0,0.03
"Kif1c",0.0516881065517562,0.389908949320663,0.169,0.139,1,0,0.03
"Sod1",0.0816395262774067,0.245258999868938,0.232,0.202,1,0,0.03
"Prom1",0.00231590690591246,0.808292561294891,0.068,0.039,1,0,0.029
"Igfbp3",0.00291612742778602,0.91301210586963,0.068,0.039,1,0,0.029
"Mapk3",0.005277069347936,0.675139101268653,0.08,0.051,1,0,0.029
"Micu2",0.0347347407717934,0.437048530185017,0.123,0.094,1,0,0.029
"Vasp",0.0311256879415426,0.486966655726879,0.115,0.087,1,0,0.028
"Gigyf2",0.00222846873695917,1.01325678656393,0.066,0.038,1,0,0.028
"Cnot2",0.00875850881327645,0.548648744661871,0.08,0.052,1,0,0.028
"Entpd1",0.0161607171457212,0.486311689065206,0.092,0.064,1,0,0.028
"Myo18a",0.0326125894405289,0.381755758022617,0.109,0.081,1,0,0.028
"Nqo1",7.96203965498792e-05,1.65379075314704,0.042,0.015,0.398340843939046,0.399745160856763,0.027
"Cttn",0.00718840536766398,0.565449665664614,0.068,0.041,1,0,0.027
"Mbd2",0.198778471833351,0.113327286827512,0.321,0.295,1,0,0.026
"Fcgr3",0.0507145821081427,0.557531451271241,0.137,0.111,1,0,0.026
"Cyb5r3",0.073893323971143,0.257036167645292,0.129,0.103,1,0,0.026
"Cops9",0.00852284825685668,0.669558069005352,0.068,0.042,1,0,0.026
"Ssr2",0.0131346489570812,0.598754113997754,0.078,0.052,1,0,0.026
"Itgae",0.0148583610260661,0.570022395454438,0.079,0.053,1,0,0.026
"Irak1",0.0187810889700058,0.548648744661871,0.083,0.057,1,0,0.026
"Mtus1",0.00054099644468015,1.11434291167825,0.045,0.019,1,0,0.026
"Vdr",0.000145783359716399,1.12021947801492,0.043,0.017,0.729354148661143,0.137061542378643,0.026
"Apc",0.0333810166499874,0.384346872326884,0.095,0.069,1,0,0.026
"Vcp",0.045721940962064,0.438899665126226,0.109,0.083,1,0,0.026
"Akt1",0.0902745635812705,0.313166564549769,0.156,0.13,1,0,0.026
"Rtn4",0.094375330094134,0.259990510083475,0.155,0.129,1,0,0.026
"Hnrnph1",0.130780023272945,0.230752403793559,0.213,0.187,1,0,0.026
"Ppp2r5c",0.117399613681403,0.254520569726509,0.234,0.209,1,0,0.025
"Col6a2",0.0639624330537589,0.503385202424148,0.137,0.112,1,0,0.025
"Idh1",0.00346429890172935,0.695553277538297,0.057,0.032,1,0,0.025
"Kit",0.003505119562127,0.971384957836205,0.056,0.031,1,0,0.025
"Trim2",0.00383383013336547,0.515802004456551,0.057,0.032,1,0,0.025
"Jarid2",0.00427239499047019,0.862203146947748,0.057,0.032,1,0,0.025
"Rab32",0.0235692769267217,0.452418429142208,0.079,0.054,1,0,0.025
"Nosip",0.0247271185414808,0.550913572506734,0.086,0.061,1,0,0.025
"Mtch1",0.132280209135739,0.225129720203872,0.179,0.154,1,0,0.025
"Nedd4",0.176688526820528,0.183313619234089,0.202,0.178,1,0,0.024
"Fcgr2b",0.0287239503871541,0.659289733551526,0.083,0.059,1,0,0.024
"Ctnnd1",0.0466594501735678,0.48788410888396,0.096,0.072,1,0,0.024
"Slc25a20",0.0478360538537973,0.438232522898897,0.095,0.071,1,0,0.024
"Ric8a",0.0566836465581954,0.435312086596184,0.1,0.076,1,0,0.024
"Cth",2.95918769876922e-05,1.79884108595032,0.034,0.01,0.148048160569424,0.829596984151154,0.024
"Akt1s1",0.00168046390725263,1.01394101472041,0.046,0.022,1,0,0.024
"Ereg",0.00570232236743492,1.2663460051233,0.056,0.032,1,0,0.024
"Mmp2",0.0132917564822534,0.650942390838006,0.063,0.039,1,0,0.024
"Slc2a3",0.0230163106965958,0.535015945626525,0.072,0.048,1,0,0.024
"Ywhaz",0.442992629152845,0.0473568016759583,0.579,0.555,1,0,0.0239999999999999
"Cdkn1b",0.230896371388707,0.174350221042526,0.278,0.255,1,0,0.023
"Dpy30",0.0574569115186262,0.439438285644294,0.101,0.078,1,0,0.023
"Cd8a",0.0671494789633486,0.411060443768331,0.095,0.072,1,0,0.023
"Tnfrsf11a",0.00669192622008501,0.974412650533773,0.055,0.032,1,0,0.023
"Parva",0.00803421956962451,0.864983442741531,0.054,0.031,1,0,0.023
"Ank",0.0332258329716244,0.535806680116525,0.08,0.057,1,0,0.023
"Pgk1",0.201011562918784,0.167752192249472,0.22,0.197,1,0,0.023
"Itgb1",0.2210046345117,0.124673007659532,0.257,0.234,1,0,0.023
"Rac1",0.26280130192645,0.130979433164805,0.273,0.251,1,0,0.022
"Gfpt1",0.0283210484098845,0.53927887202333,0.069,0.047,1,0,0.022
"Tnc",0.0300244860609444,0.701847606961858,0.068,0.046,1,0,0.022
"Rhoc",0.0537488800690212,0.289285987887185,0.084,0.062,1,0,0.022
"Cd200r1",6.6591488908245e-06,2.47691299106296,0.026,0.004,0.033315721900795,1.47735077179597,0.022
"Pls1",0.00441106798348225,0.891950490341801,0.047,0.025,1,0,0.022
"Dsg2",0.00520174431712392,0.754446966591866,0.046,0.024,1,0,0.022
"Tjp3",0.00974731330332936,0.673770320292267,0.052,0.03,1,0,0.022
"Mboat1",0.0149800065847434,0.594269941701115,0.054,0.032,1,0,0.022
"Sulf2",0.0187176520573649,0.669558069005352,0.059,0.037,1,0,0.022
"Pycard",0.0316973386184028,0.63208336358669,0.074,0.052,1,0,0.022
"Maf1",0.042873515507378,0.497671551229754,0.079,0.057,1,0,0.022
"Idh2",0.00748001134605702,0.923659350069139,0.051,0.029,1,0,0.022
"Rnf10",0.225743836375574,0.197658232770832,0.197,0.176,1,0,0.021
"Cgn",0.000680470152310004,1.32258484467166,0.034,0.013,1,0,0.021
"Rybp",0.0169816033599003,0.608157524341209,0.057,0.036,1,0,0.021
"Bcl2l2",0.0213860382433823,0.594269941701115,0.057,0.036,1,0,0.021
"Smim7",0.0335849808404083,0.633216221941632,0.064,0.043,1,0,0.021
"Cpt1a",0.0343259368415382,0.593869137408806,0.066,0.045,1,0,0.021
"Pa2g4",0.0846824836866749,0.431109301449832,0.096,0.075,1,0,0.021
"Sema4g",0.000436179247478466,1.47691299106296,0.032,0.011,1,0,0.021
"Tmem98",0.00370712847603376,0.731485818148554,0.042,0.021,1,0,0.021
