"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ANGIOGENESIS",0.188118811881188,0.88936170212766,0.141225119642531,0.990373044524669,1.83202027290825,17,"Lpl"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.210953346855984,0.88936170212766,0.134273452883202,0.990365315134484,1.67538270138483,21,"Lpl"
"HALLMARK_BILE_ACID_METABOLISM",0.261569416498994,0.88936170212766,0.118287526124085,0.989128246426414,1.36158494670524,36,"Nedd4"
"HALLMARK_FATTY_ACID_METABOLISM",0.213147410358566,0.88936170212766,0.132147260608774,0.991335885553093,1.34757111312283,40,"Apex1,Odc1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.517034068136273,0.88936170212766,0.0774767547848578,0.982466747279323,1.32086659327952,41,"Tubb2b,Gja1,Tgm2,Cd44"
"HALLMARK_COAGULATION",0.233265720081136,0.88936170212766,0.126875729929857,0.990722065348931,1.30107579738211,45,"Lrp1,Mmp14"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.553752535496957,0.88936170212766,0.0745500777420554,0.981847519160952,1.28942120962054,45,"Cd44"
"HALLMARK_ADIPOGENESIS",0.482828282828283,0.88936170212766,0.0815265143256594,0.983854692230071,1.2685857248844,48,"Col4a1,Lpl,Lama4"
"HALLMARK_KRAS_SIGNALING_DN",0.26844262295082,0.88936170212766,0.11776578836269,0.98889337641357,1.25887916180181,51,"Zbtb16"
"HALLMARK_G2M_CHECKPOINT",0.210204081632653,0.88936170212766,0.135002033828631,0.991109315013134,1.25816608820669,54,"Odc1"
"HALLMARK_XENOBIOTIC_METABOLISM",0.23265306122449,0.88936170212766,0.127505315300183,0.989896948878561,1.2566270471202,54,"Arg1,Tnfrsf1a"
"HALLMARK_UV_RESPONSE_DN",0.190775681341719,0.88936170212766,0.144630528034484,0.990518143568794,1.21804373126515,63,"Col1a2,Col1a1,Gja1"
"HALLMARK_MYOGENESIS",0.335526315789474,0.88936170212766,0.107554375265169,0.985515169073,1.20568460009268,71,"Col6a2,Lama2,Col1a1,Igfbp3,Fgf2,Col6a3,Col4a2"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.315555555555556,0.88936170212766,0.112378519110475,0.985966767051874,1.19986585068246,73,"Col6a2,Lama2,Col4a1,Col1a2,Col1a1,Sfrp1,Sdc1,Igfbp3,Fgf2,Tnc,Col6a3,Col4a2,Gja1,Lrp1,Slit3,Mmp14,Tgm2,Itga5,Col5a1"
"HALLMARK_MYC_TARGETS_V1",0.683366733466934,0.88936170212766,0.0635007968065945,0.697200994156815,0.944983703798818,37,"Apex1,Odc1"
