"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_FATTY_ACID_METABOLISM",0.100858369098712,0.417530946804952,0.206587922696891,0.998589562764457,3.78541692903516,40,"Maoa"
"HALLMARK_UV_RESPONSE_UP",0.138947368421053,0.417530946804952,0.172324344900946,0.998586715122148,3.42330814815343,50,"Maoa"
"HALLMARK_XENOBIOTIC_METABOLISM",0.141921397379913,0.417530946804952,0.173747838999571,0.998585572842999,3.34829536512488,54,"Maoa"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0645933014354067,0.417530946804952,0.276500599254472,0.999593247915396,2.79670532261022,86,"Tnfrsf9"
"HALLMARK_ANGIOGENESIS",0.126293995859213,0.417530946804952,0.179782316298324,0.317099643708265,1.22316261889385,17,"Itgav,Nrp1,App,Jag2,Olr1,Pdgfa,Ptk2"
"HALLMARK_PANCREAS_BETA_CELLS",0.126293995859213,0.417530946804952,0.179782316298324,0.317028857270947,1.22288957120752,17,"Pklr,Hnf1a,Abcc8,G6pc2,Gck,Neurod1,Neurog3,Nkx2-2,Nkx6-1,Pak3,Pax4,Pax6,Pdx1,Slc2a2,Foxa2,Akt3"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.149193548387097,0.417530946804952,0.161978948883402,0.26041038020519,1.0259520166497,32,"Cs,Idh1,Atp5o,Cyb5r3,Fh1,Acaa2,Htra2,Bax,Maob,Ndufv2,Ndufs1,Vdac2,Sdhb,Ldhb,Vdac1,Hspa9"
"HALLMARK_KRAS_SIGNALING_DN",0.206382978723404,0.417530946804952,0.139599673451922,0.262745889955336,0.898529292926797,51,"Fgfr3,Sphk2,Cldn8,Idua,Pdcd1,Prodh,Edn1,Hnf1a,Tgfb2,Actc1,Alox12b,Atp4a,Bmpr1b,Cacng1,Ccna1,Chrng,Cldn16,Cyp11b2,Dcc,Edar,Epha5,Fgf16,Fgf22,Fshb,Grid2,Hc,Htr1b,Htr1d,Il12b,Il5,Myh7,Npy4r,Ntf3,Pax4,Pde6b,Prkn,Ptgfr,Ryr1,Slc6a3,Sstr4,Wnt16,Tshb"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.290581162324649,0.417530946804952,0.11101149245045,0.216239893413152,0.874862814807561,22,"Dhx58,Casp8,Lpar6,Isg15,Casp1,Sell,Il15,Csf1,Ripk2,Il7"
"HALLMARK_TGF_BETA_SIGNALING",0.217842323651452,0.417530946804952,0.133554954557592,0.219486155595302,0.865628103640227,29,"Smad6,Xiap,Bmpr2,Smurf1,Rhoa,Cdkn1c,Thbs1,Tgfb1,Bmp2,Smad7,Id1,Cdh1,Acvr1"
"HALLMARK_SPERMATOGENESIS",0.248971193415638,0.417530946804952,0.123257226381337,0.209045226130653,0.826052802748746,28,"Pias2,Csnk2a2,Jam3,Mtor,Cdk1,Ace,Cftr,Ccna1,Chrm4,Dcc,Gad1,Grm8,Il12rb2,Il13ra2,Mtnr1a,Pgk2,Pomc,Tuba3a,Aurka,Camk4,Nefh,Bub1,Braf,Ttk,Slc12a2,Stam2,Alox15,Parp2"
"HALLMARK_BILE_ACID_METABOLISM",0.202868852459016,0.417530946804952,0.138022242496643,0.209476992595575,0.811074116785322,36,"Idh1,Npc1,Lipe,Rxra,Hacl1,Idi1,Abcd3,Abca8b,Gstk1,Apoa1,Acsl1,Aldh9a1,Abca4,Abcd2,Abcg8,Ar,Bbox1,Cyp7a1,Cyp8b1"
