"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.063265306122449,0.582612653618571,0.257206466468838,0.998991528842275,2.33371178841572,45,"Fgfr3,Cav1"
"HALLMARK_KRAS_SIGNALING_DN",0.123173277661795,0.582612653618571,0.183023938384487,0.998182552504039,2.14323339925631,51,"Fgfr3,Zbtb16"
"HALLMARK_P53_PATHWAY",0.14957264957265,0.582612653618571,0.166933848713193,0.997976118194697,1.93373430496228,62,"Zbtb16"
"HALLMARK_APOPTOSIS",0.102620087336245,0.582612653618571,0.206587922696891,0.998782220418104,1.79146932448889,76,"Cav1"
"HALLMARK_HYPOXIA",0.468817204301075,0.582612653618571,0.0865399737444125,0.658649730984096,1.25772818516445,64,"Cav1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.274468085106383,0.582612653618571,0.118815039412263,0.389836049084691,1.03714289453544,32,"Sdhc,Acaa2,Glud1,Hspa9,Cs,Got2,Fh1,Sdhb,Vdac1,Idh2,Polr2f,Atp5o,Hadhb,Ogdh,Idh1,Casp7,Ndufv2,Aifm1,Maob,Vdac2"
"HALLMARK_MYC_TARGETS_V1",0.308943089430894,0.582612653618571,0.107972360317345,0.388120299115064,0.982027580767625,37,"Srsf2,Hspd1,Pgk1,Got2,Odc1,Glo1,Vdac1,Psmd3,Sf3a1,Hnrnpa1,Psma4,Srsf1,Ywhae,Hprt,Psmd1,Cdk4,Pcna,Hdac2,Xrcc6,Cdc20,Apex1,Mad2l1,Cdk2,Ccna2,Myc"
"HALLMARK_PEROXISOME",0.271008403361345,0.582612653618571,0.118815039412263,0.347526795214491,0.927792553683625,31,"Idi1,Sema3c,Sod1,Hsd17b4,Idh2,Abcd3,Abcb1a,Bcl10,Ephx2,Idh1,Aldh9a1,Cat,Gstk1,Acsl1,Slc25a17,Cdk7,Cadm1,Msh2,Ercc1,Abcd2,Cacna1b,Abcb4,Abcc8"
"HALLMARK_ADIPOGENESIS",0.380753138075314,0.582612653618571,0.096887770327544,0.395332996972755,0.890093346260801,48,"Sdhc,Aldoa,Lama4,Acaa2,Cs,Sod1,Sdhb,Lpl,Me1,Stat5a,Cd36,Aldh2,Atp5o,Hadh,Pfkl,Ephx2,Gadd45a,Agpat3,Chuk,Idh1,Acly,Fah,Cdkn2c,Dgat1,Cat,Vegfb,Angptl4,Aifm1,Cpt2,Gpam"
"HALLMARK_PANCREAS_BETA_CELLS",0.288702928870293,0.582612653618571,0.114266502484433,0.259408697293599,0.83644571932477,17,"Foxo1,Pklr,Foxa2,Neurog3,Pak3,Neurod1,Abcc8,G6pc2,Gck,Nkx2-2,Nkx6-1,Pax4,Pax6,Pdx1,Slc2a2"
