"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_KRAS_SIGNALING_UP",0.0647840531561462,0.635875402792696,0.227987202850442,0.897565194273558,1.34392526448568,68,"Prkg2,Ccnd2,Abcb1a,Tph1,Aldh1a3,Arg1"
"HALLMARK_BILE_ACID_METABOLISM",0.0922330097087379,0.635875402792696,0.186432558434075,0.912121019872707,1.24999033772973,36,"Sod1,Gstk1,Abcd3,Cyp27a1,Ephx2,Npc1,Hsd17b4,Idh2,Abcg8,Abca8b"
"HALLMARK_NOTCH_SIGNALING",0.0786516853932584,0.635875402792696,0.20207170902116,0.956104472192183,1.20020068084704,20,"Ccnd1"
"HALLMARK_COMPLEMENT",0.0927318295739348,0.635875402792696,0.234392647294686,-0.821323118631242,-1.30237264282656,65,"Tnfaip3,Hnf4a,Casp1,C2,Lyn,Casp7,Cxcl1,C3,Fn1,Pim1"
"HALLMARK_PANCREAS_BETA_CELLS",0.0447925373474785,0.635875402792696,0.321775918075361,-0.985158443642198,-1.30789067938636,17,"Akt3"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0748129675810474,0.635875402792696,0.261663521711573,-0.830858749015711,-1.32394299066634,70,"Tnfaip3,Ciita,Hif1a,Tap1,Cdkn1a,Casp1,Pfkp,Gch1,Casp7,Zbp1,Il4ra,Ifnar2"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0688775510204082,0.635875402792696,0.276500599254472,-0.869321210538448,-1.35633535521549,62,"Adcy2,Gna14,Cdkn1a,Hras,Tbk1,Mknk2,Ddit3"
"HALLMARK_KRAS_SIGNALING_DN",0.117744610281924,0.651082251082251,0.165656695205483,0.877406801434588,1.25325635511067,51,"Cldn8,Edn1,Sphk2"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.122077922077922,0.651082251082251,0.206587922696891,-0.949618627057407,-1.2680578658868,21,"Cxcl16,Chka,Pparg,Hmgcr,Idi1"
"HALLMARK_MITOTIC_SPINDLE",0.146381578947368,0.663771428571429,0.14641623786055,0.871173401103476,1.23851154947534,50,"Ezr,Flnb,Arf6,Ywhae,Birc5"
"HALLMARK_HEDGEHOG_SIGNALING",0.1936,0.663771428571429,0.123257226381337,0.91954253611557,1.14628093444075,19,"Pml,Cdk6"
"HALLMARK_ANGIOGENESIS",0.173701298701299,0.663771428571429,0.132147260608774,0.927533827560203,1.14129112594129,17,"Ccnd2,Jag2,App,Olr1"
