"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_BILE_ACID_METABOLISM",0.0150203763457927,0.472874493927126,0.380730400722792,0.999798671230119,3.02280935681443,36,"Abca8b"
"HALLMARK_ANGIOGENESIS",0.144016227180527,0.472874493927126,0.165656695205483,0.379191146976239,1.2568909067056,17,"Itgav,Pdgfa,App,Nrp1,Ccnd2,Vegfa,Lpl,Jag2,Thbd"
"HALLMARK_ALLOGRAFT_REJECTION",0.14365671641791,0.472874493927126,0.158514105424824,-0.998363003887866,-1.55862131871531,116,"Stat1,Tap1,Ccl2"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.147773279352227,0.472874493927126,0.163180127180689,-0.99816961561928,-1.79872477805344,86,"Tap1,Ccl2"
"HALLMARK_APICAL_JUNCTION",0.0922131147540984,0.472874493927126,0.211400189384923,-0.998780487804878,-1.8552907536114,83,"Vcam1"
"HALLMARK_APOPTOSIS",0.134,0.472874493927126,0.170932335370056,-0.998173330627157,-1.96584067614621,76,"Tap1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.082135523613963,0.472874493927126,0.224966093540314,-0.99878370160146,-2.024737653641,70,"Stat1,Zbp1,Vcam1,Tap1,Ccl2"
"HALLMARK_P53_PATHWAY",0.115618661257606,0.472874493927126,0.186432558434075,-0.998178506375228,-2.13323866458405,62,"Tap1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0303096135404934,0.472874493927126,0.352487857583619,-0.999392589593035,-2.14945224266772,64,"Stat1"
"HALLMARK_UV_RESPONSE_UP",0.115537848605578,0.472874493927126,0.184706471207739,-0.998182919442762,-2.29958831831969,50,"Tap1"
"HALLMARK_ADIPOGENESIS",0.107784431137725,0.472874493927126,0.191892240384838,-0.998385469223007,-2.36822996428541,48,"C3"
"HALLMARK_COAGULATION",0.106,0.472874493927126,0.193813302725311,-0.99838644614764,-2.39945461575172,45,"C3"
"HALLMARK_HEME_METABOLISM",0.0792079207920792,0.472874493927126,0.224966093540314,-0.998391636509851,-2.88327745806559,29,"C3"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.076,0.472874493927126,0.231126709673834,-0.997991564571199,-3.04069557139252,24,"Ccl2"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.0669371196754564,0.472874493927126,0.248911114434702,-0.998193133908854,-3.07065002006141,22,"Tap1"
"HALLMARK_FATTY_ACID_METABOLISM",0.16260162601626,0.481481481481481,0.155241966228839,0.997179125528914,2.80636047274082,40,"Gpd1"
"HALLMARK_PROTEIN_SECRETION",0.180555555555556,0.481481481481481,0.144630528034484,0.335225860717631,1.07345827058214,21,"Rab5a,Cltc,Ap3b1,Adam10,Cav2,Dnm1l,Mapk1,Igf2r,Galc,Ap2b1,Vamp3,Gla,Egfr"
"HALLMARK_ANDROGEN_RESPONSE",0.176817288801572,0.481481481481481,0.14551614609036,0.325819933930755,1.05566016733717,22,"Itgav,Ccnd1,Ccnd3,Hmgcr,Iqgap2,Pias1,Idi1,Lifr,Ube2i,Srf,Cdk6,Xrcc5"
"HALLMARK_PEROXISOME",0.211045364891519,0.511871227364185,0.132147260608774,0.346320037370565,1.06524973917311,31,"Ctbp1,Bcl10,Abcd3,Hsd17b4,Idi1,Acsl4,Aldh9a1,Acox1,Msh2,Gstk1,Cat,Mlycd,Slc25a17,Sema3c,Ercc1,Dlg4,Ehhadh,Ephx2,Abcc8,Cacna1b,Acsl1,Abcb4,Abcd2"
"HALLMARK_TGF_BETA_SIGNALING",0.21327967806841,0.511871227364185,0.132846300606183,0.303037865868031,0.924449654071842,29,"Thbs1,Acvr1,Ncor2,Id1,Map3k7,Ctnnb1,Bmpr2,Tgfb1,Smad3,Bmpr1a,Ifngr2,Bmp2,Cdh1,Smurf2,Serpine1,Apc,Smurf1,Tgfbr1"
"HALLMARK_PANCREAS_BETA_CELLS",0.251521298174442,0.513103448275862,0.121543282035469,0.266027229182889,0.881790642957733,17,"Foxo1,Hnf1a,Abcc8,Pklr,Foxa2,G6pc2,Gck,Neurod1,Neurog3,Nkx2-2,Nkx6-1,Pax4,Pax6,Pdx1,Slc2a2"
"HALLMARK_MYC_TARGETS_V1",0.246,0.513103448275862,0.122107920287081,0.255847873648921,0.759656239468018,37,"Hnrnpa1,Odc1,Psmd14,Srsf2,Canx,Glo1,Rad23b,Hspd1,Ywhae,Psma4,Psmd1,Vdac1,Srsf1,Hprt,Pcna,Apex1,Mad2l1,Myc,Dut,Eif4e,Snrpd1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.303571428571429,0.513103448275862,0.107554375265169,0.233067614842003,0.746327739218605,21,"Hmgcr,Cd9,Sema3b,Idi1,Gnai1,Ctnnb1,Lpl,Ldlr,Cbs"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.269230769230769,0.513103448275862,0.116739204791222,0.233718064775699,0.701557674536078,32,"Ldhb,Hspa9,Echs1,Acaa2,Cpt1a,Cs,Hadhb,Ogdh,Vdac1,Aifm1,Polr2f,Ndufs1,Sdhc,Ndufv2"
"HALLMARK_SPERMATOGENESIS",0.302845528455285,0.513103448275862,0.109250039480711,0.217013639626705,0.663892116378755,28,"Slc12a2,Mtor,Csnk2a2,Parp2,Ace,Cdk1,Aurka,Bub1,Ttk,Pias2,Ccna1,Cftr,Chrm4,Dcc,Gad1,Grm8,Il12rb2,Il13ra2,Mtnr1a,Pgk2,Pomc,Tuba3a,Alox15,Nefh,Stam2,Camk4"
"HALLMARK_MITOTIC_SPINDLE",0.31,0.513103448275862,0.106729884364606,0.242818493842116,0.644766156660929,50,"Smc1a,Pafah1b1,Sptan1,Bcar1,Vcl,Cttn,Epb41l2,Notch2,Flna,Rictor,Ywhae,Sos1,Tiam1,Csnk1d,Ezr,Bcr,Myh10,Arhgef11,Arf6,Apc,Cdk1,Smc3,Aurka,Plk1,Marcks,Dock2,Wasl,Arhgef12"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.303030303030303,0.513103448275862,0.108820126769161,0.200017695461114,0.560966114150185,41,"Ccnd1,Tubb2b,Jak2,Cd44,Mapt,Il6st,Ncor2,Igf1r,Sema3b,Ret,Tiam1,Slc2a1,Rara,Gja1,Cldn7,Tjp3,Ptges,Myc,Gla,Bcl2"
"HALLMARK_APICAL_SURFACE",0.263862332695985,0.513103448275862,0.114266502484433,-0.28018784182344,-0.91922981009461,14,"Lyn,Il2rg,Ntng1,Plaur,Cx3cl1,Il2rb,Brca1,Ephb4"
"HALLMARK_COMPLEMENT",0.228,0.513103448275862,0.127505315300183,-0.996759821790199,-2.12855363737008,65,"C3,Cd59b"
"HALLMARK_G2M_CHECKPOINT",0.338491295938104,0.527472527472527,0.0992333343771191,0.207142482955779,0.535980308228777,54,"Smc1a,Pafah1b1,Ccnd1,Cul3,Odc1,Amd1,Srsf2,Notch2,Slc12a2,Rad23b,Efna5,Cks1b,Tgfb1,Smad3,Srsf1,Suv39h1,Pml,Cul4a,Mad2l1,Myc,E2f3,Cdk1,Ncl,Aurka,E2f2,Plk1,Marcks,Snrpd1"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.376494023904382,0.527472527472527,0.0946646223153342,0.166747344359285,0.46381545882448,45,"Ccnd1,Jak2,Cd44,Mapt,Il6st,Ncor2,Ckb,Cd9,Sema3b,Rabep1,Ret,Tiam1,Atp2b4,Hprt,Cdh1,Prkar2b,Tjp3,Ptges,Gla,Bcl2,Fgfr3"
"HALLMARK_E2F_TARGETS",0.357429718875502,0.527472527472527,0.0982123351217438,0.175706293821525,0.463245977702775,49,"Smc1a,Srsf2,Prkdc,Mre11a,Cks1b,Bub1b,Cnot9,Srsf1,Prps1,Suv39h1,Trp53,Pcna,Msh2,Mad2l1,Myc,Cdk1,Shmt1,Dut,Smc3,Aurka,Ccne1,Plk1,Ung,Wee1"
"HALLMARK_UV_RESPONSE_DN",0.392857142857143,0.527472527472527,0.0919686140000427,0.192992095623675,0.450271876457176,63,"Lpar1,Nr3c1,Nfkb1,Lamc1,Notch2,Plcb4,Id1,Itgb3,Igf1r,Kit,Abcc1,Nrp1,Dusp1,Atp2b4,Grk5,Erbb2,Smad3,Ldlr,Rxra,Gja1,Bmpr1a,Map2k5,Pten,Prkar2b,Snai2,Serpine1,Myc,Pias3,Irs1,Pik3cd"
"HALLMARK_GLYCOLYSIS",0.428571428571429,0.527472527472527,0.0870515867946735,-0.178909569087599,-0.397064886618494,60,"Agrn,Col5a1,Eno2,Ldha,Sod1,Pfkp,Hspa5,Ext1,Idh1,Agl,Eno1,Pygb,Pgk1,Tgfa,Got2,Tpi1,Cxcr4,Plod1,Sdc2,Gusb,G6pdx,Sdc1,Il13ra1,Mpi,Pygl,Ddit4,Pmm2"
"HALLMARK_MTORC1_SIGNALING",0.413793103448276,0.527472527472527,0.0902635484340068,-0.214260737205858,-0.472854534599342,59,"Stip1,Lta4h,Atp2a2,Nampt,Acaca,Ldha,Ddit3,Bhlhe40,Psmd13,Hspa5,Idh1,Eno1,Pgk1,Map2k3,Psmc2,Pfkl,Tpi1,Itgb2,Cxcr4,G6pdx,Nfyc,Cdkn1a,Gtf2h1,Dhfr,Cdc25a,Rpa1,Mcm2,Ddit4"
"HALLMARK_DNA_REPAIR",0.38989898989899,0.527472527472527,0.0934449219410994,-0.180170243687229,-0.504799410976766,31,"Taf12,Ncbp2,Ddb1,Polr2a,Polr2j,Polr2h,Smad5,Gtf2h1,Polb,Taf9,Fen1,Ada,Gtf2a2,Ercc2,Tsg101"
"HALLMARK_KRAS_SIGNALING_DN",0.379518072289157,0.527472527472527,0.0946646223153342,-0.220944597548228,-0.510695110031523,51,"Prodh,Ryr2,Mthfr,Cldn8,Epha5,Ptgfr,Grid2,Edn1,Prkn,Cd80,Tshb,Wnt16,Slc6a3,Ryr1,Pde6b,Pdcd1,Pax4,Ntf3,Npy4r,Myh7,Il5,Il12b,Ifng,Htr1d,Htr1b,Hc,Fshb,Fgf22,Fgf16,Edar,Dcc,Cyp11b2,Cldn16,Chrng,Cd40lg,Ccna1,Cacng1,Bmpr1b,Atp4a,Alox12b,Actc1,Idua"
"HALLMARK_HYPOXIA",0.425149700598802,0.527472527472527,0.0878312634480124,-0.291427287912533,-0.62678975619906,64,"Col5a1,Cdkn1b,F3,Eno2,Myh9,Ldha,Ddit3,Prkca,Bhlhe40,Foxo3,Aldoc,Pfkp,Hspa5,Ext1,Ets1,Eno1,Tgfb3,Pgk1,Pfkl,Nedd4l,Tpi1,Rbpj,Tnfaip3,Cxcr4,Sdc2,Hmox1,Cav1,Map3k1,Cdkn1a,Pim1,Plaur,Cdkn1c,Tgm2,Ndst1,Ddit4,Vhl,Ppargc1a"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.423076923076923,0.527472527472527,0.0888945288620449,-0.781584856674166,-1.57046868618369,73,"Vcam1,Cd59b"
