"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0256691815548932,0.27731520815633,NA,0.412953298541416,2.1737621217747,21,"Idi1,Ctnnb1,Plaur,Chka,Ldlr,Cbs,Acss2,Cd9,Jag1,Sema3b,Pparg,Aldoc,Lpl,Fasn"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0255100750576521,0.27731520815633,NA,0.315332730802705,1.76487450002296,24,"Shc1,Ern1,Exosc9,Atf6,Hspa9,Eif4e,Edc4,Cks1b,Vegfa,Ddit4,Ywhaz"
"HALLMARK_ADIPOGENESIS",0.0453393953294039,0.27731520815633,NA,0.23824419778002,1.7631866580336,48,"Sdhc,Cs,Cat,Lifr,Abca1,Cd36,Aldoa,Araf,Gadd45a,Acaa2,Cdkn2c,Fzd4,Col4a1,Hadh,Ywhag,Pfkl,Pparg,Ephx2,Fah,Me1,Echs1,Lpl,Chuk,Adipoq"
"HALLMARK_PANCREAS_BETA_CELLS",0.02519770679164,0.27731520815633,NA,0.35287039003327,1.72617955961079,17,"Pklr,Abcc8,Akt3,Foxa2,G6pc2,Gck,Hnf1a,Neurog3,Nkx2-2,Nkx6-1,Pak3,Pax4,Pax6,Pdx1,Slc2a2"
"HALLMARK_BILE_ACID_METABOLISM",0.0246444637283505,0.27731520815633,NA,0.25818736997517,1.72249383316542,36,"Nedd4,Cat,Abca1,Idi1,Hacl1,Nr3c2,Abcg8,Ar,Abca3,Cyp27a1,Cyp7b1,Ephx2,Npc1,Apoa1,Abca4,Abca8b,Abcd2,Bbox1,Ch25h,Cyp7a1,Cyp8b1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0501714850810637,0.27731520815633,NA,0.189674622801412,1.55787832054597,73,"Fgf2,Tgm2,Col6a3,Col6a2,Mmp14,Cd44,Slit3,Thbs1,Sdc1,Mmp2,Plaur,Cadm1,Cxcl1,Lama3,Gadd45a,Vegfa,Gas1,Itgav,Vcan,Pdgfrb,Cd59b,Cxcl2,Col4a1,Notch2,Tnc,Tgfb1,Sfrp4,Lama2,Fn1,Tnfrsf11b,Snai2,Il15"
"HALLMARK_P53_PATHWAY",0.0578678785957609,0.27731520815633,NA,0.189768298176548,1.53641622503439,62,"Lif,Gpx2,Itgb4,Plxnb2,F2r,Sdc1,Pdgfa,Cebpa,Sp1,App,Gadd45a,Serpinb5,Apaf1,Ddit4,Cd81,Pcna,Sphk1,Cdkn2a,Il1a,Socs1,Tgfa,Ldhb,Foxo3,Tgfb1"
"HALLMARK_APICAL_JUNCTION",0.051695385328853,0.27731520815633,NA,0.175220393770203,1.43160067095843,83,"Shc1,Jup,Itgb4,Ctnnd1,Pecam1,Cx3cl1,Vcl,Myh10,Nectin2,Vasp,Mmp2,Cldn7,Lama3,Lamb3,Nlgn2,Src,Mapk14,Cd86,Tjp1,Vcan,Hadh,Cdh1,Jam3,Nectin3,Tnfrsf11b,Madcam1,Vwf,Epb41l2,Actc1,Actn2,Adra1b,Akt3,Amh,Cd276,Cdh3,Cdh4,Cldn14,Cldn19,Cldn6,Cldn9"
"HALLMARK_UV_RESPONSE_DN",0.0724946695095949,0.27731520815633,0.245041785430996,0.175499646552278,1.41377192589605,63,"Atp2b4,Igf1r,Dusp1,F3,Tgfbr2,Erbb2,Grk5,Ltbp1,Ldlr,Sdc2,Mapk14,Tjp1,Bmpr1a,Abcc1,Pdgfrb,Tfpi,Notch2,Pias3,Pparg,Prkar2b,Met,Lpar1,Cav1,Snai2,Plpp3,Adora2b,Akt3,Bdnf,Cacna1a"
"HALLMARK_XENOBIOTIC_METABOLISM",0.0754716981132075,0.27731520815633,0.237793834423688,0.175692059001819,1.37303150736257,54,"Arg1,Ets2,Comt,Hnf4a,Jup,Maoa,Cat,Atp2a2,Cd36,Hacl1,Arg2,Ddc,Igf1,Gart,Gsta1,Pcx,Gch1,Cyp27a1,Fah,Npc1,Abcd2,Aldh3a1,Cyp17a1,Cyp1a1,Cyp1a2,Cyp26a1,Cyp2e1"
"HALLMARK_FATTY_ACID_METABOLISM",0.112871287128713,0.27731520815633,0.186432558434075,0.192308079790449,1.35056469039393,40,"Sdhc,Maoa,Idi1,Cd36,Acsl4,Aldoa,Fh1,Ppara,Acaa2,Ehhadh,Gpd1,Hadh,Acss1,Me1,Echs1,Fasn,Aldh3a1,Apex1,Bmpr1b"
"HALLMARK_ANGIOGENESIS",0.138775510204082,0.27731520815633,0.169570644405628,0.275901937188835,1.34966349652484,17,"Pdgfa,App,Fgfr1,Vegfa,Itgav,Vcan,Jag1,Jag2,Lpl"
"HALLMARK_TGF_BETA_SIGNALING",0.135627530364372,0.27731520815633,0.170932335370056,0.218078837541422,1.32133716519105,29,"Map3k7,Apc,Smurf1,Thbs1,Ctnnb1,Tjp1,Bmpr1a,Bmpr2,Ifngr2,Acvr1,Cdh1,Tgfb1,Smad6"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.162932790224033,0.27731520815633,0.155241966228839,0.175828983199143,1.23859821236113,41,"Tgm2,Cd44,Tiam1,Igf1r,Gla,Cldn7,Rhod,Tjp3,Ar,Tubb2b,Sema3b,Abca3,P2ry2,Scnn1a,Ccnd1,Fasn,Adcy1,Aqp3,Calcr"
"HALLMARK_GLYCOLYSIS",0.145336225596529,0.27731520815633,0.170932335370056,0.153793242969856,1.21861874020018,60,"Sdhc,Gfpt1,Got2,Cd44,Sdc1,Pgk1,Aldoa,Cth,Sdc2,Vegfa,Cdk1,Vcan,Ddit4,Ext2,Tgfa,Agrn,Pcx,Idua,Me1,Met,Pygl,Pmm2,Mpi,Tpi1"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.190654205607477,0.27731520815633,0.135740943810425,-0.179714175659883,-0.68562187333854,62,"Lck,Grk2,Itpr2,Mknk2,Tbk1,Cdk2,Mapk1,Cxcr4,Cdkn1a,Ptpn11,Rptor,Ppp2r1b,Nod1,Ripk1,Nfkbib,Ddit3,Cdkn1b,Myd88,Plcg1,Tnfrsf1a,Stat2,Egfr,Grb2,Mknk1,Cab39l,Fasl,Il2rg,Tsc2,Ube2n,Slc2a1,Akt1,Mapk9,Mapk8,Acaca,Prkaa2,Pten"
"HALLMARK_COMPLEMENT",0.186346863468635,0.27731520815633,0.136490437780413,-0.196482537308783,-0.736386806739862,65,"Lck,C3,Lcp2,Lta4h,Fyn,Gnai3,Gnai2,Tnfaip3,Cblb,Casp1,Cfb,Psen1,Hspa5,Dusp6,Pik3cg,Dusp5,Casp4,Prkcd,Casp7,Was,Cr1l,Lyn,C2,Col4a2,Pim1"
"HALLMARK_G2M_CHECKPOINT",0.175238095238095,0.27731520815633,0.143758989039275,-0.203018941349917,-0.79925474941526,54,"Rad23b,Fbxo5,Mcm2,Srsf2,Plk1,Ncl,Ttk,Smc1a,Espl1,Ccna2,Cdc27,Birc5,Cdc25a,Pttg1,Cul4a,Cdkn1b,Smad3,Cdc20,Dmd,Chek1,Bub1,Myc,Cul1,Cul3,Abl1,Aurka,Snrpd1,Odc1,Efna5,Srsf1,E2f2,Marcks"
"HALLMARK_KRAS_SIGNALING_DN",0.165399239543726,0.27731520815633,0.148261500475107,-0.207592891760905,-0.843856791822755,51,"Pdcd1,Sphk2,Cd80,Zbtb16,Ifng,Tgfb2,Fgfr3,Cd40lg,Ryr2,Prodh,Mthfr,Il12b,Cldn8,Tcf7l1,Tshb,Wnt16,Sstr4,Slc6a3,Ryr1,Ptgfr,Prkn,Pde6b,Pax4,Ntf3,Npy4r,Myh7,Il5,Htr1d,Htr1b,Hnf1a,Hc,Grid2,Fshb,Fgf22,Fgf16,Epha5,Edar,Dcc,Cyp11b2,Cldn16,Chrng,Ccna1,Cacng1,Bmpr1b,Atp4a,Alox12b,Actc1,Edn1,Idua,Lfng,Thrb"
"HALLMARK_HYPOXIA",0.184701492537313,0.27731520815633,0.138022242496643,-0.245166025511237,-0.914485806580293,64,"Irs2,Bcl2,Ets1,Tnfaip3,Hspa5,Nr3c1,Cxcr4,Bhlhe40,Hk1,Cdkn1a,Hexa,Cdkn1c,Gpi1,Ext1,Col5a1,Hk2,Gaa,Ddit3,Cdkn1b,Pim1,Angptl4,Hmox1,Map3k1,Vhl,Ldha,Eno2,Myh9,Egfr,Prkca,Ak4,Pdgfb,Nedd4l,Slc2a1,Eno1,Pfkp,Rbpj,Serpine1,Efna1,Igfbp3,Nagk"
"HALLMARK_E2F_TARGETS",0.147859922178988,0.27731520815633,0.159646701919906,-0.24817298740247,-1.0057069422607,49,"Mcm2,Srsf2,Plk1,Rad50,Rpa1,Mlh1,Bub1b,Cdkn1a,Smc1a,Xrcc6,Nbn,Espl1,Prps1,Birc5,Cdc25a,Pttg1,Cdkn1b,Tfrc,Cdc20,Brca1,Chek1,Cnot9,Myc,Trp53"
"HALLMARK_ANDROGEN_RESPONSE",0.181640625,0.27731520815633,0.142901149386948,-0.2494935299593,-1.07318340650427,22,"Ccnd3,Inpp4b,Cdk6,Gnai3,Iqgap2,Pias1,Ube2i,Xrcc6,Hmgcr,Ptk2b,Actn1,Akt1,Xrcc5,Srf"
"HALLMARK_HEME_METABOLISM",0.153543307086614,0.27731520815633,0.157402899305283,-0.246044950986509,-1.07384730464262,29,"Ccnd3,C3,Nr3c1,Adipor1,Cpox,Cdc27,Tfrc,Slc11a2,Atp6v0a1,Acp5,Kat2b,Agpat4,Htra2,Epb41,Slc2a1,Lamp2,E2f2,Abcg2,Tyr"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.182835820895522,0.27731520815633,0.13880510939114,-0.292642108726463,-1.09157479826181,64,"Itga4,Stat1,Il18r1,Ptpn1,Cd38,Irf9,Cxcl10,Tyk2,Il17rb,Cbl,Il13ra1,Ifngr1,Cxcl9,Il2ra,Map3k8,Osmr,Ptpn11,Acvr1b,Ccl7,Il1r1,Stat3,Tnf,Il6st,Ltbr,Ifnar1,Pim1,Itgb3,Ccr1,Hmox1,Myd88,Tlr2,Tnfrsf1a,Stat2,Fas,Csf1,Cxcl13,Grb2"
"HALLMARK_MYC_TARGETS_V1",0.119341563786008,0.27731520815633,0.184706471207739,-0.253115781911593,-1.09176477413188,37,"Rad23b,Hnrnpa1,Canx,Hspd1,Psmd14,Mcm2,Sf3a1,Vdac1,Srsf2,Hprt,Cdk2,Xrcc6,Ccna2,Cdc20,Myc,Cul1,Ldha,Psma4,Ywhae,Snrpd1,Psmd3,Odc1,Srsf1"
