"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_FATTY_ACID_METABOLISM",0.00544458595331618,0.03887069477782,NA,0.327800725367721,2.50447733326221,40,"Maoa,Hadh,Car4,Hadhb,Aldoa,Echs1,Hsd17b4,Sdha,Sdhc,Acox1,Acaa2,Ldha,Mlycd,Idh1,Idi1,Fh1,Gpd1,Hsd17b7,Cd1d1,Nbn,Cpt1a,Acss1,Aldh3a1,Apex1,Bmpr1b"
"HALLMARK_BILE_ACID_METABOLISM",0.00555435583140724,0.03887069477782,NA,0.319978524931213,2.306183956676,36,"Rxra,Hsd17b4,Nedd4,Apoa1,Abcd3,Mlycd,Idh1,Idi1,Cyp7b1,Lipe,Nr3c2,Ar,Ephx2,Cyp27a1,Idh2,Gstk1,Abca4,Abca8b,Abcd2,Abcg8,Bbox1,Ch25h,Cyp7a1,Cyp8b1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00548796910832269,0.03887069477782,NA,0.333842536712935,2.2958355672026,32,"Hadhb,Echs1,Ogdh,Sdha,Cyb5r3,Vdac2,Sdhc,Cs,Acaa2,Ldha,Idh1,Ndufa9,Fh1,Maob,Polr2f,Ldhb,Idh2,Ndufv2,Cpt1a"
"HALLMARK_PEROXISOME",0.00566864298843208,0.03887069477782,NA,0.310811512210313,2.08815687952148,31,"Hsd17b4,Msh2,Abcb1a,Abcd3,Acox1,Cdk7,Mlycd,Idh1,Slc25a17,Idi1,Bcl10,Ephx2,Idh2,Gstk1,Sema3c,Abcb4,Abcc8,Abcd2,Cacna1b"
"HALLMARK_KRAS_SIGNALING_DN",0.00544458595331618,0.03887069477782,NA,0.221285121479933,1.87095660894647,51,"Zbtb16,Sphk2,Tgfb2,Actc1,Alox12b,Atp4a,Bmpr1b,Cacng1,Ccna1,Cd40lg,Cd80,Chrng,Cldn16,Cyp11b2,Dcc,Edar,Edn1,Epha5,Fgf16,Fgf22,Fshb,Grid2,Hc,Htr1b,Htr1d,Il12b,Il5,Myh7,Npy4r,Ntf3,Pax4,Pdcd1,Pde6b,Prkn,Ptgfr,Ryr1,Ryr2,Slc6a3,Sstr4,Tcf7l1,Thrb,Wnt16,Tshb,Mthfr,Cldn8,Fgfr3,Hnf1a,Ifng,Prodh"
"HALLMARK_APOPTOSIS",0.00545536731163958,0.03887069477782,NA,0.179363443111534,1.84141690873349,76,"Lmna,Ppp3r1,Sptan1,App,Bid,Cd44,Xiap,Vdac2,Cd38,Casp1,Dnm1l,Casp9,Pdgfrb,Ctnnb1,Psen1,Cth,Ptk2,Cav1,F2r,Rock1,Wee1,Bcl10,Dpyd,Cd14,Fas"
"HALLMARK_APICAL_JUNCTION",0.00545536731163958,0.03887069477782,NA,0.167553139386816,1.79167985911248,83,"Hadh,Cldn7,Wasl,Nf1,Arhgef6,Ctnna1,Ctnnd1,Cdh1,Nlgn2,Lamb3,Ptk2,Jup,Mmp9,Tsc1,Itga3,Parva,Exoc4,Vcl,Plcg1,Shc1,Jam3,Lama3,Itga9,Tjp1,Vcan,Mapk14,Vasp,Pten,Dlg1,Actc1,Actn2,Adra1b,Akt3,Amh,Cd276,Cdh3,Cdh4,Cldn14,Cldn19,Cldn6,Cldn9"
"HALLMARK_PANCREAS_BETA_CELLS",0.0516528925619835,0.155151515151515,0.287857117255149,0.316368183855973,1.6131773063867,17,"Pklr,Abcc8,Akt3,Foxa2,G6pc2,Gck,Neurod1,Neurog3,Nkx2-2,Nkx6-1,Pak3,Pax4,Pax6,Pdx1,Slc2a2"
"HALLMARK_P53_PATHWAY",0.068,0.155151515151515,0.245041785430996,0.16171468489466,1.49278482643862,62,"Prkab1,Rxra,Zbtb16,App,Rb1,Casp1,Mknk2,Gpx2,Serpinb5,Apaf1,F2r,Ada,Fas,Trp53,Sesn1,Sp1,Bmp2,Jag2,Socs1,Cdkn2b,Gadd45a,Hbegf,Ldhb,Cd81,Notch1,Plxnb2"
"HALLMARK_ANGIOGENESIS",0.0805785123966942,0.155151515151515,0.227987202850442,0.288938439395012,1.4733116576192,17,"App,Thbd,Ptk2,Jag1,Jag2,Vegfa,Itgav,Nrp1,Vcan"
"HALLMARK_COMPLEMENT",0.0808080808080808,0.155151515151515,0.224966093540314,-0.19317381686762,-1.17898863879831,65,"Fyn,Jak2,Tnfaip3,Hspa5,Lck,Prkcd,Cr1l,Fn1,Gnai2,Cd55,Pla2g4a,C3,Pdgfb,Pim1,Pik3cg,Gzma,Dusp5,Col4a2,Casp4,Casp7,Lrp1,Pik3ca,F3,C2,Dusp6,Casp3,Cd36,Cxcl1,Cr2,Raf1,Cfb,Lyn,Src,Me1,Irf7,Dgkg"
"HALLMARK_UV_RESPONSE_DN",0.0695825049701789,0.155151515151515,0.241339976815091,-0.200494826810616,-1.22624669230893,63,"Fyn,Runx1,Myc,Col1a1,Nr3c1,Bhlhe40,Smad3,Tgfbr2,Col1a2,Vav2,Notch2,Kit,Abcc1,Dab2,F3,Met,Inpp4b,Itgb3,Prkar2b,Smad7,Pparg,Prkca,Tfpi,Snai2,Dusp1,Pias3,Irs1,Nfkb1,Lamc1,Igf1r,Acvr2a,Ldlr,Id1,Plcb4,Kcnma1"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0781563126252505,0.155151515151515,0.227987202850442,-0.195449106327833,-1.22763315695612,86,"Tap1,Cxcl10,Tnfaip3,Myc,Socs3,Icam1,Stat5a,Bhlhe40,Nfkbie,Smad3,Hes1,Map2k3,Il7r,Cflar,Map3k8,Il6st,Nr4a1,Il18,Dusp5,Ripk2,Cxcl5,Nfat5,Ptger4,Ccnd1,Birc2,F3,Birc3,Marcks,Ets2,Relb,Abca1,Efna1,Ccl2,Tnf,Dusp1,Lif,Il15ra,Gfpt2,Cxcl1,Nfkb1,F2rl1,Cdkn1a,Nfkb2,Csf1,Dusp4,Ldlr"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0657370517928287,0.155151515151515,0.248911114434702,-0.204046457880408,-1.25611335885911,62,"Grk2,Cxcr4,Lck,Itpr2,Stat2,Slc2a1,Cltc,Ripk1,Map2k3,Tnfrsf1a,Mknk1,Myd88,Ddit3,Cab39l,Smad2,Cdk1,Mapk9,Prkaa2,Nod1,Tiam1,Camk4,Nfkbib,Ppp2r1b,Fasl,Mapk8,Hras,Cdk2,Mapk1,Raf1,Acaca,Gna14,Cdkn1a"
"HALLMARK_HYPOXIA",0.0667976424361493,0.155151515151515,0.245041785430996,-0.218133098805426,-1.34666565023629,64,"Myh9,Gpi1,Tnfaip3,Ets1,Cxcr4,Hspa5,Nr3c1,Col5a1,Rbpj,Bcl2,Bhlhe40,Ak4,Slc2a1,Tpi1,Map3k1,Pdgfb,Tgm2,Pim1,Ddit3,Pfkl,Nagk,F3,Igfbp3,Efna1,Pfkp,Prkca,Dusp1,Vhl,Cdkn1c,Ppargc1a,Aldoc,Hmox1,Cdkn1a,Ddit4,Foxo3,Eno2,Egfr"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.076320939334638,0.155151515151515,0.227987202850442,-0.264226417620674,-1.36818294842462,24,"Hspa5,Ern1,Ywhaz,Mtrex,Cnot2,Eif2ak3,Nfya,Cnot4,Psat1,Hspa9"
"HALLMARK_MITOTIC_SPINDLE",0.062753036437247,0.155151515151515,0.257206466468838,-0.233874419543711,-1.38619276133616,50,"Myh9,Dock2,Ezr,Flna,Csnk1d,Smc1a,Birc5,Epb41l2,Pxn,Cdc42,Espl1,Als2,Cdk1,Map3k11,Notch2,Flnb,Pafah1b1,Bcar1,Arhgef11,Tiam1,Marcks,Smc3,Sos1"
"HALLMARK_G2M_CHECKPOINT",0.0652173913043478,0.155151515151515,0.248911114434702,-0.229773317467801,-1.40053072303066,54,"Srsf1,Rad23b,Tgfb1,Myc,Mcm2,Odc1,Smc1a,Smad3,Birc5,Slc12a2,Espl1,Pttg1,Cdk1,Cul1,Srsf2,Notch2,Ccnd1,Ccna2,Pafah1b1,E2f2,Suv39h1,Marcks,Cks1b,Cul4a,Mad2l1,E2f3,Dmd,Chek1"
"HALLMARK_PROTEIN_SECRETION",0.0631163708086785,0.155151515151515,0.252961123069611,-0.283946015178452,-1.40913537571052,21,"Ppt1,Sod1,Ap1g1,Adam10,Cltc,Vamp3,Sh3gl2,Tsg101,Sec22b,Abca1,Igf2r"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0583501006036217,0.155151515151515,0.266350657088526,-0.253846305089411,-1.44736315759573,41,"Jak2,Myc,Bcl2,Bhlhe40,Slc2a1,Hes1,Pmaip1,Rara,Tgm2,Il6st,Ncor2,Tjp3,Ccnd1,Flnb,Ptges,Tiam1,Sema3b,Tubb2b,Scnn1a,Ret,Mapt,Abca3,Fasn,Igf1r"
"HALLMARK_DNA_REPAIR",0.0581395348837209,0.155151515151515,0.261663521711573,-0.264643292762048,-1.47718156135253,31,"Sec61a1,Pcna,Ddb1,Hprt,Smad5,Cetn2,Dut,Polb,Polr2j,Vps28,Fen1,Tsg101,Rad51,Ncbp2,Gtf2a2"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.0648330058939096,0.155151515151515,0.248911114434702,-0.26797555173112,-1.65437282372866,64,"Stat1,Itga4,Cxcl9,Cxcl10,Tgfb1,Stat3,Socs3,Stat2,Ifngr1,Osmr,Tnfrsf1a,Tyk2,Il4ra,Il17ra,Map3k8,Il6st,Pim1,Myd88,Ltbr,Ccl7,Ccr1,Il13ra1,Acvr1b,Irf9,Ptpn1,Itgb3,Crlf2,Il2ra,Cd36,Tnf,Cxcl13,Lepr,Il15ra,Cxcl1,Tnfrsf1b,Hmox1,Ifnar1,Csf1"
"HALLMARK_E2F_TARGETS",0.058,0.155151515151515,0.266350657088526,-0.288890445156666,-1.71481532921202,49,"Srsf1,Dnmt1,Pcna,Myc,Mcm2,Rpa1,Smc1a,Prkdc,Birc5,Bub1b,Espl1,Dut,Pttg1,Cdk1,Srsf2,Tfrc,Mre11a,Ung,Suv39h1,Shmt1,Chek2,Smc3,Cks1b,Mad2l1,Chek1,Brca1,Cdkn1a,Cdc25a,Prps1,Mlh1,Diaph3"
"HALLMARK_MTORC1_SIGNALING",0.0609037328094303,0.155151515151515,0.257206466468838,-0.303740880917119,-1.87077538067142,59,"Hspd1,Stip1,Itgb2,Acly,Gpi1,Cxcr4,Hspa5,Mcm2,Psmd14,Psmd12,Rpa1,Bhlhe40,Ak4,Hprt,Slc2a1,Tpi1,Map2k3,Psma4,Psmc2,Canx,Ddit3,Psat1,Hspa9,Pfkl,Tfrc,Ung,Atp2a2,Dhfr,Nfkbib,Nfyc,Rpn1"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.07,0.155151515151515,0.241339976815091,-0.347392198314558,-2.13436774996018,70,"Stat1,Il2rb,Cxcl9,Tap1,Jak2,Itgb7,Cxcl10,Tnfaip3,Stat4,Stat3,Zbp1,Socs3,Icam1,Stat2,Pla2g4a,Casp8,Ciita,Vcam1,Ripk1,Cd274,Trim21,Il4ra,Klrk1,Pim1,Myd88,Gzma,Ripk2,Ccl7,Il10ra,Nod1,Irf9,Casp7,Tnfsf10,Dhx58,Ptpn1,Il15,Casp3,Ccl2,Pfkp,Ifnar2,Cd86,Il15ra,Nfkb1,Isg15,Cfb,Cdkn1a"
"HALLMARK_KRAS_SIGNALING_UP",0.0910891089108911,0.156773643851179,0.208955027549354,-0.174745217235831,-1.08589031792581,68,"Itgb2,Ccnd2,Cxcl10,Tnfaip3,Ets1,Dock2,Cxcr4,Itga2,Ace,Map3k1,Il7r,Cab39l,Gucy1a1,Tph1,Il10ra,Pecam1,Adam17,Birc3,Akt2,Dusp6,Igfbp3,Il33,Tfpi,Sema3b,Lif,Gfpt2,Aldh1a3,Tnfrsf1b,F2rl1,Ereg,Cfb,Epb41l3,C3ar1,Fbxo4,Flt4,Aldh1a2,Wnt7a,Tnnt2,Tlr8"
"HALLMARK_HEME_METABOLISM",0.0914512922465209,0.156773643851179,0.208955027549354,-0.234869597770476,-1.2943052856334,29,"Slc11a2,Nr3c1,Slc2a1,Map2k3,C3,Cat,Agpat4,Tfrc,Cpox,E2f2,Aldh1l1,Ccnd3,Htra2,Pcx"
"HALLMARK_ALLOGRAFT_REJECTION",0.0879541108986616,0.156773643851179,0.208955027549354,-0.219084058339155,-1.37721560193898,116,"Stat1,Il2rb,Itgb2,Cxcl9,Tap1,Jak2,Ccnd2,Ets1,Stat4,Itgal,Eif4g3,Tgfb1,Ptprc,Lck,Zap70,Cd2,Icam1,Cd47,Flna,Spi1,Csk,Ifngr1,Ccr5,Cd3g,Il18rap,Ncf4,Cd247,Fgr,Il4ra,Gzma,Cd4,Il18,Ripk2,Prf1,Ccl7,Ccr1,Ikbkb,Cd3e,C2,Il15,Cd8b1,Cd79a,Il2ra,Ccnd3,Ccl2,Tnf,Ifnar2,Fasl,Cxcl13,Nos2,Ifng,Cd86,Tlr3,Lif,Brca1,Ereg,Ncr1,Lyn,Csf1,Tlr1,Acvr2a,Ube2d1,Cd28,Cd3d,Irf7,Egfr,Cxcr3"
"HALLMARK_TGF_BETA_SIGNALING",0.100200400801603,0.164205891606253,0.199915231309662,0.208733691055558,1.3786960616229,29,"Apc,Xiap,Bmpr1a,Cdh1,Tgfbr1,Ctnnb1,Id2,Map3k7,Ifngr2,Bmp2,Serpine1,Tjp1,Thbs1,Acvr1"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.103792415169661,0.164205891606253,0.195789002148949,-0.165603378810192,-1.03410320833589,73,"Itgb1,Tnfaip3,Tgfb1,Col1a1,Col6a2,Fn1,Flna,Col5a1,Sfrp1,Vcam1,Itga2,Col4a1,Tgm2,Col1a2,Itga5,Plod3,Plod1,Cxcl5,Sdc1,Notch2,Col4a2,Mmp2,Lrp1,Dab2,Slit3,Itgb3,Il15"
"HALLMARK_ADIPOGENESIS",0.111336032388664,0.164205891606253,0.190023305279108,-0.183039017827111,-1.08826076199716,48,"Agpat3,Acly,Ywhag,Atp5o,Sod1,Ifngr1,Stat5a,C3,Col4a1,Cpt2,Cat,Lama4,Pfkl,Abca1,Cd36,Pparg,Lpl,Aifm1,Sdhb,Lifr,Fah,Adipoq,Vegfb,Aldh2,Me1,Fzd4"
