"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_APICAL_JUNCTION",0.0820224209626956,0.235172769468798,NA,0.2450362425311,1.99798087564212,83,"Hadh,Nectin3,Ctnnd1,Actg2,Itga3,Nf1,Vcl,Shc1,Cx3cl1,Itgb1,Cd274,Cldn8,Exoc4,Ctnna1,Syk,Gnai1,Pik3cb,Cadm3,Cd86,Akt2,Tnfrsf11b,Vav2,Vwf,Arhgef6,Madcam1,Vcan,Cldn7,Msn,Zyx,Mmp2,Nectin2,Dlg1,Icam1,Cd34,Itga9,Myh10,Actc1,Actn2,Adra1b,Akt3,Amh,Cd276,Cdh3,Cdh4,Cldn14,Cldn19,Cldn6,Cldn9,Cntn1"
"HALLMARK_KRAS_SIGNALING_DN",0.0957616711017975,0.235172769468798,NA,0.27189252114416,1.99323933444365,51,"Hnf1a,Sphk2,Lfng,Zbtb16,Fgfr3,Cldn8,Edn1,Tgfb2,Actc1,Alox12b,Atp4a,Bmpr1b,Cacng1,Ccna1,Cd40lg,Cd80,Chrng,Cldn16,Cyp11b2,Dcc,Edar,Epha5,Fgf16,Fgf22,Fshb,Grid2,Hc,Htr1b,Htr1d,Ifng,Il12b,Il5,Mthfr,Myh7,Npy4r,Ntf3,Pax4,Pdcd1,Pde6b,Prkn,Ptgfr,Ryr1,Ryr2,Slc6a3,Sstr4"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.100725559020681,0.235172769468798,NA,0.203170413181806,1.63307946923425,73,"Col6a2,Lrp1,Flna,Tnc,Sgcd,Igfbp3,Gja1,Col4a2,Fzd8,Cxcl12,Itgb1,Gadd45a,Slit3,Col1a1,Lamc1,Plod3,Thbs2,Wnt5a,Thbs1,Tgm2,Col5a1,Tnfrsf11b,Cadm1,Cxcl2,Sfrp4,Vcan,Vegfc,Col6a3,Itga5,Mmp2,Col1a2,Pdgfrb,Plod1"
"HALLMARK_ADIPOGENESIS",0.0350946110269319,0.235172769468798,NA,0.223730238816011,1.62430724976784,48,"Hadh,Sod1,Abca1,Lpl,C3,Atp5o,Gadd45a,Ywhag,Lama4,Echs1,Acox1,Sorbs1,Cd36,Dgat1,Itga7,Ephx2,Me1,Angptl4,Ifngr1,Fzd4"
"HALLMARK_SPERMATOGENESIS",0.0253529288047302,0.235172769468798,NA,0.264852835606604,1.61143587276479,28,"Mtor,Parp2,Aurka,Bub1,Ace,Cdk1,Stam2,Alox15,Slc12a2,Camk4,Ccna1,Chrm4,Dcc,Gad1,Grm8,Il12rb2,Il13ra2,Jam3,Mtnr1a,Nefh,Pgk2,Pomc,Ttk,Tuba3a,Pias2,Csnk2a2"
"HALLMARK_MITOTIC_SPINDLE",0.0837985284425159,0.235172769468798,NA,0.213091055925702,1.56986490324402,50,"Flna,Ezr,Abl1,Nf1,Vcl,Ywhae,Csnk1d,Bcar1,Map3k11,Birc5,Smc1a,Plk1,Aurka,Bub1,Bcr,Rictor,Pxn,Cdk1,Dock2,Dlg1,Tiam1,Fbxo5,Als2,Myh10"
"HALLMARK_G2M_CHECKPOINT",0.0788609571996795,0.235172769468798,NA,0.210992867994282,1.56323901312934,54,"Mcm2,Ccna2,Pml,Abl1,Rbl1,Birc5,Cdc25a,Smc1a,E2f1,Plk1,Rad54l,Aurka,Bub1,Pttg1,Ncl,E2f3,Cdk1,Snrpd1,E2f4,Cdc6,Odc1,Ccnd1,Smad3,Cdk4,Fbxo5"
"HALLMARK_DNA_REPAIR",0.0636550308008214,0.235172769468798,0.257206466468838,0.239301378039602,1.51968399323209,31,"Ddb1,Hprt,Polr2f,Dctn4,Polr2e,Ada,Fen1,Tsg101,Ercc1,Gtf2h1,Pcna,Taf9,Polb,Polr2j,Cetn2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.051975051975052,0.235172769468798,0.287857117255149,0.221188348521937,1.51159461777421,41,"Abca3,Gja1,Cxcl12,Ret,Hes1,Scnn1a,Tgm2,Gla,P2ry2,Cldn7,Ccnd1,Fasn,Rara,Igf1r,Tiam1,Mapt,Cish,Rhod,Adcy1,Aqp3,Ar,Calcr"
"HALLMARK_PEROXISOME",0.0739219712525667,0.235172769468798,0.237793834423688,0.234630057353437,1.49001875965853,31,"Sod1,Gstk1,Slc25a17,Acox1,Cdk7,Aldh9a1,Ephx2,Cadm1,Ercc1,Abcd3,Abcb1a,Ehhadh,Dlg4,Abcb4,Abcc8,Abcd2,Cacna1b"
