"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_HEDGEHOG_SIGNALING",0.0190225668783889,0.433258114910606,0.352487857583619,0.995987158908507,1.40083243654374,19,"Ets2"
"HALLMARK_SPERMATOGENESIS",0.0322732871365149,0.433258114910606,0.321775918075361,0.988743718592965,1.34450274341258,28,"Slc12a2"
"HALLMARK_UV_RESPONSE_UP",0.051792828685259,0.433258114910606,0.227987202850442,-0.954358070558674,-1.19385292183807,50,"Tap1,Arrb2,Lyn,Il6st,Icam1,Hmox1"
"HALLMARK_COMPLEMENT",0.0508905852417303,0.433258114910606,0.224966093540314,-0.946943695796085,-1.22694967099965,65,"Fn1,C3,Col4a2,Cd55,Cd59b,Itgam,Cfb,Lcp2,Lyn,Hspa5,F3,Dusp6"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",0.0536828963795256,0.433258114910606,0.216542836735348,-0.942389817116923,-1.23916243065372,70,"Stat1,Socs3,Pfkp,Tap1,Fcgr1,Irf9,Stat2,Ccl7,Il10ra,Zbp1,Ccl2,Ciita,Cfb,Cd274,Stat3,Hif1a,Ifnar2,Lcp2,Vcam1,Isg15,Ptpn6,Irf5,Icam1,Csf2rb2,Cxcl9,Myd88,Dhx58,Itgb7"
"HALLMARK_APICAL_JUNCTION",0.06318347509113,0.433258114910606,0.195789002148949,-0.930475997656653,-1.23998141979886,83,"Actg2,Msn,Actn1,Itgb1,Ptprc,Parva,Cd274,Akt3,Vcam1,Syk,Zyx,Icam1"
"HALLMARK_ALLOGRAFT_REJECTION",0.0610047846889952,0.433258114910606,0.197822021315103,-0.915720997442334,-1.24832839475927,116,"Stat1,Ccr5,Tap1,Ccl7,Flna,Ptprc,Fcgr2b,Ccl2,Ccr2,Spi1,Itgb2,Hif1a,Ifnar2,Lcp2,Lyn,Ncf4,Il2rg,Ptpn6,Icam1,Ereg,Cd3g,Cxcl13,Tlr2,Cxcl9,Cd3e,Lck,Cd3d,Ccr1,Cd47,Itgal,Acvr2a,Ccl11,Cd4"
"HALLMARK_KRAS_SIGNALING_DN",0.114285714285714,0.46053412462908,0.271288554688953,0.909795616727029,1.35592412107795,51,"Zbtb16,Edn1,Thrb,Ryr2"
"HALLMARK_DNA_REPAIR",0.136518771331058,0.46053412462908,0.224966093540314,0.97385358004827,1.32753332496876,31,"Ercc1"
"HALLMARK_PEROXISOME",0.136518771331058,0.46053412462908,0.224966093540314,0.97385358004827,1.32753332496876,31,"Ercc1"
"HALLMARK_PANCREAS_BETA_CELLS",0.143916913946588,0.46053412462908,0.139599673451922,-0.973726434015243,-1.12882752954291,17,"Akt3"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.121951219512195,0.46053412462908,0.150169802128406,-0.973705339221196,-1.13772227222239,21,"Cxcl16,Jag1"
