"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_TGF_BETA_SIGNALING",0.12780269058296,0.721853188117476,0.186432558434075,0.99718536389224,2.39462784752757,29,"Cdh1"
"HALLMARK_PEROXISOME",0.323529411764706,0.721853188117476,0.111918316325105,0.993563958165728,2.25880553556267,31,"Acox1"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.308045977011494,0.721853188117476,0.116234148779716,0.993964996982499,2.24527445941875,32,"Vdac1"
"HALLMARK_MYC_TARGETS_V1",0.358353510895884,0.721853188117476,0.109684061970549,0.993958920660491,2.04592898601026,37,"Vdac1"
"HALLMARK_FATTY_ACID_METABOLISM",0.386308068459658,0.721853188117476,0.105520936843198,0.993753777956881,1.98404151530304,40,"Maoa,Acox1"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0670261704434955,0.721853188117476,0.287805130535564,0.99919387343813,1.94994977966728,41,"Cldn7"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.168765743073048,0.721853188117476,0.170932335370056,0.99717628075837,1.88720442461305,45,"Cdh1"
"HALLMARK_XENOBIOTIC_METABOLISM",0.430079155672823,0.721853188117476,0.103576326612592,0.993938169327137,1.73845834200013,54,"Hnf4a,Maoa,Acox1"
"HALLMARK_MYOGENESIS",0.416918429003021,0.721853188117476,0.114266502484433,0.994322789943228,1.60002756415295,71,"Erbb3"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.0404278753070407,0.721853188117476,0.321775918075361,0.999389871873093,1.47189063835661,86,"Tnfrsf9"
"HALLMARK_ANGIOGENESIS",0.218220338983051,0.721853188117476,0.135002033828631,0.379969797786744,1.04395387252844,17,"Itgav,App,Vcan,Lpl,Cxcl5,Jag2,Ptk2,Jag1,Fgfr1,Olr1,Thbd,Vegfa"
"HALLMARK_APICAL_JUNCTION",0.620689655172414,0.721853188117476,0.0919686140000427,0.678912741100431,1.01206148116489,83,"Cldn7,Cdh1"
"HALLMARK_NOTCH_SIGNALING",0.257446808510638,0.721853188117476,0.123257226381337,0.33403572145294,0.890444837857558,20,"Fzd1,Arrb1,Fbxw11,Wnt5a,Dll1,Cul1,Prkca,Fzd5,Hes1,Jag1"
"HALLMARK_PROTEIN_SECRETION",0.277292576419214,0.721853188117476,0.119887845115423,0.304266789011871,0.805213099716835,21,"Cltc,Sod1,Ap3b1,Igf2r,Sec22b,Ap2b1,Galc,Tsg101,Sh3gl2,Vamp3,Egfr,Gla"
"HALLMARK_PANCREAS_BETA_CELLS",0.298728813559322,0.721853188117476,0.112843355675562,0.283275524409523,0.778289702030005,17,"Hnf1a,Pklr,Foxa2,Pax6,Abcc8,G6pc2,Gck,Neurod1,Neurog3,Nkx2-2,Nkx6-1,Pak3,Pax4,Pdx1,Slc2a2"
"HALLMARK_APICAL_SURFACE",0.358024691358025,0.721853188117476,0.0995791200495904,0.267159178764711,0.76813497500357,14,"App,Il2rb,Ephb4,Gas1,Flot2,Efna5,Plaur,Cx3cl1"
