"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_BASE_EXCISION_REPAIR",0.0539031068408597,0.890885314033893,0.321775918075361,0.996794229613304,2.01372584960011,12,"Apex1"
"KEGG_ASTHMA",0.325581395348837,0.890885314033893,0.101713902282311,0.946223115288234,1.91156197551851,12,"Ccl11"
"KEGG_GLYCEROLIPID_METABOLISM",0.186372745490982,0.890885314033893,0.142901149386948,0.99037111334002,1.75606230013565,18,"Lpl"
"KEGG_ARGININE_AND_PROLINE_METABOLISM",0.178137651821862,0.890885314033893,0.147331213699377,0.991370660244832,1.68458396635535,20,"Arg1,Odc1"
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.0892494929006085,0.890885314033893,0.213927855492356,0.994780164625577,1.6375746247839,22,"Il33"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.394250513347023,0.890885314033893,0.0937465422491719,0.985704735157366,1.50585299232597,27,"Tubb2b"
"KEGG_PPAR_SIGNALING_PATHWAY",0.212371134020619,0.890885314033893,0.135002033828631,0.990342052313883,1.44286000359305,33,"Lpl"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.378323108384458,0.890885314033893,0.0959206777921745,0.986298609711868,1.35909786167069,40,"Ccl11,Nlrp3"
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.234086242299795,0.890885314033893,0.127505315300183,0.989728096676737,1.35482574162896,38,"Tnfrsf1a"
"KEGG_PATHWAYS_IN_CANCER",0.126016260162602,0.890885314033893,0.257206466468838,0.900641035591003,1.31681255981965,270,"Lama2,Col4a1,Epas1,Bmp4,Fgf2,Col4a2,Zbtb16,Pdgfra,Fgfr2,Lama4,Lamb1"
"KEGG_P53_SIGNALING_PATHWAY",0.0887949260042283,0.890885314033893,0.219250346703755,0.995563621697923,1.30905067515416,44,"Igfbp3"
"KEGG_HEDGEHOG_SIGNALING_PATHWAY",0.237687366167024,0.890885314033893,0.129442887745046,0.989509784143635,1.2908546278,46,"Bmp4,Bmp7"
"KEGG_LONG_TERM_DEPRESSION",0.492407809110629,0.890885314033893,0.0843144320642653,0.983854692230071,1.28073979182261,48,"Gnao1"
"KEGG_VIRAL_MYOCARDITIS",0.581108829568789,0.890885314033893,0.0727141077934447,0.898796948113984,1.27692179627887,36,"Lama2"
