"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_OLFACTORY_TRANSDUCTION",0.0662393162393162,0.681255510491977,0.257206466468838,0.997394267388254,3.10791224913477,14,"Pde1c"
"KEGG_BLADDER_CANCER",0.0626441207086411,0.681255510491977,0.287805130535564,0.999195009056148,2.83005136984504,34,"Fgfr3"
"KEGG_VIRAL_MYOCARDITIS",0.0642398286937901,0.681255510491977,0.261663521711573,0.998792027380713,2.69863962246065,36,"Cav1"
"KEGG_PURINE_METABOLISM",0.136363636363636,0.681255510491977,0.176694268938498,0.997581620314389,2.54318444564615,41,"Pde3b,Pde1c"
"KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION",0.110874200426439,0.681255510491977,0.195789002148949,0.998383838383838,2.33011688833994,53,"Pde3b"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.244769874476987,0.681255510491977,0.12563992130984,0.996359959555106,2.28053996821652,58,"Agtr1a"
"KEGG_CITRATE_CYCLE_TCA_CYCLE",0.094017094017094,0.681255510491977,0.213927855492356,0.625355497696776,1.92987013787299,10,"Sdhc,Cs,Fh1,Sdhb,Idh2,Ogdh,Idh1,Acly"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.25,0.681255510491977,0.127505315300183,0.996747306363082,1.88727310263609,84,"Itga8"
"KEGG_INSULIN_SIGNALING_PATHWAY",0.135857461024499,0.681255510491977,0.179782316298324,0.998373322488817,1.86945748319514,85,"Pde3b"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.094017094017094,0.681255510491977,0.213927855492356,0.594712597636691,1.83530501774278,10,"Acaa2,Aldh2,Hadh,Ivd,Hadhb,Hibadh,Aldh9a1,Mmut"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.13034188034188,0.681255510491977,0.179782316298324,0.548296593186373,1.69061510657441,13,"Gstp1,Aldh1a3,Gsta1,Adh5,Maoa,Gstk1,Maob,Fmo4,Cyp3a13,Aldh3a1,Cyp1a2,Cyp2a5,Cyp2e1"
"KEGG_PYRUVATE_METABOLISM",0.136752136752137,0.681255510491977,0.175204047558551,0.50362225467457,1.56930295813569,14,"Pkm,Glo1,Me1,Acss1,Aldh2,Acss2,Aldh9a1,Akr1b3,Pklr,Acaca"
"KEGG_RETINOL_METABOLISM",0.125265392781316,0.681255510491977,0.183023938384487,0.457368152680653,1.43133306085271,11,"Adh5,Dgat1,Aldh1a2,Cyp3a13,Bco1,Cyp1a1,Cyp1a2,Cyp26a1,Cyp26b1,Cyp2a5"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.125265392781316,0.681255510491977,0.183023938384487,0.456967511655012,1.43007925526486,11,"Gstp1,Aldh1a3,Gsta1,Adh5,Gstk1,Cyp3a13,Aldh3a1,Cyp1a1,Cyp1a2,Cyp2e1"
"KEGG_BASE_EXCISION_REPAIR",0.132762312633833,0.681255510491977,0.178219874951973,0.42741935483871,1.34477077522762,12,"Polb,Neil1,Ogg1,Fen1,Pcna,Parp2,Apex1,Ung,Xrcc1"
"KEGG_GLYCEROLIPID_METABOLISM",0.152304609218437,0.681255510491977,0.159646701919906,0.41027527025521,1.31284723012207,18,"Mboat1,Lpl,Aldh2,Agpat3,Aldh9a1,Akr1b3,Dgat1,Dgkg,Gpam,Gk,Dgka,Gla,Pnpla3,Plpp3"
"KEGG_ASTHMA",0.17558886509636,0.681255510491977,0.153158808683073,0.362268750417418,1.13979028517183,12,"Ccl11,Cd40,Cd40lg,Epx,Il10,Il13,Il3,Il4,Il5,Il9,Ms4a2"
"KEGG_BASAL_TRANSCRIPTION_FACTORS",0.16869918699187,0.681255510491977,0.152144922367565,0.346876879887708,1.10059047700891,16,"Gtf2i,Taf12,Taf4,Taf9,Gtf2h1,Gtf2a1,Gtf2a2,Gtf2b,Gtf2e1,Taf5l"
"KEGG_ABC_TRANSPORTERS",0.177453027139875,0.681255510491977,0.150169802128406,0.341577257751119,1.08191283113611,19,"Abcd3,Abcb1a,Abcg2,Abca8b,Cftr,Abcc1,Abca3,Abcb8,Abcd2,Abca13,Abca4,Abcb4,Abcc6,Abcc8"
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.172344689378758,0.681255510491977,0.149207542435322,0.335695976819347,1.0741996051974,18,"Slc12a2,Prkca,Sec61a1,Prkacb,Muc2,Atp6v1a,Cftr,Plcg2,Adcy3,Kcnq1"
"KEGG_GALACTOSE_METABOLISM",0.218683651804671,0.681255510491977,0.135002033828631,0.328598484848485,1.0283485466863,11,"Hk1,Pfkl,Glb1,Akr1b3,Gaa,Gla,G6pc,G6pc2,Gck"
"KEGG_RNA_DEGRADATION",0.202991452991453,0.681255510491977,0.141225119642531,0.333420687528904,1.02806776147374,13,"Hspd1,Hspa9,Eno1,Exosc9,Wdr61,Cnot4,Cnot2,Cnot9"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.208860759493671,0.681255510491977,0.138022242496643,0.339948377923061,1.02514981634299,26,"Pkm,Aldoa,Pgk1,Eno1,Tpi1,Hk1,Acss1,Aldh2,Acss2,Pfkl,Aldh1a3,Adh5,Aldh9a1,Pklr"
"KEGG_SPHINGOLIPID_METABOLISM",0.182926829268293,0.681255510491977,0.14551614609036,0.319543312612793,1.01386499719258,16,"Smpd1,Glb1,Galc,Smpd3,Sphk1,Neu1,Sgms2,Gla,Ugt8a,Acer1,Plpp3"
"KEGG_PROTEASOME",0.213675213675214,0.681255510491977,0.137250779610133,0.328379836596269,1.01252482569299,13,"Psmb6,Psmd3,Psma4,Psmd6,Psmd12,Psmd1,Psmd13,Psmc2,Psmd14"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.216101694915254,0.681255510491977,0.135740943810425,0.335417410980112,0.999237980839197,27,"Rhoa,Prkca,Ezr,Cttn,Cdh1,Cd14,Cdc42,Tubb3,Fyn,Ly96,Nck1,Tlr5,Tubb2b,Tlr4,Ncl,Ocln,Rock2"
"KEGG_HISTIDINE_METABOLISM",0.263269639065817,0.681255510491977,0.121543282035469,0.308165792540793,0.964404461706134,11,"Aldh2,Aldh1a3,Maoa,Aldh9a1,Maob,Aldh3a1,Cndp1,Hal,Hdc"
