"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_PYRUVATE_METABOLISM",0.109195402298851,0.775471698113207,0.186432558434075,0.99579073962718,2.94677075105859,14,"Pkm"
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.148296593186373,0.775471698113207,0.161978948883402,0.995986353602248,2.65158349397922,20,"Cacnb1"
"KEGG_PARKINSONS_DISEASE",0.0599611105574107,0.775471698113207,0.321775918075361,0.998995378742214,2.47340305381316,26,"Uchl1"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.198428290766208,0.775471698113207,0.136490437780413,0.9957805907173,2.46544359104948,26,"Pkm"
"KEGG_NOTCH_SIGNALING_PATHWAY",0.147859922178988,0.775471698113207,0.159646701919906,0.996982498491249,2.30831807937591,32,"Jag2"
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.0654205607476635,0.775471698113207,0.241339976815091,0.998791540785498,2.16432298800916,38,"Prph"
"KEGG_TYPE_II_DIABETES_MELLITUS",0.245283018867925,0.775471698113207,0.118287526124085,0.995768688293371,2.1203816906223,40,"Pkm"
"KEGG_PURINE_METABOLISM",0.249034749034749,0.775471698113207,0.118815039412263,0.995767835550181,2.07893990000656,41,"Pkm"
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.36504854368932,0.775471698113207,0.0949751525905595,0.99375,2.05967799827652,43,"Ptprz1"
"KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC",0.243144424131627,0.775471698113207,0.116739204791222,0.996161616161616,1.89620440462279,53,"Cdh2,Cacnb1"
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.268518518518519,0.775471698113207,0.11101149245045,0.995957962813258,1.82399307254401,55,"Cacnb1"
"KEGG_DILATED_CARDIOMYOPATHY",0.278195488721804,0.775471698113207,0.109684061970549,0.995954692556634,1.76378501779069,59,"Cacnb1"
"KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS",0.370300751879699,0.775471698113207,0.0922597260527354,0.994538834951456,1.76127760610821,59,"Dnm1"
"KEGG_MELANOMA",0.124528301886792,0.775471698113207,0.172324344900946,0.998178874949413,1.74339354698464,61,"Fgf12"
"KEGG_HUNTINGTONS_DISEASE",0.160541586073501,0.775471698113207,0.152144922367565,0.997773279352227,1.68455263106453,63,"Hap1"
"KEGG_PROSTATE_CANCER",0.397705544933078,0.775471698113207,0.0891647117820678,0.994730441832185,1.62252933004291,69,"Foxo1"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.164092664092664,0.775471698113207,0.150169802128406,0.997967066476926,1.46924007546713,84,"Cdh2"
"KEGG_INSULIN_SIGNALING_PATHWAY",0.442495126705653,0.775471698113207,0.0843144320642653,0.994713298088654,1.4482043166144,85,"Foxo1"
"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON",0.134874759152216,0.775471698113207,0.166933848713193,0.998151950718686,1.29096953375562,133,"Fgf12"
"KEGG_FOCAL_ADHESION",0.504854368932039,0.775471698113207,0.0770736734944102,0.994243421052632,1.27693897746748,139,"Cav2"
"KEGG_PATHWAYS_IN_CANCER",0.269585253456221,0.775471698113207,0.12563992130984,0.994717937882949,1.22444843113332,270,"Fgf12,Foxo1"
"KEGG_HISTIDINE_METABOLISM",0.150870406189555,0.775471698113207,0.157402899305283,0.398273601398601,1.17622071304711,11,"Ddc,Maoa,Aldh1a3,Maob,Aspa,Aldh2,Aldh3a1,Cndp1,Hal,Hdc"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",0.535031847133758,0.775471698113207,0.0787113806986485,0.959751344244608,1.16809039948535,199,"Grik3"
