"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_TGF_BETA_SIGNALING_PATHWAY",0.0211040483294239,0.608291482356071,0.352487857583619,0.999797324685853,5.06837378140125,69,"Inhba"
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.0846560846560847,0.608291482356071,0.252961123069611,0.870581714923921,4.60761014864321,63,"Il11"
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.153846153846154,0.608291482356071,0.204294756516886,0.793899186288257,3.37247854731616,108,"Il11"
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.232558139534884,0.608291482356071,0.181383128498408,0.801554254198269,2.39557780998159,180,"Il11,Inhba"
"KEGG_OXIDATIVE_PHOSPHORYLATION",0.0372975195113064,0.608291482356071,NA,0.470609462710505,1.91228725930818,15,"Atp6v1a,Atp6v1b2,Ndufv2,Ndufs4,Sdhc,Atp6v0a1,Ndufa9,Atp5o,Atp4a,Atp4b,Atp6v0d2,Cox7a1"
"KEGG_RETINOL_METABOLISM",0.0480991846103241,0.608291482356071,NA,0.477837266899767,1.78987746497715,11,"Dgat1,Adh5,Cyp3a13,Bco1,Cyp1a1,Cyp1a2,Cyp26a1,Cyp26b1,Cyp2a5"
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.0672645739910314,0.608291482356071,0.261663521711573,0.343249803799894,1.56709433112905,22,"Dctn1,Rab5a,Rab11a,Prkacb,Nsf,Adcy3,Rab5b,Dync1i2,Dync1li1,Dctn2,Aqp4,Aqp2,Aqp3,Avpr2"
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.0647321428571429,0.608291482356071,0.266350657088526,0.347342026078235,1.49846717232146,18,"Atp6v1a,Slc12a2,Muc2,Atp6v1b2,Prkacb,Atp6v0a1,Tjp1,Prkca,Adcy3"
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",0.0704845814977974,0.608291482356071,0.252961123069611,0.32743591214085,1.4864779167757,21,"Hhex,Hnf1a,Nr5a2,Bhlha15,Gck,Hnf1b,Mafa,Mnx1,Neurod1,Neurog3,Nkx2-2,Nkx6-1,Onecut1,Pax4,Pax6,Pdx1,Pklr,Slc2a2"
"KEGG_ASTHMA",0.0695652173913043,0.608291482356071,0.252961123069611,0.380317905563347,1.4539637122862,12,"Ccl11,Cd40lg,Epx,Il10,Il13,Il3,Il4,Il5,Il9,Ms4a2"
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",0.0739130434782609,0.608291482356071,0.245041785430996,0.387929778554779,1.45310300540963,11,"Adh5,Aldh1a3,Cyp3a13,Gstk1,Gsta1,Aldh3a1,Cyp1a1,Cyp1a2"
"KEGG_TASTE_TRANSDUCTION",0.0803571428571429,0.608291482356071,0.237793834423688,0.324596010252981,1.40033865502085,18,"Prkacb,Gnb1,Itpr3,Adcy8,Cacna1a,Cacna1b,Gnat3,Gnb3,Grm4,Scnn1a,Scnn1b,Scnn1g,Tas1r1,Tas1r2,Tas1r3,Trpm5"
"KEGG_RNA_DEGRADATION",0.0960698689956332,0.608291482356071,0.213927855492356,0.348512409434253,1.37457134476093,13,"Hspa9,Hspd1,Cnot4,Wdr61,Cnot8,Cnot2"
"KEGG_ABC_TRANSPORTERS",0.0897155361050328,0.608291482356071,0.222056046145248,0.303064543380924,1.34293397084607,19,"Abcb1a,Abcc1,Abcd3,Abca1,Abca7,Abca8b,Abca13,Abca4,Abcb4,Abcc6,Abcd2"
"KEGG_P53_SIGNALING_PATHWAY",0.0906862745098039,0.608291482356071,0.234392647294686,0.252593998056793,1.31153312572784,44,"Ccnd1,Ccnd2,Igfbp3,Serpine1,Cd82,Casp8,Cdkn1a,Cdk4,Atm,Gadd45a,Pmaip1,Cdk2,Mdm2,Chek2,Gtse1,Ccnb1,Casp9,Thbs1,Bid,Adgrb1,Bbc3,Ccnb3,Ccne1,Cdkn2a,Chek1"
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",0.115217391304348,0.608291482356071,0.193813302725311,0.347465034965035,1.3015306235666,11,"Glud1,Gpt2,Gfpt1,Got2,Agxt2,Cps1,Gad1,Gad2"
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",0.126637554585153,0.608291482356071,0.184706471207739,0.321967010944967,1.26987336812972,13,"Adh5,Aldh1a3,Cyp3a13,Gstk1,Gsta1,Aldh3a1,Cyp1a2,Cyp2a5,Fmo4"
"KEGG_ALLOGRAFT_REJECTION",0.152317880794702,0.608291482356071,0.16823816568964,0.286106981902268,1.21432382718205,17,"Cd86,Cd28,Cd40lg,Fasl,Gzmb,Ifng,Il10,Il12a,Il12b,Il2,Il4,Il5"
"KEGG_TYPE_I_DIABETES_MELLITUS",0.131696428571429,0.608291482356071,0.183023938384487,0.280898250306475,1.21182228248989,18,"Hspd1,Il1a,Cd86,Cd28,Fasl,Gad1,Gad2,Gzmb,Ifng,Il12a,Il12b,Il2,Lta"
"KEGG_PYRUVATE_METABOLISM",0.226579520697168,0.608291482356071,0.134273452883202,0.279242905821378,1.09906558824117,14,"Pkm,Glo1,Aldh9a1,Akr1b3,Me1,Ldhb"
"KEGG_GRAFT_VERSUS_HOST_DISEASE",0.275109170305677,0.608291482356071,0.120433371642259,0.272036380453214,1.07294145970436,13,"Il1a,Cd86,Cd28,Fasl,Gzmb,Ifng,Il2,Klrc1,Klrd1,Prf1"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",0.292841648590022,0.608291482356071,0.115734447701689,0.290446625275386,1.07096587158842,10,"Acaa2,Hadhb,Hibadh,Aldh9a1"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.138014527845036,0.608291482356071,0.186432558434075,0.209636308684264,1.05325220400136,40,"Erbin,Ccl2,Chuk,Ccl11,Cxcl1,Nfkb1,Casp8,Mapk8,Rela,Cxcl2,Ccl7,Nlrp3,Ikbkb,Cxcl3,Nlrc4,Xiap,Nfkbib,Traf6,Il18"
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.362445414847162,0.608291482356071,0.102449405629826,0.246693386773547,0.972985900133102,13,"Gcat,Cth,Agxt2,Bhmt,Dao,Gldc,Srr,Maob,Cbs,Psat1,Shmt1,Sardh,Maoa"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.133903133903134,0.608291482356071,0.206587922696891,0.188261745031414,0.928372729074172,84,"Cdh5,Pecam1,Itgav,Cd274,Itgam,Itga9,Sdc1,Cadm3,Cntnap1,Cdh1,Cdh2,Madcam1,Cldn7,F11r,Glg1,Siglec1,Cldn1,L1cam,Ocln,Cd86,Itgal,Itgb7,Cd28,Cd8a,Itgb8,Itgb2,Sell,Cd4,Itga6,Cd226,Cd276,Cd40lg,Cd8b1,Cdh4,Cldn10,Cldn14,Cldn16,Cldn17,Cldn19,Cldn6,Cldn8,Cldn9,Cntn2"
