"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_JAK_STAT_SIGNALING_PATHWAY",0.000971906339267301,0.13315116847962,0.477270815362862,0.989792090999283,1.35775064331429,108,"Ccnd2,Ccnd1"
"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION",0.00682962958836333,0.311886417868592,0.407017918923954,0.986143016012643,1.2894944756427,79,"Cldn2,Cldn8"
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.00646998600966885,0.311886417868592,0.407017918923954,0.998595787362086,1.24655006208664,18,"Slc12a2,Kcnq1,Muc2"
"KEGG_WNT_SIGNALING_PATHWAY",0.0157947686491419,0.360647217488739,0.352487857583619,0.969748390190725,1.33055437723486,111,"Ccnd2,Ccnd1,Fzd6"
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.0119345665119318,0.360647217488739,0.380730400722792,-0.999196948403935,-1.35541329643209,22,"Aqp4"
"KEGG_MAPK_SIGNALING_PATHWAY",0.0154036359101354,0.360647217488739,0.380730400722792,-0.932456032779331,-1.3965213019179,158,"Hspa1b,Max,Pla2g10"
"KEGG_HEDGEHOG_SIGNALING_PATHWAY",0.0318744587182379,0.409834139771939,0.321775918075361,-0.990921928585838,-1.26847097653873,46,"Bmp2"
"KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.0301806989998468,0.409834139771939,0.352487857583619,-0.990731412452146,-1.27592890859176,40,"Il18,Tnfaip3,Casp1"
"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY",0.0305433092172997,0.409834139771939,0.352487857583619,-0.971730730119992,-1.35842636568319,86,"Hras,Akt3"
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",0.0329063907846082,0.409834139771939,0.321775918075361,-0.996989160979526,-1.37511866131807,21,"Hnf4a"
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.0325893618537775,0.409834139771939,0.321775918075361,-0.997394267388254,-1.56533883059653,14,"Cyp3a13"
"KEGG_RNA_DEGRADATION",0.0994671403197158,0.58657059314954,0.188204146308491,0.98997995991984,1.32358517767797,13,"Hspd1,Hspa9"
"KEGG_ADHERENS_JUNCTION",0.0886699507389163,0.58657059314954,0.191892240384838,0.97394465764492,1.20663734298578,52,"Tgfbr2"
"KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION",0.0773109243697479,0.58657059314954,0.208955027549354,0.987540192926045,1.1705376300435,27,"Ncl"
"KEGG_PURINE_METABOLISM",0.101485148514851,0.58657059314954,0.222056046145248,-0.982466747279323,-1.25656409242628,41,"Adcy2,Nt5e"
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.0982367758186398,0.58657059314954,0.227987202850442,-0.977755308392316,-1.29069824701701,58,"Pla2g10,Adcy2,Gna13,Gna11"
"KEGG_DILATED_CARDIOMYOPATHY",0.0806045340050378,0.58657059314954,0.252961123069611,-0.979773462783172,-1.2974390771366,59,"Adcy2,Itgb5"
"KEGG_GNRH_SIGNALING_PATHWAY",0.102244389027431,0.58657059314954,0.222056046145248,-0.974903865614248,-1.30182225899298,62,"Pla2g10,Adcy2,Gna11,Hras"
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.102756892230576,0.58657059314954,0.222056046145248,-0.971631205673759,-1.31584625074549,68,"Akt3"
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.0742574257425743,0.58657059314954,0.261663521711573,-0.974249797242498,-1.33025438884178,71,"Hras"
"KEGG_CHEMOKINE_SIGNALING_PATHWAY",0.0666666666666667,0.58657059314954,0.276500599254472,-0.929745111079981,-1.3519499402615,122,"Adcy2,Hras,Akt3,Gnb1"
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.0841346153846154,0.58657059314954,0.241339976815091,-0.992573263749498,-1.36902794045054,21,"Ipmk"
"KEGG_ABC_TRANSPORTERS",0.0616527122016496,0.58657059314954,0.321775918075361,-0.996388443017656,-1.42269962895986,19,"Tap1"
"KEGG_ETHER_LIPID_METABOLISM",0.0956719817767654,0.58657059314954,0.219250346703755,-0.992184368737475,-1.58176279740342,13,"Pla2g10"
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",0.159212880143113,0.628053369825522,0.14641623786055,0.985015109012816,1.33469531757331,12,"Pcna"
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.138747884940778,0.628053369825522,0.153158808683073,0.955857440058548,1.25296915894562,84,"Cldn2,Cldn8"
"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION",0.162348877374784,0.628053369825522,0.142056643575821,0.813736352937942,1.21511379634786,199,"Chrm1"
"KEGG_LEISHMANIA_INFECTION",0.128333333333333,0.628053369825522,0.158514105424824,0.972569584509883,1.18481642188023,45,"Marcksl1"
"KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY",0.169620253164557,0.628053369825522,0.170932335370056,-0.972115578904829,-1.2673653513569,54,"Pla2g10,Hras,Akt3"
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.16497461928934,0.628053369825522,0.173747838999571,-0.972109943411479,-1.26774660246351,55,"Blnk,Hras,Akt3"
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.147208121827411,0.628053369825522,0.184706471207739,-0.974535165723525,-1.27090937985012,55,"Itgb5,Prkaa2,Ace"
"KEGG_ENDOCYTOSIS",0.150375939849624,0.628053369825522,0.181383128498408,-0.910587434687633,-1.27623777868696,91,"Hspa1b,Tfrc"
"KEGG_RENAL_CELL_CARCINOMA",0.146095717884131,0.628053369825522,0.184706471207739,-0.972093023255814,-1.28322367598982,58,"Hif1a,Hras,Akt3"
"KEGG_PARKINSONS_DISEASE",0.138014527845036,0.628053369825522,0.186432558434075,-0.987341772151899,-1.29523274364885,26,"Ube2g2"
